cell_id,Phaethon lepturus,Phaethon lepturus lepturus,Phaethon lepturus fulvus,Phaethon lepturus europae,Phaethon lepturus catesbyi,Phaethon lepturus dorotheae,Phaethon lepturus ascensionis
822a07fffffffff,25.0,0.0,0.0,0.0,0.0,0.0,0.0
822a17fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
822a37fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
822a4ffffffffff,13.0,0.0,0.0,0.0,0.0,0.0,0.0
822aaffffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
822ac7fffffffff,207.0,0.0,0.0,0.0,27.0,0.0,0.0
822adffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
822af7fffffffff,52.0,0.0,0.0,0.0,1.0,0.0,0.0
822b2ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
822b8ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
822f5ffffffffff,1.0,0.0,0.0,0.0,0.0,1.0,0.0
82351ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8236dffffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
824107fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
824137fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
824417fffffffff,18.0,0.0,0.0,0.0,0.0,0.0,0.0
824437fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
82448ffffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
8244a7fffffffff,13.0,0.0,0.0,0.0,0.0,0.0,0.0
8244affffffffff,64.0,0.0,0.0,0.0,1.0,0.0,0.0
8244b7fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8244d7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8244f7fffffffff,18.0,0.0,0.0,0.0,0.0,0.0,0.0
824587fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
82458ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8245a7fffffffff,24.0,0.0,0.0,0.0,5.0,0.0,0.0
824647fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
82464ffffffffff,33.0,0.0,0.0,0.0,0.0,6.0,0.0
824977fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
824997fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
824b87fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
824ba7fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
824c9ffffffffff,6.0,0.0,0.0,0.0,1.0,0.0,0.0
824cc7fffffffff,235.0,0.0,0.0,0.0,5.0,0.0,0.0
824cd7fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
824ceffffffffff,36.0,0.0,0.0,0.0,0.0,0.0,0.0
824d4ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
824e5ffffffffff,2.0,0.0,0.0,0.0,0.0,2.0,0.0
82504ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
825cb7fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
825d17fffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0
825d2ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
825e47fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
825e67fffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
825e77fffffffff,14.0,0.0,0.0,0.0,0.0,0.0,0.0
825f5ffffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
826027fffffffff,4.0,4.0,0.0,0.0,0.0,0.0,0.0
82640ffffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
826737fffffffff,17.0,0.0,0.0,0.0,0.0,0.0,0.0
826747fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
82679ffffffffff,1.0,0.0,0.0,0.0,1.0,0.0,0.0
8267a7fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8268dffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
826d4ffffffffff,1.0,0.0,0.0,0.0,0.0,1.0,0.0
