cell_id,Vireo flavoviridis,Vireo flavoviridis [flavoviridis Group],Vireo flavoviridis forreri
822807fffffffff,11.0,0.0,0.0
822837fffffffff,163.0,0.0,0.0
822917fffffffff,16.0,0.0,0.0
82291ffffffffff,64.0,0.0,0.0
822987fffffffff,22.0,0.0,0.0
8229a7fffffffff,255.0,0.0,0.0
8229affffffffff,25.0,0.0,0.0
8229b7fffffffff,3.0,0.0,0.0
822a37fffffffff,8.0,0.0,0.0
822aaffffffffff,19.0,0.0,0.0
822af7fffffffff,3.0,0.0,0.0
82441ffffffffff,1.0,0.0,0.0
824447fffffffff,2.0,0.0,0.0
824457fffffffff,8.0,0.0,0.0
824467fffffffff,14.0,0.0,0.0
82446ffffffffff,23.0,0.0,0.0
824477fffffffff,26.0,0.0,0.0
8244a7fffffffff,148.0,0.0,0.0
8244affffffffff,10.0,0.0,0.0
8244d7fffffffff,3.0,0.0,0.0
824507fffffffff,3.0,0.0,0.0
82450ffffffffff,6.0,0.0,0.0
824527fffffffff,25.0,0.0,0.0
82452ffffffffff,33.0,0.0,0.0
824537fffffffff,2.0,0.0,0.0
824817fffffffff,1.0,0.0,0.0
824837fffffffff,1.0,0.0,0.0
824847fffffffff,12.0,0.0,0.0
82484ffffffffff,5.0,0.0,0.0
82485ffffffffff,20.0,0.0,0.0
824877fffffffff,8.0,0.0,0.0
824887fffffffff,1.0,0.0,0.0
82488ffffffffff,150.0,0.0,0.0
824897fffffffff,40.0,0.0,0.0
82489ffffffffff,20.0,0.0,0.0
8248a7fffffffff,5.0,0.0,0.0
8248b7fffffffff,176.0,0.0,0.0
8248d7fffffffff,4.0,0.0,0.0
8248e7fffffffff,2.0,0.0,0.0
8248effffffffff,44.0,0.0,0.0
824987fffffffff,4.0,0.0,0.0
824997fffffffff,12.0,0.0,0.0
825e5ffffffffff,2.0,0.0,0.0
826607fffffffff,11.0,0.0,0.0
82660ffffffffff,2.0,0.0,0.0
826617fffffffff,18.0,0.0,0.0
82661ffffffffff,24.0,0.0,0.0
826627fffffffff,24.0,0.0,0.0
826657fffffffff,4.0,0.0,0.0
8266a7fffffffff,61.0,0.0,0.0
8266b7fffffffff,18.0,0.0,0.0
8266c7fffffffff,38.0,0.0,0.0
8266d7fffffffff,9.0,0.0,0.0
8266dffffffffff,23.0,0.0,0.0
8266e7fffffffff,47.0,0.0,0.0
8266f7fffffffff,4.0,0.0,0.0
826787fffffffff,5.0,0.0,0.0
826797fffffffff,4.0,0.0,0.0
826d07fffffffff,13.0,0.0,0.0
826d27fffffffff,12.0,0.0,0.0
826d2ffffffffff,9.0,0.0,0.0
826d37fffffffff,19.0,0.0,0.0
826d67fffffffff,9.0,0.0,0.0
826d6ffffffffff,35.0,0.0,0.0
826d77fffffffff,10.0,0.0,0.0
828a47fffffffff,1.0,0.0,0.0
828b27fffffffff,3.0,0.0,0.0
828b2ffffffffff,2.0,0.0,0.0
828b77fffffffff,6.0,0.0,0.0
828f47fffffffff,3.0,0.0,0.0
