cell_id,Cistothorus palustris,Cistothorus palustris [paludicola Group],Cistothorus palustris [plesius Group],Cistothorus palustris [palustris Group],Cistothorus palustris griseus,Cistothorus palustris tolucensis
820e4ffffffffff,3.0,0.0,0.0,0.0,0.0,0.0
820ecffffffffff,8.0,0.0,0.0,0.0,0.0,0.0
820eeffffffffff,4.0,0.0,0.0,0.0,0.0,0.0
82122ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0
821237fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
821257fffffffff,1.0,0.0,1.0,0.0,0.0,0.0
82128ffffffffff,7.0,0.0,0.0,0.0,0.0,0.0
82129ffffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8212b7fffffffff,7.0,0.0,0.0,0.0,0.0,0.0
8212cffffffffff,35.0,0.0,2.0,0.0,0.0,0.0
8212d7fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8212dffffffffff,12.0,0.0,1.0,0.0,0.0,0.0
8212e7fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8212effffffffff,3.0,0.0,0.0,0.0,0.0,0.0
821357fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
821aa7fffffffff,26.0,0.0,0.0,0.0,0.0,0.0
822607fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
82260ffffffffff,39.0,0.0,0.0,14.0,0.0,0.0
822617fffffffff,11.0,0.0,2.0,0.0,0.0,0.0
82261ffffffffff,29.0,0.0,0.0,1.0,0.0,0.0
822627fffffffff,8.0,0.0,0.0,1.0,0.0,0.0
82262ffffffffff,42.0,0.0,0.0,0.0,0.0,0.0
822637fffffffff,5.0,0.0,0.0,2.0,0.0,0.0
822647fffffffff,63.0,0.0,0.0,1.0,0.0,0.0
82264ffffffffff,275.0,0.0,0.0,5.0,0.0,0.0
822657fffffffff,106.0,0.0,0.0,3.0,0.0,0.0
82265ffffffffff,187.0,0.0,0.0,1.0,0.0,0.0
822667fffffffff,126.0,0.0,0.0,2.0,0.0,0.0
82266ffffffffff,112.0,0.0,0.0,0.0,0.0,0.0
822677fffffffff,8.0,0.0,0.0,0.0,0.0,0.0
822687fffffffff,75.0,0.0,4.0,0.0,0.0,0.0
82268ffffffffff,255.0,0.0,16.0,0.0,0.0,0.0
822697fffffffff,139.0,0.0,80.0,0.0,0.0,0.0
82269ffffffffff,175.0,0.0,10.0,0.0,0.0,0.0
8226affffffffff,119.0,0.0,10.0,1.0,0.0,0.0
8226b7fffffffff,16.0,0.0,4.0,0.0,0.0,0.0
8226c7fffffffff,15.0,0.0,0.0,0.0,0.0,0.0
8226cffffffffff,51.0,0.0,0.0,2.0,0.0,0.0
8226d7fffffffff,17.0,0.0,1.0,0.0,0.0,0.0
8226dffffffffff,13.0,0.0,3.0,1.0,0.0,0.0
8226e7fffffffff,89.0,0.0,2.0,6.0,0.0,0.0
8226effffffffff,43.0,0.0,0.0,2.0,0.0,0.0
8226f7fffffffff,78.0,0.0,12.0,0.0,0.0,0.0
822707fffffffff,29.0,0.0,0.0,0.0,0.0,0.0
82270ffffffffff,6.0,0.0,0.0,1.0,0.0,0.0
822717fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
82271ffffffffff,6.0,0.0,0.0,2.0,0.0,0.0
822747fffffffff,68.0,0.0,0.0,0.0,0.0,0.0
82274ffffffffff,146.0,0.0,0.0,0.0,0.0,0.0
822757fffffffff,72.0,0.0,0.0,9.0,0.0,0.0
82275ffffffffff,113.0,0.0,0.0,0.0,0.0,0.0
822767fffffffff,82.0,0.0,0.0,1.0,0.0,0.0
82276ffffffffff,93.0,0.0,0.0,45.0,0.0,0.0
822777fffffffff,22.0,0.0,0.0,0.0,0.0,0.0
822787fffffffff,14.0,0.0,0.0,2.0,0.0,0.0
82278ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0
822797fffffffff,14.0,0.0,2.0,0.0,0.0,0.0
82279ffffffffff,15.0,0.0,3.0,0.0,0.0,0.0
8227a7fffffffff,13.0,0.0,0.0,0.0,0.0,0.0
8227affffffffff,5.0,0.0,0.0,1.0,0.0,0.0
8227b7fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
822807fffffffff,23.0,20.0,0.0,0.0,0.0,0.0
822817fffffffff,31.0,9.0,6.0,0.0,0.0,0.0
82281ffffffffff,40.0,1.0,0.0,0.0,0.0,0.0
822837fffffffff,1401.0,100.0,0.0,0.0,0.0,0.0
822887fffffffff,17.0,0.0,0.0,0.0,0.0,0.0
82288ffffffffff,58.0,0.0,47.0,0.0,0.0,0.0
822897fffffffff,81.0,0.0,16.0,0.0,0.0,0.0
82289ffffffffff,61.0,0.0,30.0,0.0,0.0,0.0
8228a7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8228affffffffff,31.0,0.0,0.0,0.0,0.0,0.0
8228b7fffffffff,58.0,0.0,16.0,0.0,0.0,0.0
8228c7fffffffff,20.0,20.0,0.0,0.0,0.0,0.0
8228cffffffffff,3.0,3.0,0.0,0.0,0.0,0.0
8228d7fffffffff,263.0,75.0,0.0,0.0,0.0,0.0
8228dffffffffff,20.0,0.0,0.0,0.0,0.0,0.0
8228f7fffffffff,80.0,6.0,0.0,0.0,0.0,0.0
822917fffffffff,11.0,4.0,0.0,0.0,0.0,0.0
822987fffffffff,51.0,0.0,0.0,0.0,0.0,0.0
82298ffffffffff,13.0,7.0,2.0,0.0,0.0,0.0
822997fffffffff,16.0,0.0,0.0,0.0,0.0,0.0
8229a7fffffffff,543.0,2.0,0.0,0.0,0.0,0.0
8229affffffffff,35.0,6.0,0.0,0.0,0.0,0.0
8229b7fffffffff,24.0,0.0,2.0,0.0,0.0,0.0
822a07fffffffff,49.0,0.0,0.0,12.0,0.0,0.0
822a17fffffffff,1394.0,0.0,0.0,69.0,0.0,0.0
822a1ffffffffff,45.0,0.0,0.0,1.0,0.0,0.0
822a37fffffffff,1859.0,0.0,0.0,167.0,0.0,0.0
822a4ffffffffff,11.0,0.0,0.0,0.0,0.0,0.0
822a87fffffffff,205.0,0.0,0.0,1.0,0.0,0.0
822a8ffffffffff,283.0,0.0,0.0,21.0,0.0,0.0
822a97fffffffff,82.0,0.0,0.0,0.0,0.0,0.0
822a9ffffffffff,21.0,0.0,0.0,0.0,0.0,0.0
822aa7fffffffff,563.0,0.0,0.0,141.0,0.0,0.0
822aaffffffffff,1674.0,0.0,0.0,162.0,0.0,0.0
822ab7fffffffff,683.0,0.0,0.0,132.0,0.0,0.0
822ad7fffffffff,7.0,0.0,0.0,0.0,0.0,0.0
822af7fffffffff,83.0,0.0,0.0,0.0,0.0,0.0
822b07fffffffff,59.0,0.0,1.0,0.0,0.0,0.0
822b0ffffffffff,94.0,0.0,0.0,0.0,0.0,0.0
822b17fffffffff,24.0,0.0,0.0,0.0,0.0,0.0
822b1ffffffffff,85.0,0.0,0.0,2.0,0.0,0.0
822b2ffffffffff,5.0,0.0,0.0,0.0,0.0,0.0
822b37fffffffff,10.0,0.0,0.0,0.0,0.0,0.0
822b87fffffffff,93.0,0.0,0.0,19.0,0.0,0.0
822b8ffffffffff,404.0,0.0,0.0,43.0,0.0,0.0
822b97fffffffff,21.0,0.0,0.0,2.0,0.0,0.0
822b9ffffffffff,517.0,0.0,0.0,40.0,0.0,0.0
822ba7fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
822baffffffffff,267.0,0.0,0.0,3.0,0.0,0.0
824417fffffffff,15.0,0.0,0.0,0.0,0.0,0.0
82441ffffffffff,26.0,0.0,0.0,5.0,0.0,0.0
824447fffffffff,118.0,0.0,0.0,4.0,0.0,0.0
82444ffffffffff,52.0,0.0,0.0,0.0,0.0,0.0
824457fffffffff,170.0,0.0,0.0,0.0,0.0,0.0
82445ffffffffff,7.0,0.0,0.0,0.0,0.0,0.0
824467fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
82446ffffffffff,49.0,0.0,0.0,13.0,0.0,0.0
8244a7fffffffff,48.0,0.0,0.0,0.0,0.0,0.0
8244affffffffff,60.0,0.0,0.0,5.0,0.0,0.0
8244c7fffffffff,256.0,0.0,0.0,12.0,0.0,0.0
8244cffffffffff,126.0,0.0,0.0,2.0,0.0,0.0
8244d7fffffffff,101.0,0.0,0.0,6.0,59.0,0.0
8244dffffffffff,248.0,0.0,0.0,2.0,0.0,0.0
8244e7fffffffff,94.0,0.0,0.0,2.0,0.0,0.0
8244effffffffff,28.0,0.0,0.0,0.0,0.0,0.0
8244f7fffffffff,71.0,0.0,0.0,4.0,11.0,0.0
824817fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
824827fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
82482ffffffffff,4.0,0.0,0.0,0.0,0.0,0.0
824847fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
82484ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0
82485ffffffffff,139.0,2.0,3.0,0.0,0.0,0.0
824877fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
82488ffffffffff,30.0,0.0,0.0,0.0,0.0,0.0
824897fffffffff,47.0,0.0,0.0,0.0,0.0,0.0
82489ffffffffff,27.0,0.0,2.0,0.0,0.0,0.0
8248a7fffffffff,7.0,0.0,0.0,0.0,0.0,0.0
8248affffffffff,5.0,0.0,2.0,0.0,0.0,0.0
8248b7fffffffff,18.0,0.0,0.0,4.0,0.0,0.0
8248c7fffffffff,22.0,0.0,3.0,0.0,0.0,0.0
8248cffffffffff,40.0,0.0,0.0,0.0,0.0,0.0
8248d7fffffffff,14.0,0.0,0.0,0.0,0.0,0.0
8248dffffffffff,154.0,0.0,5.0,0.0,0.0,0.0
8248effffffffff,290.0,0.0,38.0,0.0,0.0,0.0
8248f7fffffffff,6.0,0.0,0.0,0.0,0.0,0.0
824987fffffffff,19.0,0.0,0.0,0.0,0.0,6.0
824997fffffffff,26.0,0.0,0.0,0.0,0.0,2.0
8249affffffffff,1.0,0.0,1.0,0.0,0.0,0.0
8249b7fffffffff,6.0,0.0,0.0,0.0,0.0,0.0
826d37fffffffff,14.0,0.0,0.0,0.0,0.0,0.0
