cell_id,Empidonax flavescens,Empidonax flavescens imperturbatus/salvini,Empidonax flavescens flavescens
8445243ffffffff,3.0,0.0,0.0
8445255ffffffff,3.0,0.0,0.0
8466a05ffffffff,2.0,0.0,0.0
8466b4dffffffff,3.0,0.0,0.0
8466b51ffffffff,4.0,0.0,0.0
8466b55ffffffff,2.0,0.0,0.0
8466b57ffffffff,3.0,0.0,0.0
8467961ffffffff,6.0,0.0,0.0
846d05bffffffff,1.0,0.0,0.0
846d23bffffffff,3.0,0.0,0.0
846d283ffffffff,1.0,0.0,0.0
846d295ffffffff,2.0,0.0,0.0
846d2a9ffffffff,3.0,0.0,0.0
846d35dffffffff,7.0,0.0,0.0
846d617ffffffff,2.0,0.0,0.0
846d691ffffffff,2.0,0.0,0.0
