cell_id,Ducula basilica,Ducula basilica basilica,Ducula basilica obiensis
8473901ffffffff,1.0,1.0,0.0
8473905ffffffff,1.0,1.0,0.0
8473907ffffffff,1.0,1.0,0.0
847390bffffffff,1.0,1.0,0.0
847390dffffffff,1.0,1.0,0.0
8495613ffffffff,18.0,0.0,1.0
8495617ffffffff,2.0,0.0,0.0
