cell_id,Macropygia doreya,Macropygia doreya [albicapilla Group],Macropygia doreya [doreya Group]
8268cffffffffff,1.0,1.0,0.0
82728ffffffffff,3.0,0.0,0.0
827397fffffffff,2.0,0.0,0.0
829567fffffffff,5.0,0.0,0.0
82956ffffffffff,17.0,0.0,0.0
