cell_id,Dicrurus leucophaeus,Dicrurus leucophaeus [longicaudatus Group],Dicrurus leucophaeus [leucophaeus Group],Dicrurus leucophaeus leucogenis,Dicrurus leucophaeus salangensis,Dicrurus leucophaeus innexus,Dicrurus leucophaeus [periophthalmicus Group],Dicrurus leucophaeus stigmatops,Dicrurus leucophaeus [longicaudatus Group/leucophaeus Group],Dicrurus leucophaeus innexus/leucogenis/salangensis
822db7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82309ffffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8231affffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
823c07fffffffff,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
823c0ffffffffff,21.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
823c17fffffffff,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
823c1ffffffffff,32.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
823c37fffffffff,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
823c47fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
823c5ffffffffff,59.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
823c8ffffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
823c97fffffffff,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
823caffffffffff,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
823cb7fffffffff,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
823cc7fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
823cdffffffffff,6.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
823ce7fffffffff,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
823ceffffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
823cf7fffffffff,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
823d07fffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
823d17fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
823d37fffffffff,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
823d87fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
823d8ffffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
823d9ffffffffff,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
824047fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8240b7fffffffff,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
824107fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82411ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
824157fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82415ffffffffff,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
824167fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82416ffffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
824177fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
824197fffffffff,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
8241a7fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8241b7fffffffff,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
824207fffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
824237fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82425ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82426ffffffffff,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8242c7fffffffff,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8242cffffffffff,106.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8242d7fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8242dffffffffff,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
824317fffffffff,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82431ffffffffff,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8243a7fffffffff,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8243affffffffff,11.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
824b87fffffffff,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
824ba7fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
824bb7fffffffff,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
826007fffffffff,33.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
826017fffffffff,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82601ffffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
826027fffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
826037fffffffff,99.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
826087fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82608ffffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
826097fffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8260a7fffffffff,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8260affffffffff,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8260b7fffffffff,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82611ffffffffff,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82618ffffffffff,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82640ffffffffff,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
826417fffffffff,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
82641ffffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
82642ffffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
826437fffffffff,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82648ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
