cell_id,Vireo plumbeus,Vireo plumbeus plumbeus/gravis,Vireo plumbeus notius/montanus
832612fffffffff,14.0,0.0,0.0
832616fffffffff,31.0,0.0,0.0
832680fffffffff,97.0,0.0,0.0
832681fffffffff,2134.0,0.0,0.0
832682fffffffff,37.0,0.0,0.0
832683fffffffff,147.0,0.0,0.0
832684fffffffff,6.0,0.0,0.0
832685fffffffff,273.0,0.0,0.0
832686fffffffff,2.0,0.0,0.0
832688fffffffff,1697.0,0.0,0.0
832689fffffffff,36.0,0.0,0.0
83268afffffffff,137.0,0.0,0.0
83268bfffffffff,505.0,0.0,0.0
83268cfffffffff,2058.0,0.0,0.0
83268dfffffffff,104.0,0.0,0.0
83268efffffffff,225.0,0.0,0.0
832690fffffffff,181.0,0.0,0.0
832691fffffffff,93.0,0.0,0.0
832692fffffffff,90.0,0.0,0.0
832693fffffffff,7.0,0.0,0.0
832694fffffffff,41.0,0.0,0.0
832695fffffffff,82.0,0.0,0.0
832696fffffffff,659.0,0.0,0.0
832698fffffffff,831.0,0.0,0.0
832699fffffffff,426.0,0.0,0.0
83269afffffffff,87.0,0.0,0.0
83269bfffffffff,110.0,0.0,0.0
83269cfffffffff,1131.0,0.0,0.0
83269dfffffffff,405.0,0.0,0.0
83269efffffffff,381.0,0.0,0.0
8326a0fffffffff,7.0,0.0,0.0
8326a1fffffffff,107.0,2.0,0.0
8326a2fffffffff,10.0,0.0,0.0
8326a3fffffffff,7.0,0.0,0.0
8326a4fffffffff,7.0,0.0,0.0
8326a5fffffffff,461.0,0.0,0.0
8326a6fffffffff,2.0,0.0,0.0
8326a8fffffffff,35.0,0.0,0.0
8326a9fffffffff,2.0,0.0,0.0
8326aafffffffff,438.0,0.0,0.0
8326abfffffffff,65.0,0.0,0.0
8326acfffffffff,18.0,0.0,0.0
8326adfffffffff,2.0,0.0,0.0
8326aefffffffff,85.0,1.0,0.0
8326b0fffffffff,2.0,0.0,0.0
8326b2fffffffff,5.0,0.0,0.0
8326b3fffffffff,12.0,0.0,0.0
8326b5fffffffff,2.0,0.0,0.0
8326b6fffffffff,1.0,0.0,0.0
8326d0fffffffff,6.0,0.0,0.0
8326d1fffffffff,1.0,0.0,0.0
8326d2fffffffff,8.0,0.0,0.0
8326d3fffffffff,8.0,0.0,0.0
8326d4fffffffff,3.0,0.0,0.0
8326d6fffffffff,28.0,0.0,0.0
8326defffffffff,15.0,0.0,0.0
8326f2fffffffff,104.0,0.0,0.0
8326f6fffffffff,7.0,0.0,0.0
832782fffffffff,2.0,0.0,0.0
832786fffffffff,2.0,0.0,0.0
832788fffffffff,19.0,0.0,0.0
83278bfffffffff,168.0,0.0,0.0
83278dfffffffff,1.0,0.0,0.0
832795fffffffff,25.0,0.0,0.0
832798fffffffff,5.0,0.0,0.0
832799fffffffff,10.0,0.0,0.0
83279afffffffff,20.0,0.0,0.0
83279bfffffffff,2.0,0.0,0.0
83279cfffffffff,24.0,0.0,0.0
83279dfffffffff,8.0,0.0,0.0
83279efffffffff,81.0,0.0,0.0
832816fffffffff,2.0,0.0,0.0
832894fffffffff,7.0,0.0,0.0
8328a4fffffffff,4.0,0.0,0.0
8328a5fffffffff,2.0,0.0,0.0
8328b0fffffffff,168.0,0.0,0.0
8328b2fffffffff,107.0,0.0,0.0
8328b4fffffffff,1.0,0.0,0.0
8328b6fffffffff,112.0,0.0,0.0
832980fffffffff,130.0,0.0,0.0
832981fffffffff,33.0,0.0,0.0
832982fffffffff,20.0,0.0,0.0
832984fffffffff,68.0,0.0,0.0
832985fffffffff,14.0,0.0,0.0
832986fffffffff,210.0,0.0,0.0
832988fffffffff,4.0,0.0,0.0
832989fffffffff,74.0,0.0,0.0
83298afffffffff,7.0,0.0,0.0
83298bfffffffff,4.0,0.0,0.0
83298cfffffffff,53.0,0.0,0.0
83298dfffffffff,3.0,0.0,0.0
83298efffffffff,8.0,0.0,0.0
832990fffffffff,539.0,0.0,0.0
832991fffffffff,71.0,0.0,0.0
832992fffffffff,164.0,0.0,0.0
832993fffffffff,27.0,0.0,0.0
832994fffffffff,302.0,0.0,0.0
832995fffffffff,370.0,0.0,0.0
832996fffffffff,7.0,0.0,0.0
832998fffffffff,9.0,0.0,0.0
832999fffffffff,10.0,0.0,0.0
83299afffffffff,5.0,0.0,0.0
83299bfffffffff,37.0,0.0,0.0
83299cfffffffff,3.0,0.0,0.0
83299dfffffffff,2.0,0.0,0.0
83299efffffffff,51.0,0.0,0.0
8329a0fffffffff,145.0,0.0,0.0
8329a1fffffffff,328.0,0.0,0.0
8329a2fffffffff,15.0,0.0,0.0
8329a3fffffffff,20.0,0.0,0.0
8329a5fffffffff,186.0,0.0,0.0
8329a6fffffffff,3.0,0.0,0.0
8329aafffffffff,40.0,0.0,0.0
8329acfffffffff,1.0,0.0,0.0
8329aefffffffff,85.0,0.0,0.0
8329b0fffffffff,152.0,0.0,0.0
8329b1fffffffff,16.0,0.0,0.0
8329b2fffffffff,1893.0,16.0,0.0
8329b3fffffffff,4.0,0.0,0.0
8329b4fffffffff,2.0,0.0,0.0
8329b5fffffffff,1.0,0.0,0.0
8329b6fffffffff,1217.0,0.0,0.0
834520fffffffff,10.0,0.0,5.0
834521fffffffff,4.0,0.0,0.0
834523fffffffff,7.0,0.0,0.0
834524fffffffff,94.0,0.0,43.0
834525fffffffff,18.0,0.0,15.0
834526fffffffff,137.0,0.0,105.0
83452efffffffff,649.0,0.0,154.0
