cell_id,Eupsittula nana,Eupsittula nana astec/vicinalis,Eupsittula nana nana
8445053ffffffff,4.0,0.0,0.0
84450adffffffff,3.0,0.0,0.0
84450b1ffffffff,1.0,1.0,0.0
84450ebffffffff,5.0,5.0,0.0
8445201ffffffff,4.0,0.0,0.0
8445209ffffffff,1.0,0.0,0.0
844520dffffffff,5.0,0.0,0.0
8445215ffffffff,4.0,0.0,0.0
8445233ffffffff,4.0,0.0,0.0
8445251ffffffff,2.0,0.0,0.0
8445257ffffffff,31.0,5.0,0.0
8445263ffffffff,1.0,1.0,0.0
8445269ffffffff,10.0,0.0,0.0
8445281ffffffff,2.0,0.0,0.0
8445287ffffffff,2.0,2.0,0.0
8445295ffffffff,3.0,3.0,0.0
84452a1ffffffff,1.0,0.0,0.0
84452a3ffffffff,2.0,2.0,0.0
84452adffffffff,4.0,2.0,0.0
84452c1ffffffff,2.0,0.0,0.0
84452e1ffffffff,3.0,0.0,0.0
84452e5ffffffff,2.0,2.0,0.0
8445353ffffffff,1.0,0.0,0.0
8445649ffffffff,3.0,3.0,0.0
8445721ffffffff,3.0,3.0,0.0
8445729ffffffff,4.0,4.0,0.0
8445b07ffffffff,5.0,0.0,5.0
8445b21ffffffff,55.0,0.0,53.0
8445b23ffffffff,19.0,0.0,19.0
8445b27ffffffff,50.0,0.0,49.0
8445b29ffffffff,266.0,0.0,266.0
8445b2bffffffff,66.0,0.0,66.0
8445b2dffffffff,38.0,0.0,38.0
8449901ffffffff,1.0,0.0,0.0
8449965ffffffff,4.0,0.0,0.0
84499c5ffffffff,2.0,0.0,0.0
844cd2dffffffff,2.0,0.0,0.0
8466b59ffffffff,5.0,2.0,0.0
846725bffffffff,1.0,0.0,0.0
8467305ffffffff,65.0,0.0,65.0
8467325ffffffff,4.0,0.0,4.0
8467329ffffffff,69.0,0.0,69.0
846732dffffffff,1.0,0.0,1.0
8467363ffffffff,29.0,0.0,29.0
8467365ffffffff,6.0,0.0,6.0
8467367ffffffff,86.0,0.0,86.0
846792dffffffff,1.0,0.0,0.0
84679a1ffffffff,1.0,1.0,0.0
84679a5ffffffff,21.0,12.0,0.0
84679a7ffffffff,23.0,1.0,0.0
84679b3ffffffff,2.0,2.0,0.0
84679b7ffffffff,2.0,0.0,0.0
846d203ffffffff,15.0,15.0,0.0
846d209ffffffff,3.0,3.0,0.0
846d20bffffffff,3.0,3.0,0.0
846d20dffffffff,8.0,8.0,0.0
846d21bffffffff,1.0,1.0,0.0
846d21dffffffff,8.0,6.0,0.0
846d22bffffffff,2.0,2.0,0.0
846d231ffffffff,2.0,2.0,0.0
846d247ffffffff,2.0,2.0,0.0
846d253ffffffff,4.0,4.0,0.0
846d255ffffffff,6.0,6.0,0.0
846d257ffffffff,2.0,2.0,0.0
846d26bffffffff,2.0,2.0,0.0
846d2c1ffffffff,2.0,2.0,0.0
846d2c9ffffffff,6.0,6.0,0.0
846d2cbffffffff,4.0,4.0,0.0
846d31bffffffff,2.0,0.0,0.0
846d341ffffffff,2.0,0.0,0.0
846d651ffffffff,2.0,0.0,0.0
846d657ffffffff,2.0,0.0,0.0
846d699ffffffff,4.0,2.0,0.0
846d69dffffffff,2.0,0.0,0.0
846d6d1ffffffff,1.0,0.0,0.0
