cell_id,Lyncornis macrotis,Lyncornis macrotis cerviniceps/bourdilloni,Lyncornis macrotis jacobsoni,Lyncornis macrotis macrotis,Lyncornis macrotis macropterus
843c5a1ffffffff,3.0,0.0,0.0,0.0,0.0
843cc55ffffffff,2.0,0.0,0.0,0.0,0.0
843cd13ffffffff,3.0,0.0,0.0,0.0,0.0
846030bffffffff,2.0,0.0,0.0,0.0,0.0
8460311ffffffff,62.0,0.0,0.0,0.0,0.0
846031bffffffff,2.0,0.0,0.0,0.0,0.0
846031dffffffff,21.0,0.0,0.0,0.0,0.0
8460351ffffffff,32.0,0.0,0.0,0.0,0.0
8460353ffffffff,74.0,0.0,0.0,0.0,0.0
846035bffffffff,34.0,0.0,0.0,0.0,0.0
846416dffffffff,4.0,0.0,0.0,0.0,0.0
8464a49ffffffff,1.0,0.0,0.0,0.0,0.0
8465033ffffffff,2.0,0.0,0.0,0.0,0.0
8465189ffffffff,4.0,0.0,0.0,0.0,0.0
846518bffffffff,4.0,0.0,0.0,0.0,0.0
84651bbffffffff,2.0,0.0,0.0,0.0,0.0
84651d9ffffffff,14.0,0.0,0.0,0.0,0.0
8465b01ffffffff,6.0,0.0,0.0,0.0,0.0
8468c3dffffffff,2.0,0.0,0.0,0.0,0.0
8469439ffffffff,2.0,0.0,0.0,0.0,0.0
