cell_id,Catharus ustulatus,Catharus ustulatus [ustulatus Group],Catharus ustulatus [swainsoni Group]
840c015ffffffff,7.0,0.0,0.0
840c033ffffffff,43.0,0.0,0.0
840c037ffffffff,2.0,0.0,0.0
840c03bffffffff,138.0,0.0,0.0
840c04bffffffff,62.0,0.0,0.0
840c051ffffffff,3.0,0.0,0.0
840c0b1ffffffff,21.0,0.0,0.0
840c0b3ffffffff,3.0,0.0,0.0
840c1b1ffffffff,6.0,0.0,0.0
840c1b5ffffffff,1.0,0.0,0.0
840c213ffffffff,28.0,0.0,0.0
840c217ffffffff,25.0,0.0,0.0
840c21bffffffff,1.0,0.0,0.0
840c231ffffffff,129.0,0.0,0.0
840c251ffffffff,6.0,0.0,0.0
840c297ffffffff,5.0,0.0,0.0
840c29bffffffff,1.0,0.0,0.0
840c2a9ffffffff,133.0,0.0,0.0
840c2cdffffffff,112.0,0.0,0.0
840c2d9ffffffff,2.0,0.0,0.0
840c349ffffffff,2.0,0.0,0.0
840c359ffffffff,1.0,0.0,0.0
840c421ffffffff,3.0,0.0,0.0
840c425ffffffff,15.0,0.0,0.0
840c42dffffffff,222.0,0.0,0.0
840c441ffffffff,6.0,0.0,0.0
840c44bffffffff,3.0,0.0,0.0
840c451ffffffff,2.0,0.0,0.0
840c461ffffffff,10.0,0.0,0.0
840c465ffffffff,93.0,0.0,0.0
840c467ffffffff,35.0,0.0,0.0
840c46dffffffff,69.0,0.0,0.0
840c501ffffffff,6.0,0.0,0.0
840c503ffffffff,6.0,0.0,0.0
840c511ffffffff,10.0,0.0,0.0
840c515ffffffff,5.0,0.0,0.0
840c51dffffffff,64.0,0.0,0.0
840c52dffffffff,2.0,0.0,0.0
840c543ffffffff,4.0,0.0,0.0
840c54bffffffff,140.0,0.0,2.0
840c551ffffffff,115.0,0.0,0.0
840c555ffffffff,75.0,0.0,0.0
840c55bffffffff,134.0,0.0,0.0
840c55dffffffff,20.0,0.0,0.0
840c567ffffffff,12.0,0.0,0.0
840c609ffffffff,14.0,0.0,0.0
840c60dffffffff,10.0,0.0,0.0
840c617ffffffff,13.0,0.0,0.0
840c621ffffffff,40.0,0.0,0.0
