cell_id,Pionus menstruus,Pionus menstruus menstruus/rubrigularis,Pionus menstruus reichenowi
835f01fffffffff,1.0,1.0,0.0
835f58fffffffff,27.0,2.0,0.0
835f5bfffffffff,2.0,2.0,0.0
836610fffffffff,24.0,19.0,0.0
836613fffffffff,15.0,6.0,0.0
836616fffffffff,12.0,12.0,0.0
836619fffffffff,5.0,3.0,0.0
83661bfffffffff,15.0,0.0,0.0
83661efffffffff,2.0,0.0,0.0
836684fffffffff,7.0,0.0,0.0
8366a0fffffffff,20.0,4.0,0.0
8366a5fffffffff,14.0,13.0,0.0
8366a6fffffffff,4.0,0.0,0.0
8366b4fffffffff,2.0,0.0,0.0
8366b5fffffffff,12.0,6.0,0.0
8366dcfffffffff,4.0,1.0,0.0
8366e6fffffffff,3.0,0.0,0.0
8366f0fffffffff,2.0,0.0,0.0
8366f1fffffffff,8.0,0.0,0.0
8366f5fffffffff,7.0,0.0,0.0
836741fffffffff,2.0,0.0,0.0
83674cfffffffff,2.0,0.0,0.0
83674dfffffffff,2.0,0.0,0.0
836751fffffffff,1.0,0.0,0.0
836753fffffffff,4.0,0.0,0.0
83675cfffffffff,19.0,0.0,0.0
83679afffffffff,7.0,0.0,0.0
83679bfffffffff,1.0,0.0,0.0
836d69fffffffff,6.0,0.0,0.0
83814afffffffff,7.0,7.0,0.0
838180fffffffff,12.0,0.0,11.0
838185fffffffff,2.0,0.0,2.0
838a05fffffffff,1.0,1.0,0.0
838a18fffffffff,2.0,0.0,0.0
838a25fffffffff,2.0,2.0,0.0
838a33fffffffff,10.0,0.0,0.0
838aacfffffffff,2.0,0.0,0.0
838af6fffffffff,2.0,0.0,0.0
838b0bfffffffff,1.0,0.0,0.0
838b0cfffffffff,1.0,1.0,0.0
838b22fffffffff,5.0,5.0,0.0
838b51fffffffff,1.0,1.0,0.0
838b5cfffffffff,6.0,6.0,0.0
838b61fffffffff,8.0,8.0,0.0
838b63fffffffff,19.0,17.0,0.0
838b71fffffffff,4.0,2.0,0.0
838b75fffffffff,2.0,0.0,0.0
838f0dfffffffff,7.0,0.0,0.0
838f54fffffffff,2.0,0.0,0.0
838f61fffffffff,2.0,0.0,0.0
838f73fffffffff,1.0,1.0,0.0
83a891fffffffff,1.0,0.0,1.0
