cell_id,Cynanthus canivetii,Cynanthus canivetii canivetii,Cynanthus canivetii salvini/osberti
83450afffffffff,2.0,2.0,0.0
83450bfffffffff,3.0,3.0,0.0
83450cfffffffff,2.0,0.0,0.0
834520fffffffff,7.0,0.0,6.0
834525fffffffff,34.0,16.0,11.0
83452afffffffff,3.0,0.0,0.0
83452efffffffff,2.0,0.0,0.0
834535fffffffff,2.0,0.0,0.0
834990fffffffff,1.0,1.0,0.0
834996fffffffff,9.0,3.0,0.0
834998fffffffff,1.0,1.0,0.0
8366b4fffffffff,27.0,0.0,0.0
836795fffffffff,2.0,0.0,0.0
836d23fffffffff,16.0,1.0,0.0
836d29fffffffff,12.0,0.0,0.0
836d2afffffffff,11.0,0.0,11.0
836d2bfffffffff,8.0,0.0,0.0
836d2dfffffffff,5.0,0.0,0.0
836d30fffffffff,2.0,1.0,0.0
836d31fffffffff,13.0,0.0,0.0
836d66fffffffff,3.0,0.0,2.0
836d68fffffffff,12.0,0.0,4.0
836d69fffffffff,24.0,0.0,15.0
836d6dfffffffff,4.0,0.0,0.0
836d74fffffffff,2.0,0.0,0.0
