cell_id,Spinus pinus,Spinus pinus pinus/macropterus,Spinus pinus perplexus,Spinus pinus (green morph)
830c06fffffffff,2.0,0.0,0.0,0.0
830c14fffffffff,19.0,0.0,0.0,0.0
830c15fffffffff,4.0,0.0,0.0,0.0
830c41fffffffff,47.0,0.0,0.0,0.0
830c42fffffffff,1.0,1.0,0.0,0.0
830c46fffffffff,30.0,4.0,0.0,0.0
830c50fffffffff,1.0,0.0,0.0,0.0
830c51fffffffff,5.0,0.0,0.0,0.0
830c54fffffffff,2.0,0.0,0.0,0.0
830c5afffffffff,6.0,0.0,0.0,0.0
830c70fffffffff,4.0,0.0,0.0,0.0
830c73fffffffff,9.0,0.0,0.0,0.0
830c80fffffffff,2.0,0.0,0.0,0.0
830ca4fffffffff,52.0,1.0,0.0,0.0
830ccefffffffff,1.0,0.0,0.0,0.0
830cddfffffffff,4.0,0.0,0.0,0.0
830cdefffffffff,1.0,0.0,0.0,0.0
830cecfffffffff,3.0,0.0,0.0,0.0
830d03fffffffff,5.0,0.0,0.0,0.0
830e4afffffffff,2.0,0.0,0.0,0.0
830e80fffffffff,28.0,0.0,0.0,0.0
830ec8fffffffff,3.0,0.0,0.0,1.0
830ec9fffffffff,10.0,6.0,0.0,0.0
830eccfffffffff,2.0,0.0,0.0,0.0
830ecdfffffffff,11.0,11.0,0.0,0.0
830ed8fffffffff,2.0,0.0,0.0,0.0
830eeafffffffff,7.0,3.0,0.0,0.0
83121dfffffffff,2.0,2.0,0.0,0.0
831230fffffffff,3.0,0.0,0.0,0.0
831251fffffffff,4.0,4.0,0.0,0.0
831269fffffffff,2.0,0.0,0.0,0.0
83128bfffffffff,1.0,0.0,0.0,0.0
8312a2fffffffff,1.0,0.0,0.0,0.0
8312abfffffffff,2.0,0.0,0.0,0.0
8312adfffffffff,2.0,0.0,0.0,0.0
8312b0fffffffff,32.0,0.0,0.0,0.0
8312b4fffffffff,3.0,0.0,0.0,2.0
8312b6fffffffff,3.0,3.0,0.0,0.0
8312c1fffffffff,9.0,0.0,0.0,0.0
8312c8fffffffff,3.0,0.0,0.0,0.0
8312c9fffffffff,2.0,0.0,0.0,0.0
8312cafffffffff,3.0,2.0,0.0,0.0
8312cbfffffffff,9.0,3.0,0.0,0.0
8312ccfffffffff,3.0,0.0,0.0,0.0
8312cdfffffffff,1.0,0.0,0.0,0.0
8312cefffffffff,3.0,0.0,0.0,0.0
8312d3fffffffff,4.0,0.0,0.0,4.0
8312d4fffffffff,2.0,0.0,0.0,0.0
8312d9fffffffff,4.0,0.0,0.0,0.0
8312dafffffffff,2.0,0.0,0.0,0.0
8312dbfffffffff,9.0,2.0,0.0,5.0
8312dcfffffffff,1.0,0.0,0.0,1.0
8312ddfffffffff,5.0,0.0,0.0,0.0
8312defffffffff,2.0,2.0,0.0,0.0
8312e8fffffffff,2.0,0.0,0.0,0.0
8312eafffffffff,1.0,0.0,0.0,0.0
8312eefffffffff,2.0,0.0,0.0,0.0
8312f1fffffffff,1.0,0.0,0.0,0.0
8312f6fffffffff,2.0,0.0,0.0,0.0
