cell_id,Acridotheres fuscus,Acridotheres fuscus mahrattensis,Acridotheres fuscus [fuscus Group]
84209a5ffffffff,3.0,0.0,0.0
842c93bffffffff,4.0,0.0,0.0
843c199ffffffff,10.0,0.0,0.0
843c19bffffffff,4.0,0.0,0.0
843c1b5ffffffff,2.0,0.0,0.0
843c1b9ffffffff,3.0,0.0,0.0
843c521ffffffff,2.0,0.0,0.0
843c527ffffffff,14.0,0.0,0.0
843c5a9ffffffff,5.0,0.0,0.0
843c885ffffffff,4.0,0.0,0.0
843c8a9ffffffff,2.0,0.0,0.0
843c8d9ffffffff,4.0,0.0,0.0
843c8dbffffffff,2.0,0.0,0.0
843c8edffffffff,2.0,0.0,0.0
843c925ffffffff,2.0,0.0,0.0
843c92dffffffff,1.0,0.0,0.0
843c9d9ffffffff,2.0,0.0,0.0
843ca87ffffffff,2.0,0.0,0.0
843ca93ffffffff,2.0,0.0,0.0
843ca97ffffffff,1.0,0.0,0.0
843cc45ffffffff,1.0,0.0,0.0
843cc47ffffffff,4.0,0.0,0.0
843cc4bffffffff,2.0,0.0,0.0
843cc6bffffffff,7.0,0.0,0.0
843ce15ffffffff,1.0,0.0,0.0
843ce1bffffffff,3.0,0.0,0.0
843ce4dffffffff,1.0,0.0,0.0
843ce57ffffffff,5.0,0.0,0.0
843cec1ffffffff,12.0,0.0,0.0
843cec3ffffffff,15.0,0.0,0.0
843cec9ffffffff,4.0,0.0,0.0
843ceddffffffff,2.0,0.0,0.0
843cf05ffffffff,5.0,0.0,0.0
843cf0dffffffff,1.0,0.0,0.0
843cf29ffffffff,16.0,0.0,0.0
843cf2dffffffff,22.0,0.0,0.0
843cf69ffffffff,1.0,0.0,0.0
843d13bffffffff,1.0,0.0,0.0
843d141ffffffff,7.0,0.0,0.0
843d147ffffffff,4.0,0.0,0.0
843d16bffffffff,3.0,0.0,0.0
843d1edffffffff,2.0,0.0,0.0
843d9b9ffffffff,2.0,0.0,0.0
843dad1ffffffff,4.0,0.0,0.0
8443a03ffffffff,6.0,0.0,0.0
844ba09ffffffff,1.0,0.0,0.0
844ba0bffffffff,19.0,0.0,0.0
844ba15ffffffff,9.0,0.0,0.0
844ba1dffffffff,8.0,0.0,0.0
844ba29ffffffff,4.0,0.0,0.0
844ba2bffffffff,123.0,0.0,0.0
844ba57ffffffff,10.0,0.0,0.0
844bb53ffffffff,3.0,0.0,0.0
846004dffffffff,11.0,0.0,0.0
8460069ffffffff,2.0,0.0,0.0
846006dffffffff,4.0,0.0,0.0
846011bffffffff,2.0,0.0,0.0
8460139ffffffff,3.0,0.0,0.0
846014dffffffff,6.0,0.0,0.0
8460151ffffffff,3.0,0.0,0.0
8460155ffffffff,2.0,0.0,0.0
8460159ffffffff,4.0,0.0,0.0
846015bffffffff,6.0,0.0,0.0
846015dffffffff,2.0,0.0,0.0
84601e9ffffffff,1.0,0.0,0.0
8460221ffffffff,16.0,0.0,0.0
8460225ffffffff,6.0,0.0,0.0
8460227ffffffff,20.0,0.0,0.0
846022dffffffff,3.0,0.0,0.0
8460261ffffffff,2.0,0.0,0.0
8460263ffffffff,25.0,0.0,0.0
8460267ffffffff,2.0,0.0,0.0
8460269ffffffff,47.0,0.0,0.0
8460311ffffffff,12.0,0.0,0.0
8460313ffffffff,19.0,0.0,0.0
8460315ffffffff,27.0,0.0,0.0
8460319ffffffff,5.0,0.0,0.0
846031bffffffff,7.0,0.0,0.0
846031dffffffff,34.0,0.0,0.0
8460321ffffffff,12.0,0.0,0.0
