cell_id,Myiomela leucura,Myiomela leucura leucura/montium,Myiomela leucura cambodiana
833c02fffffffff,192.0,2.0,0.0
833c06fffffffff,4.0,0.0,0.0
833c0afffffffff,188.0,0.0,0.0
833c0bfffffffff,14.0,0.0,0.0
833c15fffffffff,4.0,0.0,0.0
833c19fffffffff,41.0,0.0,0.0
833c1cfffffffff,5.0,0.0,0.0
833c1dfffffffff,75.0,0.0,0.0
833c30fffffffff,2.0,0.0,0.0
833c31fffffffff,13.0,0.0,0.0
833c33fffffffff,3.0,0.0,0.0
833c35fffffffff,1.0,0.0,0.0
833c52fffffffff,165.0,0.0,0.0
833c53fffffffff,16.0,0.0,0.0
833c58fffffffff,124.0,0.0,0.0
833c59fffffffff,1.0,0.0,0.0
833c5afffffffff,89.0,0.0,0.0
833c5bfffffffff,43.0,0.0,0.0
833c5cfffffffff,2.0,0.0,0.0
833cc0fffffffff,5.0,0.0,0.0
833cc1fffffffff,8.0,0.0,0.0
833cc3fffffffff,7.0,0.0,0.0
833cc4fffffffff,24.0,0.0,0.0
833cc5fffffffff,24.0,0.0,0.0
833cdbfffffffff,1.0,0.0,0.0
833ce1fffffffff,8.0,0.0,0.0
833ce2fffffffff,7.0,0.0,0.0
833ce3fffffffff,3.0,0.0,0.0
833ce4fffffffff,49.0,0.0,0.0
833ce5fffffffff,45.0,0.0,0.0
833ce8fffffffff,21.0,0.0,0.0
833ce9fffffffff,2.0,0.0,0.0
833cecfffffffff,41.0,0.0,0.0
833cedfffffffff,6.0,0.0,0.0
834013fffffffff,8.0,0.0,0.0
83401dfffffffff,6.0,0.0,0.0
83402dfffffffff,2.0,0.0,0.0
834034fffffffff,2.0,0.0,0.0
834044fffffffff,4.0,0.0,0.0
83404cfffffffff,62.0,0.0,0.0
83404dfffffffff,200.0,1.0,0.0
83404efffffffff,3.0,0.0,0.0
834059fffffffff,14.0,0.0,0.0
83405cfffffffff,6.0,0.0,0.0
834061fffffffff,7.0,1.0,0.0
834065fffffffff,20.0,0.0,0.0
83406bfffffffff,14.0,2.0,0.0
834071fffffffff,4.0,0.0,0.0
8340acfffffffff,4.0,0.0,0.0
8340e1fffffffff,18.0,0.0,0.0
8340e3fffffffff,11.0,0.0,0.0
8340e5fffffffff,12.0,0.0,0.0
8340ecfffffffff,23.0,0.0,0.0
834118fffffffff,3.0,0.0,0.0
83411bfffffffff,2.0,0.0,0.0
83411dfffffffff,8.0,0.0,0.0
834143fffffffff,46.0,5.0,0.0
834149fffffffff,2.0,0.0,0.0
83414bfffffffff,2.0,0.0,0.0
83414cfffffffff,2.0,0.0,0.0
83415cfffffffff,11.0,2.0,0.0
83415dfffffffff,2.0,0.0,0.0
83415efffffffff,61.0,2.0,0.0
834160fffffffff,2.0,0.0,0.0
834165fffffffff,1.0,0.0,0.0
83416bfffffffff,2.0,0.0,0.0
834170fffffffff,3.0,0.0,0.0
834171fffffffff,2.0,0.0,0.0
834185fffffffff,1.0,0.0,0.0
834b84fffffffff,131.0,0.0,0.0
834b86fffffffff,6.0,0.0,0.0
834ba0fffffffff,4124.0,407.0,0.0
834ba1fffffffff,49.0,2.0,0.0
834ba2fffffffff,6088.0,313.0,0.0
834ba3fffffffff,547.0,4.0,0.0
834ba5fffffffff,1.0,0.0,0.0
834bb1fffffffff,276.0,16.0,0.0
836482fffffffff,130.0,33.0,0.0
836490fffffffff,14.0,2.0,0.0
836491fffffffff,367.0,101.0,0.0
836492fffffffff,5.0,0.0,0.0
836494fffffffff,32.0,16.0,0.0
836498fffffffff,12.0,0.0,0.0
8364a3fffffffff,45.0,3.0,0.0
8364b0fffffffff,5.0,0.0,0.0
8364b1fffffffff,7.0,0.0,0.0
8364b5fffffffff,1.0,0.0,0.0
836500fffffffff,187.0,22.0,0.0
836503fffffffff,25.0,0.0,0.0
836505fffffffff,1.0,0.0,0.0
836580fffffffff,33.0,0.0,0.0
836581fffffffff,12.0,0.0,0.0
8365b6fffffffff,147.0,24.0,0.0
836934fffffffff,9.0,2.0,0.0
