cell_id,Monarcha castaneiventris,Monarcha castaneiventris castaneiventris/obscurior,Monarcha castaneiventris megarhynchus,Monarcha castaneiventris ugiensis,Monarcha castaneiventris erythrostictus
837680fffffffff,6.0,0.0,0.0,0.0,6.0
839ed5fffffffff,1.0,0.0,0.0,1.0,0.0
