cell_id,Todiramphus tristrami,Todiramphus tristrami matthiae,Todiramphus tristrami stresemanni,Todiramphus tristrami [nusae Group],Todiramphus tristrami tristrami,Todiramphus tristrami alberti
847683bffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84769ddffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8476a29ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8477913ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
847791dffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8477959ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
847795bffffffff,4.0,1.0,0.0,0.0,0.0,0.0
8477981ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84779b9ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84779c5ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
849c901ffffffff,5.0,0.0,0.0,0.0,3.0,0.0
849c965ffffffff,1.0,0.0,0.0,0.0,1.0,0.0
849c9c1ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
849ed57ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
