cell_id,Anisognathus lacrymosus,Anisognathus lacrymosus pallididorsalis,Anisognathus lacrymosus melanops,Anisognathus lacrymosus yariguierum,Anisognathus lacrymosus intensus,Anisognathus lacrymosus [palpebrosus Group],Anisognathus lacrymosus lacrymosus
84660b7ffffffff,15.0,0.0,0.0,0.0,0.0,0.0,0.0
84660bbffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
84660c1ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
84660c3ffffffff,58.0,0.0,0.0,0.0,0.0,0.0,0.0
84660ddffffffff,18.0,0.0,0.0,0.0,0.0,0.0,0.0
8466181ffffffff,260.0,0.0,0.0,0.0,0.0,0.0,0.0
8466183ffffffff,13.0,0.0,0.0,0.0,0.0,0.0,0.0
8466187ffffffff,157.0,0.0,0.0,0.0,0.0,0.0,0.0
8466189ffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
846618bffffffff,296.0,0.0,0.0,0.0,0.0,0.0,0.0
8466191ffffffff,25.0,0.0,0.0,0.0,0.0,0.0,0.0
8466193ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8466195ffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
8466197ffffffff,365.0,0.0,0.0,0.0,0.0,0.0,0.0
846619dffffffff,93.0,0.0,0.0,0.0,0.0,0.0,0.0
84661b1ffffffff,348.0,0.0,0.0,0.0,0.0,0.0,0.0
84661b3ffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
84661b9ffffffff,47.0,0.0,0.0,0.0,0.0,0.0,0.0
84661bbffffffff,1564.0,0.0,0.0,0.0,0.0,8.0,0.0
84661c3ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
84661d1ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
84661d5ffffffff,180.0,0.0,0.0,0.0,0.0,0.0,0.0
8466217ffffffff,1062.0,571.0,0.0,0.0,0.0,0.0,0.0
8466291ffffffff,14.0,0.0,0.0,0.0,0.0,0.0,0.0
8466295ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8466299ffffffff,99.0,0.0,18.0,0.0,0.0,0.0,0.0
