cell_id,Xiphorhynchus ocellatus,Xiphorhynchus ocellatus [chunchotambo Group],Xiphorhynchus ocellatus beauperthuysii/lineatocapilla,Xiphorhynchus ocellatus ocellatus/perplexus
8366c0fffffffff,1.0,0.0,0.0,0.0
8366c5fffffffff,3.0,0.0,0.0,0.0
8366d1fffffffff,9.0,7.0,0.0,0.0
8366dafffffffff,8.0,8.0,0.0,0.0
8366defffffffff,3.0,0.0,0.0,0.0
838a63fffffffff,2.0,0.0,0.0,2.0
838a81fffffffff,1.0,0.0,0.0,1.0
838aa8fffffffff,1.0,0.0,0.0,1.0
838b63fffffffff,6.0,6.0,0.0,0.0
838b6efffffffff,3.0,0.0,0.0,0.0
838f46fffffffff,1.0,1.0,0.0,0.0
838f4bfffffffff,2.0,2.0,0.0,0.0
