cell_id,Caracara plancus,Caracara plancus cheriway,Caracara plancus plancus
84128e5ffffffff,2.0,2.0,0.0
8412f13ffffffff,5.0,5.0,0.0
8412f1bffffffff,4.0,4.0,0.0
8426583ffffffff,3.0,3.0,0.0
8426719ffffffff,1.0,0.0,0.0
84268cdffffffff,1.0,1.0,0.0
8426c85ffffffff,2.0,2.0,0.0
8426c87ffffffff,1.0,1.0,0.0
8426c89ffffffff,10.0,10.0,0.0
8426c93ffffffff,6.0,6.0,0.0
8426ca3ffffffff,10.0,10.0,0.0
8426ca5ffffffff,3.0,3.0,0.0
8426cb1ffffffff,2.0,2.0,0.0
8426cb5ffffffff,4.0,4.0,0.0
8426cb9ffffffff,13.0,11.0,0.0
8426cbbffffffff,3.0,3.0,0.0
8426cc1ffffffff,16.0,8.0,0.0
8426cd1ffffffff,3.0,3.0,0.0
8426ce1ffffffff,2.0,2.0,0.0
8426d81ffffffff,2.0,2.0,0.0
8426d91ffffffff,2.0,2.0,0.0
8426d95ffffffff,13.0,4.0,0.0
8426d99ffffffff,4.0,4.0,0.0
8426d9dffffffff,7.0,5.0,0.0
8426db3ffffffff,11.0,11.0,0.0
8426dbbffffffff,3.0,3.0,0.0
8426dd1ffffffff,2.0,2.0,0.0
8426dd7ffffffff,8.0,8.0,0.0
8427401ffffffff,7.0,7.0,0.0
842740dffffffff,6.0,6.0,0.0
8427441ffffffff,70.0,66.0,0.0
8427543ffffffff,2.0,0.0,0.0
8427605ffffffff,20.0,20.0,0.0
842802bffffffff,1.0,1.0,0.0
84281c3ffffffff,4.0,4.0,0.0
84281cbffffffff,25.0,25.0,0.0
84281d5ffffffff,3.0,1.0,0.0
8428305ffffffff,8.0,8.0,0.0
8428313ffffffff,1.0,0.0,0.0
8428341ffffffff,10.0,8.0,0.0
8428343ffffffff,38.0,38.0,0.0
842834dffffffff,1.0,1.0,0.0
8428b37ffffffff,2.0,2.0,0.0
8428d47ffffffff,25.0,25.0,0.0
8428dc9ffffffff,2.0,2.0,0.0
8428f4bffffffff,2.0,2.0,0.0
8429125ffffffff,11.0,11.0,0.0
84291a7ffffffff,36.0,36.0,0.0
8429a19ffffffff,3.0,0.0,0.0
8429a1bffffffff,1.0,1.0,0.0
8429a41ffffffff,7.0,0.0,0.0
8429a4dffffffff,11.0,11.0,0.0
8429a61ffffffff,2.0,2.0,0.0
8429a6dffffffff,20.0,20.0,0.0
8429ad3ffffffff,1.0,1.0,0.0
8429b1dffffffff,6.0,6.0,0.0
8429b69ffffffff,5.0,5.0,0.0
8429b6bffffffff,2.0,2.0,0.0
842a107ffffffff,1.0,1.0,0.0
842a123ffffffff,11.0,9.0,0.0
842a133ffffffff,2.0,2.0,0.0
842a13dffffffff,22.0,22.0,0.0
842a159ffffffff,2.0,0.0,0.0
842a16bffffffff,32.0,32.0,0.0
842a301ffffffff,33.0,33.0,0.0
842aacbffffffff,20.0,20.0,0.0
842aad1ffffffff,11.0,11.0,0.0
842aad3ffffffff,58.0,54.0,0.0
842aad9ffffffff,6.0,6.0,0.0
842af05ffffffff,2.0,2.0,0.0
842af17ffffffff,23.0,23.0,0.0
842af61ffffffff,2.0,2.0,0.0
842b013ffffffff,2.0,2.0,0.0
842b039ffffffff,6.0,6.0,0.0
842b059ffffffff,3.0,0.0,0.0
842b0c5ffffffff,5.0,5.0,0.0
842b1a1ffffffff,12.0,12.0,0.0
842b1a3ffffffff,3.0,0.0,0.0
842b1a5ffffffff,2.0,2.0,0.0
842b8dbffffffff,19.0,19.0,0.0
842bae7ffffffff,13.0,13.0,0.0
8444125ffffffff,4.0,0.0,0.0
8444127ffffffff,2.0,0.0,0.0
8444135ffffffff,16.0,16.0,0.0
8444137ffffffff,14.0,14.0,0.0
84441a3ffffffff,4.0,0.0,0.0
84441a5ffffffff,2.0,2.0,0.0
84441adffffffff,10.0,6.0,0.0
84441e5ffffffff,22.0,15.0,0.0
84441e7ffffffff,3.0,3.0,0.0
8444409ffffffff,6.0,6.0,0.0
8444441ffffffff,3.0,2.0,0.0
8444443ffffffff,2.0,0.0,0.0
8444451ffffffff,5.0,5.0,0.0
8444455ffffffff,8.0,7.0,0.0
8444459ffffffff,57.0,57.0,0.0
844445bffffffff,2.0,2.0,0.0
844445dffffffff,5.0,5.0,0.0
844449bffffffff,1.0,0.0,0.0
84444d1ffffffff,3.0,3.0,0.0
84444d3ffffffff,9.0,9.0,0.0
84444dbffffffff,11.0,11.0,0.0
8444555ffffffff,1.0,1.0,0.0
8444567ffffffff,1.0,1.0,0.0
8444689ffffffff,2.0,2.0,0.0
844468bffffffff,3.0,3.0,0.0
844468dffffffff,5.0,5.0,0.0
8444691ffffffff,1.0,1.0,0.0
8444693ffffffff,5.0,5.0,0.0
8444697ffffffff,1.0,1.0,0.0
84446b3ffffffff,4.0,4.0,0.0
84446c3ffffffff,1.0,1.0,0.0
84446c5ffffffff,5.0,5.0,0.0
84446c7ffffffff,12.0,12.0,0.0
84446c9ffffffff,2.0,0.0,0.0
84446cdffffffff,2.0,2.0,0.0
84446d1ffffffff,2.0,2.0,0.0
84446d5ffffffff,4.0,4.0,0.0
84446d9ffffffff,2.0,2.0,0.0
84446ebffffffff,8.0,8.0,0.0
8444731ffffffff,38.0,38.0,0.0
8444a19ffffffff,6.0,6.0,0.0
8444a53ffffffff,27.0,27.0,0.0
8444a83ffffffff,2.0,2.0,0.0
8444a89ffffffff,4.0,4.0,0.0
8444a8bffffffff,9.0,9.0,0.0
8444a93ffffffff,1.0,1.0,0.0
8444a97ffffffff,2.0,2.0,0.0
8444ac1ffffffff,79.0,75.0,0.0
8444ac3ffffffff,11.0,11.0,0.0
8444ac5ffffffff,42.0,36.0,0.0
8444ac7ffffffff,14.0,10.0,0.0
8444ac9ffffffff,3.0,3.0,0.0
8444acdffffffff,251.0,194.0,0.0
8444ad1ffffffff,2.0,0.0,0.0
8444ad5ffffffff,2.0,2.0,0.0
8444ad7ffffffff,4.0,4.0,0.0
8444ad9ffffffff,8.0,8.0,0.0
8444addffffffff,4.0,4.0,0.0
8444ae9ffffffff,10.0,10.0,0.0
8444aebffffffff,4.0,2.0,0.0
8444d07ffffffff,6.0,6.0,0.0
8444d09ffffffff,2.0,0.0,0.0
8444e3dffffffff,9.0,9.0,0.0
8444e6bffffffff,4.0,4.0,0.0
8444f05ffffffff,4.0,0.0,0.0
8444f63ffffffff,2.0,0.0,0.0
844505bffffffff,4.0,4.0,0.0
8445083ffffffff,1.0,1.0,0.0
8445215ffffffff,6.0,0.0,0.0
8445217ffffffff,2.0,2.0,0.0
844521dffffffff,2.0,2.0,0.0
8445233ffffffff,4.0,0.0,0.0
844523bffffffff,3.0,3.0,0.0
8445249ffffffff,1.0,1.0,0.0
8445251ffffffff,2.0,2.0,0.0
8445255ffffffff,1.0,1.0,0.0
84452c1ffffffff,5.0,5.0,0.0
84452c7ffffffff,3.0,3.0,0.0
84452c9ffffffff,2.0,2.0,0.0
84452cbffffffff,1.0,1.0,0.0
84452d3ffffffff,1.0,1.0,0.0
84452dbffffffff,9.0,9.0,0.0
84452e1ffffffff,18.0,12.0,0.0
84452e7ffffffff,6.0,4.0,0.0
8445313ffffffff,3.0,0.0,0.0
844533bffffffff,9.0,8.0,0.0
8445353ffffffff,2.0,2.0,0.0
84458c7ffffffff,2.0,2.0,0.0
8445981ffffffff,2.0,2.0,0.0
84482a9ffffffff,3.0,3.0,0.0
84482adffffffff,5.0,5.0,0.0
84482b1ffffffff,2.0,2.0,0.0
84482b9ffffffff,2.0,2.0,0.0
84482e5ffffffff,1.0,1.0,0.0
8448435ffffffff,3.0,3.0,0.0
8448553ffffffff,1.0,0.0,0.0
8448559ffffffff,24.0,14.0,0.0
84485a7ffffffff,3.0,2.0,0.0
84485bbffffffff,3.0,3.0,0.0
84485d7ffffffff,2.0,2.0,0.0
8448733ffffffff,2.0,2.0,0.0
844880dffffffff,2.0,2.0,0.0
8448823ffffffff,2.0,0.0,0.0
8448831ffffffff,2.0,2.0,0.0
8448837ffffffff,3.0,3.0,0.0
844886bffffffff,33.0,33.0,0.0
8448889ffffffff,14.0,12.0,0.0
844889bffffffff,2.0,0.0,0.0
844889dffffffff,2.0,0.0,0.0
84488a1ffffffff,9.0,2.0,0.0
84488b5ffffffff,2.0,2.0,0.0
84488c7ffffffff,4.0,4.0,0.0
8448903ffffffff,1.0,1.0,0.0
8448923ffffffff,1.0,0.0,0.0
8448933ffffffff,4.0,4.0,0.0
8448935ffffffff,5.0,3.0,0.0
8448939ffffffff,2.0,0.0,0.0
844893dffffffff,4.0,4.0,0.0
8448951ffffffff,5.0,5.0,0.0
8448953ffffffff,4.0,0.0,0.0
8448955ffffffff,2.0,2.0,0.0
8448957ffffffff,2.0,2.0,0.0
8448959ffffffff,81.0,67.0,0.0
844895bffffffff,6.0,2.0,0.0
8448985ffffffff,1.0,1.0,0.0
8448991ffffffff,3.0,3.0,0.0
8448993ffffffff,2.0,2.0,0.0
8448995ffffffff,8.0,8.0,0.0
8448997ffffffff,6.0,6.0,0.0
8448999ffffffff,5.0,3.0,0.0
844899bffffffff,9.0,9.0,0.0
84489a5ffffffff,12.0,12.0,0.0
84489a9ffffffff,3.0,0.0,0.0
84489adffffffff,6.0,6.0,0.0
84489b3ffffffff,2.0,2.0,0.0
84489b7ffffffff,4.0,4.0,0.0
84489bbffffffff,2.0,2.0,0.0
84489c1ffffffff,2.0,2.0,0.0
84489c3ffffffff,8.0,0.0,0.0
84489c9ffffffff,10.0,6.0,0.0
84489cdffffffff,5.0,2.0,0.0
84489e1ffffffff,3.0,3.0,0.0
84489e3ffffffff,5.0,5.0,0.0
84489e9ffffffff,1.0,1.0,0.0
8448ab7ffffffff,2.0,2.0,0.0
8448b13ffffffff,2.0,2.0,0.0
8448b15ffffffff,5.0,2.0,0.0
8448b31ffffffff,2.0,2.0,0.0
8448b39ffffffff,4.0,2.0,0.0
8448b3dffffffff,1.0,1.0,0.0
8448c35ffffffff,14.0,10.0,0.0
8448c59ffffffff,14.0,14.0,0.0
8448c5dffffffff,1.0,1.0,0.0
8448dcbffffffff,1.0,1.0,0.0
8448de9ffffffff,1.0,0.0,0.0
8448e23ffffffff,1.0,0.0,0.0
8448e81ffffffff,22.0,15.0,0.0
8448e83ffffffff,125.0,105.0,0.0
8448e85ffffffff,18.0,10.0,0.0
8448e87ffffffff,4.0,4.0,0.0
8448e89ffffffff,72.0,47.0,0.0
