cell_id,Edolisoma mindanense,Edolisoma mindanense lecroyae,Edolisoma mindanense elusum,Edolisoma mindanense mindanense/ripleyi,Edolisoma mindanense everetti
83684efffffffff,3.0,0.0,0.0,0.0,0.0
83685efffffffff,5.0,0.0,0.0,0.0,0.0
836943fffffffff,4.0,0.0,0.0,0.0,0.0
