cell_id,Tychaedon quadrivirgata,Tychaedon quadrivirgata quadrivirgata,Tychaedon quadrivirgata greenwayi
847a643ffffffff,1.0,0.0,0.0
847a653ffffffff,4.0,0.0,0.0
847a66dffffffff,16.0,0.0,0.0
847b4a1ffffffff,5.0,0.0,0.0
847b4a5ffffffff,18.0,0.0,0.0
847b4a7ffffffff,2.0,0.0,0.0
847b4abffffffff,1.0,0.0,0.0
847b591ffffffff,6.0,0.0,0.0
847b595ffffffff,18.0,0.0,0.0
847b597ffffffff,154.0,0.0,0.0
847b59bffffffff,12.0,0.0,0.0
847b5b5ffffffff,1.0,0.0,0.0
847b5bbffffffff,2.0,0.0,0.0
847b689ffffffff,4.0,0.0,0.0
847b6a9ffffffff,3.0,0.0,0.0
847b6bbffffffff,2.0,0.0,0.0
847b6d5ffffffff,3.0,0.0,0.0
8496009ffffffff,1.0,0.0,0.0
849602dffffffff,1.0,0.0,0.0
8496051ffffffff,2.0,0.0,0.0
8496201ffffffff,13.0,8.0,0.0
8496203ffffffff,4.0,2.0,0.0
8496207ffffffff,15.0,2.0,0.0
8496215ffffffff,9.0,2.0,0.0
8496219ffffffff,2.0,2.0,0.0
849621dffffffff,1.0,0.0,0.0
8496239ffffffff,12.0,8.0,0.0
849623bffffffff,3.0,0.0,0.0
8496241ffffffff,2.0,2.0,0.0
8496261ffffffff,2.0,0.0,0.0
8496263ffffffff,14.0,0.0,0.0
849628bffffffff,2.0,0.0,0.0
84962c5ffffffff,2.0,0.0,0.0
84962c9ffffffff,28.0,12.0,0.0
84962d7ffffffff,4.0,2.0,0.0
8496935ffffffff,1.0,0.0,0.0
849693dffffffff,5.0,0.0,0.0
8496b0dffffffff,6.0,0.0,0.0
8496b1bffffffff,1.0,0.0,0.0
8496b53ffffffff,4.0,0.0,0.0
8496b63ffffffff,1.0,0.0,0.0
8496b6dffffffff,6.0,0.0,0.0
8497015ffffffff,1.0,0.0,0.0
8497027ffffffff,1.0,0.0,0.0
849702bffffffff,17.0,0.0,0.0
8497035ffffffff,9.0,3.0,0.0
849703dffffffff,8.0,0.0,0.0
8497051ffffffff,3.0,0.0,0.0
8497057ffffffff,3.0,0.0,0.0
8497069ffffffff,4.0,0.0,0.0
8497081ffffffff,1.0,0.0,0.0
84970c5ffffffff,5.0,0.0,0.0
8497101ffffffff,4.0,0.0,0.0
8497103ffffffff,37.0,0.0,0.0
8497107ffffffff,14.0,0.0,0.0
8497111ffffffff,2.0,0.0,0.0
8497119ffffffff,103.0,0.0,0.0
849711dffffffff,13.0,0.0,0.0
8497139ffffffff,22.0,0.0,0.0
8497195ffffffff,1.0,0.0,0.0
84971a5ffffffff,1.0,0.0,0.0
84971b9ffffffff,5.0,0.0,0.0
84971c1ffffffff,5.0,0.0,0.0
84971c9ffffffff,7.0,0.0,0.0
84971cbffffffff,2.0,0.0,0.0
8497289ffffffff,2.0,0.0,0.0
849728bffffffff,1.0,0.0,0.0
849728dffffffff,34.0,6.0,0.0
8497295ffffffff,1.0,0.0,0.0
84972a5ffffffff,3.0,0.0,0.0
84972c5ffffffff,6.0,2.0,0.0
84972c9ffffffff,4.0,0.0,0.0
84972cbffffffff,1.0,0.0,0.0
84972cdffffffff,9.0,0.0,0.0
84972d5ffffffff,2.0,0.0,0.0
84972d7ffffffff,6.0,2.0,0.0
84972d9ffffffff,2.0,0.0,0.0
84972e3ffffffff,71.0,12.0,0.0
84972e7ffffffff,1.0,0.0,0.0
84972ebffffffff,10.0,0.0,0.0
8497311ffffffff,1.0,0.0,0.0
8497317ffffffff,4.0,0.0,0.0
8497357ffffffff,11.0,0.0,0.0
849740dffffffff,2.0,0.0,0.0
8497417ffffffff,1.0,0.0,0.0
84974a9ffffffff,1.0,0.0,0.0
84974abffffffff,12.0,0.0,0.0
84974b9ffffffff,7.0,0.0,0.0
8497503ffffffff,2.0,0.0,0.0
8497505ffffffff,1.0,0.0,0.0
8497509ffffffff,1.0,0.0,0.0
8497511ffffffff,2.0,0.0,0.0
8497513ffffffff,23.0,0.0,0.0
8497515ffffffff,102.0,8.0,0.0
8497517ffffffff,80.0,0.0,0.0
8497547ffffffff,1.0,0.0,0.0
8497583ffffffff,9.0,2.0,0.0
8497587ffffffff,6.0,0.0,0.0
84975c5ffffffff,1.0,1.0,0.0
84975c7ffffffff,4.0,0.0,0.0
84975c9ffffffff,1.0,0.0,0.0
8497725ffffffff,1.0,0.0,0.0
849772dffffffff,2.0,0.0,0.0
8497885ffffffff,10.0,0.0,0.0
84978b9ffffffff,10.0,0.0,0.0
84978ddffffffff,2.0,0.0,0.0
8497937ffffffff,3.0,0.0,0.0
8497a85ffffffff,1.0,0.0,0.0
8497a89ffffffff,1.0,0.0,0.0
8497a8bffffffff,2.0,0.0,0.0
8497aabffffffff,10.0,0.0,0.0
8497ac3ffffffff,1.0,0.0,0.0
8497b05ffffffff,7.0,0.0,0.0
84ac961ffffffff,7.0,0.0,0.0
84bc891ffffffff,3.0,0.0,0.0
84bc893ffffffff,2.0,0.0,0.0
84bc897ffffffff,1.0,0.0,0.0
84bc89bffffffff,15.0,0.0,0.0
84bc8b7ffffffff,1.0,0.0,0.0
84bc991ffffffff,14.0,0.0,0.0
84bc9b3ffffffff,4.0,0.0,0.0
84bcc6dffffffff,3.0,0.0,0.0
84bcd01ffffffff,1.0,0.0,0.0
84bcd05ffffffff,8.0,3.0,0.0
84bcd07ffffffff,2.0,0.0,0.0
84bcd0dffffffff,23.0,2.0,0.0
84bcd21ffffffff,12.0,0.0,0.0
84bcd23ffffffff,24.0,0.0,0.0
84bcd25ffffffff,3.0,0.0,0.0
84bcd27ffffffff,9.0,5.0,0.0
84bcd29ffffffff,102.0,16.0,0.0
84bcd2bffffffff,5.0,0.0,0.0
84bcd2dffffffff,1.0,0.0,0.0
84bcd35ffffffff,4.0,0.0,0.0
84bcd37ffffffff,2.0,0.0,0.0
84bcd3dffffffff,3.0,0.0,0.0
84bcd45ffffffff,6.0,0.0,0.0
84bcd63ffffffff,41.0,6.0,0.0
84bcd67ffffffff,36.0,6.0,0.0
84bcd6dffffffff,2.0,0.0,0.0
84bcf05ffffffff,4.0,2.0,0.0
84bcf0dffffffff,4.0,2.0,0.0
84bcf21ffffffff,2.0,0.0,0.0
84bcf25ffffffff,24.0,5.0,0.0
84bcf29ffffffff,375.0,88.0,0.0
84bcf2dffffffff,6.0,0.0,0.0
84bcf61ffffffff,18.0,5.0,0.0
84bcf63ffffffff,67.0,1.0,0.0
84bcf67ffffffff,33.0,10.0,0.0
