cell_id,Coeligena torquata,Coeligena torquata [torquata Group],Coeligena torquata eisenmanni
83660bfffffffff,4.0,0.0,0.0
83660cfffffffff,2.0,0.0,0.0
83660dfffffffff,4.0,1.0,0.0
836618fffffffff,2.0,2.0,0.0
83661bfffffffff,8.0,3.0,0.0
8366d3fffffffff,1.0,0.0,0.0
8366defffffffff,7.0,0.0,0.0
8366e0fffffffff,8.0,8.0,0.0
8366e5fffffffff,4.0,0.0,0.0
8366e6fffffffff,5.0,2.0,0.0
8366f0fffffffff,5.0,0.0,0.0
8366f3fffffffff,3.0,3.0,0.0
838f0dfffffffff,4.0,0.0,0.0
838f42fffffffff,4.0,0.0,0.0
838f46fffffffff,19.0,0.0,0.0
838f4afffffffff,10.0,10.0,0.0
838f54fffffffff,2.0,0.0,0.0
838f59fffffffff,3.0,3.0,0.0
838f5cfffffffff,3.0,0.0,0.0
838f5dfffffffff,1.0,0.0,0.0
838f72fffffffff,10.0,8.0,0.0
