cell_id,Basileuterus culicivorus,Basileuterus culicivorus [culicivorus Group],Basileuterus culicivorus [cabanisi Group],Basileuterus culicivorus [auricapilla Group],Basileuterus culicivorus hypoleucus
84450a1ffffffff,5.0,0.0,0.0,0.0,0.0
84450a3ffffffff,2.0,0.0,0.0,0.0,0.0
84450a7ffffffff,1.0,0.0,0.0,0.0,0.0
84450abffffffff,1.0,0.0,0.0,0.0,0.0
84450cdffffffff,1.0,0.0,0.0,0.0,0.0
8445201ffffffff,9.0,0.0,0.0,0.0,0.0
8445203ffffffff,16.0,0.0,0.0,0.0,0.0
8445205ffffffff,3.0,0.0,0.0,0.0,0.0
8445207ffffffff,2.0,0.0,0.0,0.0,0.0
8445209ffffffff,2.0,0.0,0.0,0.0,0.0
844520bffffffff,49.0,0.0,0.0,0.0,0.0
844520dffffffff,186.0,0.0,0.0,0.0,0.0
8445211ffffffff,7.0,0.0,0.0,0.0,0.0
8445213ffffffff,5.0,0.0,0.0,0.0,0.0
8445215ffffffff,4.0,0.0,0.0,0.0,0.0
8445217ffffffff,49.0,0.0,0.0,0.0,0.0
844521dffffffff,26.0,7.0,0.0,0.0,0.0
8445225ffffffff,59.0,0.0,0.0,0.0,0.0
844522dffffffff,6.0,0.0,0.0,0.0,0.0
8445233ffffffff,24.0,0.0,0.0,0.0,0.0
844523bffffffff,2.0,0.0,0.0,0.0,0.0
8445253ffffffff,1.0,1.0,0.0,0.0,0.0
8445255ffffffff,4.0,0.0,0.0,0.0,0.0
8445257ffffffff,5.0,0.0,0.0,0.0,0.0
8445263ffffffff,174.0,0.0,0.0,0.0,0.0
8445267ffffffff,2.0,0.0,0.0,0.0,0.0
8445281ffffffff,13.0,0.0,0.0,0.0,0.0
8445283ffffffff,2.0,0.0,0.0,0.0,0.0
8445285ffffffff,48.0,0.0,0.0,0.0,0.0
8445287ffffffff,3.0,0.0,0.0,0.0,0.0
8445289ffffffff,72.0,0.0,0.0,0.0,0.0
844528dffffffff,60.0,0.0,0.0,0.0,0.0
84452a1ffffffff,1.0,0.0,0.0,0.0,0.0
84452a9ffffffff,341.0,0.0,0.0,0.0,0.0
84452abffffffff,30.0,0.0,0.0,0.0,0.0
84452b5ffffffff,3.0,0.0,0.0,0.0,0.0
84452bdffffffff,41.0,0.0,0.0,0.0,0.0
84452c1ffffffff,9.0,0.0,0.0,0.0,0.0
84452c3ffffffff,147.0,13.0,0.0,0.0,0.0
84452c5ffffffff,62.0,6.0,0.0,0.0,0.0
84452c7ffffffff,84.0,3.0,0.0,0.0,0.0
84452c9ffffffff,4.0,0.0,0.0,0.0,0.0
84452d9ffffffff,88.0,0.0,0.0,0.0,0.0
84452dbffffffff,18.0,0.0,0.0,0.0,0.0
84452e1ffffffff,1776.0,0.0,0.0,0.0,0.0
84452e3ffffffff,100.0,0.0,0.0,0.0,0.0
84452e5ffffffff,324.0,0.0,0.0,0.0,0.0
84452e7ffffffff,4.0,0.0,0.0,0.0,0.0
84452e9ffffffff,303.0,0.0,0.0,0.0,0.0
84452ebffffffff,283.0,13.0,0.0,0.0,0.0
84452edffffffff,160.0,0.0,0.0,0.0,0.0
8445305ffffffff,14.0,0.0,0.0,0.0,0.0
8445309ffffffff,12.0,0.0,0.0,0.0,0.0
844530dffffffff,4.0,0.0,0.0,0.0,0.0
8445319ffffffff,3.0,0.0,0.0,0.0,0.0
8445343ffffffff,33.0,0.0,0.0,0.0,0.0
8445351ffffffff,114.0,0.0,0.0,0.0,0.0
8445353ffffffff,2.0,0.0,0.0,0.0,0.0
8445363ffffffff,2.0,0.0,0.0,0.0,0.0
8445649ffffffff,49.0,3.0,0.0,0.0,0.0
8448361ffffffff,224.0,0.0,0.0,0.0,0.0
8448363ffffffff,2.0,0.0,0.0,0.0,0.0
8448367ffffffff,3.0,0.0,0.0,0.0,0.0
844836dffffffff,53.0,0.0,0.0,0.0,0.0
8448a21ffffffff,478.0,0.0,0.0,0.0,0.0
8448a2dffffffff,28.0,0.0,0.0,0.0,0.0
8448b5bffffffff,21.0,0.0,0.0,0.0,0.0
8449863ffffffff,1.0,0.0,0.0,0.0,0.0
8449901ffffffff,13.0,2.0,0.0,0.0,0.0
8449903ffffffff,31.0,0.0,0.0,0.0,0.0
8449905ffffffff,10.0,0.0,0.0,0.0,0.0
8449907ffffffff,5.0,0.0,0.0,0.0,0.0
844990bffffffff,4.0,0.0,0.0,0.0,0.0
844990dffffffff,2.0,0.0,0.0,0.0,0.0
8449913ffffffff,36.0,0.0,0.0,0.0,0.0
8449917ffffffff,5.0,0.0,0.0,0.0,0.0
844991dffffffff,19.0,0.0,0.0,0.0,0.0
844993bffffffff,3.0,1.0,0.0,0.0,0.0
8449961ffffffff,164.0,25.0,0.0,0.0,0.0
8449963ffffffff,1847.0,785.0,0.0,0.0,0.0
8449967ffffffff,9.0,2.0,0.0,0.0,0.0
8449969ffffffff,417.0,14.0,0.0,0.0,0.0
844996bffffffff,68.0,4.0,0.0,0.0,0.0
8449981ffffffff,43.0,0.0,0.0,0.0,0.0
8449983ffffffff,2.0,0.0,0.0,0.0,0.0
8449987ffffffff,424.0,16.0,0.0,0.0,0.0
844998dffffffff,2.0,0.0,0.0,0.0,0.0
84499a3ffffffff,2.0,0.0,0.0,0.0,0.0
84499b1ffffffff,30.0,0.0,0.0,0.0,0.0
84499b5ffffffff,3.0,0.0,0.0,0.0,0.0
84499b7ffffffff,5.0,0.0,0.0,0.0,0.0
84499bdffffffff,1.0,0.0,0.0,0.0,0.0
84499c5ffffffff,81.0,0.0,0.0,0.0,0.0
84499c7ffffffff,3.0,0.0,0.0,0.0,0.0
84499cdffffffff,12.0,0.0,0.0,0.0,0.0
84499e3ffffffff,4.0,0.0,0.0,0.0,0.0
84499ebffffffff,2.0,0.0,0.0,0.0,0.0
8449a83ffffffff,13.0,0.0,0.0,0.0,0.0
8449a85ffffffff,23.0,0.0,0.0,0.0,0.0
8449a91ffffffff,10.0,0.0,0.0,0.0,0.0
8449a95ffffffff,6.0,0.0,0.0,0.0,0.0
8449a97ffffffff,2.0,0.0,0.0,0.0,0.0
8449aa1ffffffff,3.0,0.0,0.0,0.0,0.0
8449b0bffffffff,2.0,0.0,0.0,0.0,0.0
8449b19ffffffff,14.0,2.0,0.0,0.0,0.0
8449b53ffffffff,29.0,2.0,0.0,0.0,0.0
8449b57ffffffff,77.0,3.0,0.0,0.0,0.0
8449b67ffffffff,9.0,0.0,0.0,0.0,0.0
845f295ffffffff,5.0,0.0,0.0,0.0,0.0
845f297ffffffff,2.0,0.0,0.0,0.0,0.0
845f2bbffffffff,5.0,0.0,0.0,0.0,0.0
845f2d7ffffffff,3.0,0.0,0.0,0.0,0.0
845f407ffffffff,1.0,0.0,0.0,0.0,0.0
845f40dffffffff,3.0,0.0,0.0,0.0,0.0
845f415ffffffff,1.0,0.0,0.0,0.0,0.0
845f42bffffffff,2.0,0.0,0.0,0.0,0.0
845f483ffffffff,3.0,0.0,0.0,0.0,0.0
845f487ffffffff,24.0,0.0,0.0,0.0,0.0
845f491ffffffff,1.0,0.0,0.0,0.0,0.0
845f4a7ffffffff,8.0,0.0,0.0,0.0,0.0
845f4abffffffff,9.0,0.0,0.0,0.0,0.0
845f4b9ffffffff,8.0,0.0,0.0,0.0,0.0
845f4bdffffffff,33.0,0.0,0.0,0.0,0.0
845f581ffffffff,3.0,0.0,0.0,0.0,0.0
845f583ffffffff,384.0,0.0,0.0,0.0,0.0
845f587ffffffff,11.0,0.0,0.0,0.0,0.0
845f58bffffffff,2.0,0.0,0.0,0.0,0.0
845f595ffffffff,10.0,0.0,0.0,0.0,0.0
845f5b9ffffffff,11.0,0.0,0.0,0.0,0.0
845f711ffffffff,6.0,0.0,0.0,0.0,0.0
845f759ffffffff,1.0,0.0,0.0,0.0,0.0
846601bffffffff,50.0,0.0,0.0,0.0,0.0
8466081ffffffff,47.0,0.0,0.0,0.0,0.0
8466083ffffffff,21.0,0.0,0.0,0.0,0.0
8466085ffffffff,18.0,0.0,0.0,0.0,0.0
8466087ffffffff,39.0,0.0,0.0,0.0,0.0
8466089ffffffff,38.0,0.0,0.0,0.0,0.0
846608bffffffff,7.0,0.0,0.0,0.0,0.0
846608dffffffff,63.0,0.0,0.0,0.0,0.0
8466091ffffffff,8.0,0.0,0.0,0.0,0.0
8466095ffffffff,12.0,0.0,0.0,0.0,0.0
8466097ffffffff,30.0,0.0,0.0,0.0,0.0
8466099ffffffff,17.0,0.0,0.0,0.0,0.0
846609dffffffff,3.0,0.0,0.0,0.0,0.0
84660abffffffff,2.0,0.0,0.0,0.0,0.0
84660b3ffffffff,19.0,0.0,0.0,0.0,0.0
84660b5ffffffff,3.0,0.0,0.0,0.0,0.0
84660b9ffffffff,53.0,0.0,0.0,0.0,0.0
84660bbffffffff,6.0,0.0,0.0,0.0,0.0
84660bdffffffff,66.0,0.0,0.0,0.0,0.0
84660c1ffffffff,1.0,0.0,0.0,0.0,0.0
84660c3ffffffff,1.0,0.0,0.0,0.0,0.0
84660c7ffffffff,1.0,0.0,0.0,0.0,0.0
84660cbffffffff,68.0,0.0,0.0,0.0,0.0
84660cdffffffff,2.0,0.0,0.0,0.0,0.0
84660d3ffffffff,1.0,0.0,0.0,0.0,0.0
84660ddffffffff,28.0,0.0,0.0,0.0,0.0
8466117ffffffff,2.0,0.0,0.0,0.0,0.0
8466181ffffffff,15.0,0.0,0.0,0.0,0.0
8466183ffffffff,312.0,0.0,7.0,0.0,0.0
8466187ffffffff,24.0,0.0,0.0,0.0,0.0
8466189ffffffff,23.0,0.0,0.0,0.0,0.0
846618bffffffff,36.0,0.0,0.0,0.0,0.0
846618dffffffff,4.0,0.0,0.0,0.0,0.0
8466191ffffffff,1.0,0.0,0.0,0.0,0.0
8466195ffffffff,36.0,0.0,0.0,0.0,0.0
8466197ffffffff,5.0,0.0,0.0,0.0,0.0
8466199ffffffff,3.0,0.0,0.0,0.0,0.0
846619bffffffff,11.0,0.0,0.0,0.0,0.0
846619dffffffff,5.0,0.0,0.0,0.0,0.0
84661b1ffffffff,13.0,0.0,0.0,0.0,0.0
84661b3ffffffff,183.0,0.0,0.0,0.0,0.0
84661b9ffffffff,143.0,0.0,0.0,0.0,0.0
84661bbffffffff,86.0,0.0,0.0,0.0,0.0
84661bdffffffff,2.0,0.0,0.0,0.0,0.0
84661c3ffffffff,27.0,0.0,0.0,0.0,0.0
84661d1ffffffff,67.0,0.0,0.0,0.0,0.0
84661d5ffffffff,19.0,0.0,0.0,0.0,0.0
84661d7ffffffff,36.0,0.0,0.0,0.0,0.0
84661ddffffffff,23.0,0.0,0.0,0.0,0.0
84661ebffffffff,3.0,0.0,0.0,0.0,0.0
8466205ffffffff,4.0,0.0,0.0,0.0,0.0
8466207ffffffff,6.0,0.0,2.0,0.0,0.0
8466211ffffffff,13.0,0.0,0.0,0.0,0.0
8466213ffffffff,13.0,0.0,0.0,0.0,0.0
8466217ffffffff,205.0,0.0,14.0,0.0,0.0
8466219ffffffff,4.0,0.0,0.0,0.0,0.0
846622bffffffff,310.0,0.0,30.0,0.0,0.0
8466239ffffffff,2.0,0.0,0.0,0.0,0.0
846623dffffffff,3.0,0.0,0.0,0.0,0.0
8466291ffffffff,5.0,0.0,0.0,0.0,0.0
8466295ffffffff,6.0,0.0,0.0,0.0,0.0
846629bffffffff,2.0,0.0,0.0,0.0,0.0
846629dffffffff,24.0,0.0,0.0,0.0,0.0
84662a7ffffffff,3.0,0.0,0.0,0.0,0.0
84662b7ffffffff,39.0,0.0,0.0,0.0,0.0
84662bbffffffff,1.0,0.0,0.0,0.0,0.0
84662d3ffffffff,122.0,0.0,0.0,0.0,0.0
84662d7ffffffff,2.0,0.0,0.0,0.0,0.0
84662dbffffffff,4.0,0.0,0.0,0.0,0.0
84662e1ffffffff,11.0,0.0,0.0,0.0,0.0
84662e5ffffffff,28.0,0.0,0.0,0.0,0.0
84662e9ffffffff,19.0,0.0,0.0,0.0,0.0
84662edffffffff,3.0,0.0,0.0,0.0,0.0
8466565ffffffff,11.0,0.0,0.0,0.0,0.0
846656dffffffff,77.0,0.0,0.0,0.0,0.0
8466729ffffffff,1.0,0.0,0.0,0.0,0.0
8466a01ffffffff,8.0,0.0,0.0,0.0,0.0
8466a05ffffffff,11.0,1.0,0.0,0.0,0.0
8466a29ffffffff,5.0,0.0,0.0,0.0,0.0
8466a2dffffffff,44.0,2.0,0.0,0.0,0.0
8466a31ffffffff,7.0,0.0,0.0,0.0,0.0
8466a33ffffffff,49.0,6.0,0.0,0.0,0.0
8466b41ffffffff,312.0,0.0,0.0,0.0,0.0
8466b43ffffffff,47.0,0.0,0.0,0.0,0.0
8466b45ffffffff,59.0,0.0,0.0,0.0,0.0
8466b47ffffffff,2.0,0.0,0.0,0.0,0.0
8466b49ffffffff,1886.0,0.0,0.0,0.0,0.0
8466b4dffffffff,803.0,0.0,0.0,0.0,0.0
8466b51ffffffff,911.0,40.0,0.0,0.0,0.0
8466b53ffffffff,12.0,0.0,0.0,0.0,0.0
8466b55ffffffff,214.0,0.0,0.0,0.0,0.0
8466b5bffffffff,93.0,0.0,0.0,0.0,0.0
8466b5dffffffff,55.0,0.0,0.0,0.0,0.0
8466c0dffffffff,14.0,0.0,0.0,0.0,0.0
8466c47ffffffff,7.0,0.0,0.0,0.0,0.0
8466c4bffffffff,13.0,0.0,0.0,0.0,0.0
8466c61ffffffff,4.0,0.0,0.0,0.0,0.0
8466c63ffffffff,1.0,0.0,0.0,0.0,0.0
8466c65ffffffff,42.0,0.0,0.0,0.0,0.0
8466c69ffffffff,4.0,0.0,0.0,0.0,0.0
8466c6bffffffff,2.0,0.0,0.0,0.0,0.0
8466c6dffffffff,42.0,0.0,0.0,0.0,0.0
8466d0bffffffff,13.0,0.0,0.0,0.0,0.0
8466d19ffffffff,9.0,0.0,0.0,0.0,0.0
8466d53ffffffff,14.0,0.0,0.0,0.0,0.0
8466e03ffffffff,116.0,0.0,0.0,0.0,0.0
8466e09ffffffff,12.0,0.0,0.0,0.0,0.0
8466e0bffffffff,339.0,0.0,7.0,0.0,0.0
8466e0dffffffff,5.0,0.0,0.0,0.0,0.0
8466e15ffffffff,20.0,0.0,0.0,0.0,0.0
8466e39ffffffff,49.0,0.0,0.0,0.0,0.0
8466e3bffffffff,15.0,0.0,0.0,0.0,0.0
8466e3dffffffff,1.0,0.0,0.0,0.0,0.0
8466e41ffffffff,19.0,0.0,0.0,0.0,0.0
8466e43ffffffff,8.0,0.0,0.0,0.0,0.0
8466e45ffffffff,3.0,0.0,0.0,0.0,0.0
8466e47ffffffff,40.0,0.0,0.0,0.0,0.0
8466e51ffffffff,17.0,0.0,0.0,0.0,0.0
8466e55ffffffff,17.0,0.0,0.0,0.0,0.0
8466e57ffffffff,1035.0,0.0,8.0,0.0,0.0
8466e59ffffffff,315.0,0.0,12.0,0.0,0.0
8466e5dffffffff,5.0,0.0,0.0,0.0,0.0
8466e61ffffffff,1.0,0.0,0.0,0.0,0.0
8466e65ffffffff,429.0,0.0,1.0,0.0,0.0
8466e67ffffffff,8.0,0.0,0.0,0.0,0.0
8466e6dffffffff,1694.0,0.0,16.0,0.0,0.0
