cell_id,Catamenia homochroa,Catamenia homochroa oreophila,Catamenia homochroa homochroa,Catamenia homochroa duncani
836620fffffffff,2.0,0.0,0.0,0.0
83662bfffffffff,1.0,0.0,0.0,0.0
8366d3fffffffff,3.0,0.0,0.0,0.0
8366defffffffff,11.0,0.0,0.0,0.0
8366e0fffffffff,2.0,0.0,0.0,0.0
8366e5fffffffff,4.0,0.0,0.0,0.0
83675afffffffff,1.0,0.0,0.0,0.0
838e64fffffffff,1.0,0.0,0.0,0.0
838f0dfffffffff,1.0,0.0,0.0,0.0
838f4afffffffff,2.0,0.0,0.0,0.0
838f59fffffffff,2.0,0.0,0.0,0.0
838f76fffffffff,3.0,0.0,0.0,0.0
