cell_id,Platycercus elegans,Platycercus elegans [elegans Group],Platycercus elegans flaveolus,Platycercus elegans adelaidae/subadelaidae,Platycercus elegans [elegans Group] x flaveolus
841e069ffffffff,1.0,0.0,0.0,0.0,0.0
8439337ffffffff,4.0,0.0,0.0,0.0,0.0
84be085ffffffff,2.0,0.0,0.0,0.0,0.0
84be089ffffffff,7.0,3.0,0.0,0.0,0.0
84be08dffffffff,2.0,2.0,0.0,0.0,0.0
84be0c3ffffffff,7.0,2.0,0.0,0.0,0.0
84be0d3ffffffff,2.0,2.0,0.0,0.0,0.0
84be0e3ffffffff,4.0,0.0,0.0,0.0,0.0
84be1a3ffffffff,1.0,0.0,0.0,0.0,0.0
84be40dffffffff,2.0,0.0,0.0,0.0,2.0
84be457ffffffff,1.0,1.0,0.0,0.0,0.0
84be4b1ffffffff,2.0,0.0,0.0,2.0,0.0
84be4cdffffffff,2.0,0.0,0.0,0.0,0.0
84be60dffffffff,2.0,0.0,0.0,0.0,0.0
84be617ffffffff,1.0,0.0,0.0,0.0,0.0
84be623ffffffff,2.0,0.0,0.0,0.0,0.0
84be633ffffffff,1.0,1.0,0.0,0.0,0.0
84be635ffffffff,2.0,1.0,0.0,0.0,0.0
84be63dffffffff,4.0,2.0,0.0,0.0,0.0
84be6b5ffffffff,1.0,0.0,0.0,0.0,0.0
84be713ffffffff,1.0,0.0,1.0,0.0,0.0
84be717ffffffff,1.0,0.0,0.0,0.0,1.0
84be71bffffffff,3.0,3.0,0.0,0.0,0.0
84be72dffffffff,35.0,5.0,0.0,0.0,0.0
84be735ffffffff,2.0,0.0,0.0,0.0,2.0
84be73bffffffff,5.0,0.0,0.0,0.0,5.0
84be75dffffffff,3.0,3.0,0.0,0.0,0.0
84be8d1ffffffff,1.0,0.0,0.0,0.0,0.0
84beab3ffffffff,5.0,0.0,0.0,0.0,0.0
84bef01ffffffff,2.0,0.0,0.0,0.0,0.0
84bef6dffffffff,3.0,0.0,0.0,0.0,0.0
