cell_id,Daphoenositta chrysoptera,Daphoenositta chrysoptera leucoptera,Daphoenositta chrysoptera striata,Daphoenositta chrysoptera leucocephala,Daphoenositta chrysoptera chrysoptera,Daphoenositta chrysoptera pileata
82945ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0
829c67fffffffff,2.0,2.0,0.0,0.0,0.0,0.0
82b887fffffffff,1.0,0.0,0.0,0.0,0.0,1.0
82be0ffffffffff,8.0,0.0,0.0,0.0,2.0,0.0
82be47fffffffff,7.0,0.0,0.0,0.0,2.0,2.0
82be4ffffffffff,2.0,0.0,0.0,0.0,2.0,0.0
82be67fffffffff,8.0,0.0,0.0,0.0,0.0,5.0
82be77fffffffff,8.0,0.0,0.0,0.0,5.0,0.0
82be8ffffffffff,3.0,0.0,0.0,3.0,0.0,0.0
82beaffffffffff,2.0,0.0,0.0,0.0,0.0,0.0
82bef7fffffffff,2.0,0.0,0.0,0.0,2.0,0.0
