cell_id,Strix virgata,Strix virgata [virgata Group],Strix virgata superciliaris/macconnelli,Strix virgata borelliana
8448a2dffffffff,1.0,0.0,0.0,0.0
8448b4dffffffff,1.0,0.0,0.0,0.0
8448b5bffffffff,16.0,0.0,0.0,0.0
8448e55ffffffff,2.0,0.0,0.0,0.0
8448e5dffffffff,2.0,0.0,0.0,0.0
844980dffffffff,2.0,0.0,0.0,0.0
8449861ffffffff,11.0,0.0,0.0,0.0
8449865ffffffff,13.0,0.0,0.0,0.0
8449869ffffffff,31.0,0.0,0.0,0.0
844986dffffffff,13.0,0.0,0.0,0.0
8449901ffffffff,1.0,0.0,0.0,0.0
8449903ffffffff,4.0,0.0,0.0,0.0
8449907ffffffff,1.0,0.0,0.0,0.0
8449917ffffffff,4.0,0.0,0.0,0.0
844991dffffffff,2.0,0.0,0.0,0.0
8449929ffffffff,2.0,0.0,0.0,0.0
844992bffffffff,11.0,0.0,0.0,0.0
844993bffffffff,2.0,2.0,0.0,0.0
8449959ffffffff,5.0,0.0,0.0,0.0
8449961ffffffff,23.0,2.0,0.0,0.0
8449963ffffffff,174.0,22.0,0.0,0.0
8449967ffffffff,12.0,0.0,0.0,0.0
8449969ffffffff,82.0,13.0,0.0,0.0
844996bffffffff,37.0,0.0,0.0,0.0
844996dffffffff,5.0,0.0,0.0,0.0
8449981ffffffff,2.0,0.0,0.0,0.0
8449987ffffffff,129.0,0.0,0.0,0.0
844998dffffffff,2.0,0.0,0.0,0.0
84499b5ffffffff,3.0,0.0,0.0,0.0
84499c1ffffffff,6.0,0.0,0.0,0.0
84499c5ffffffff,25.0,0.0,0.0,0.0
84499c9ffffffff,4.0,0.0,0.0,0.0
84499cdffffffff,5.0,0.0,0.0,0.0
84499ddffffffff,4.0,0.0,0.0,0.0
84499ebffffffff,4.0,0.0,0.0,0.0
8449a2bffffffff,4.0,0.0,0.0,0.0
8449a3dffffffff,2.0,0.0,0.0,0.0
8449a81ffffffff,15.0,0.0,0.0,0.0
8449a83ffffffff,3.0,0.0,0.0,0.0
8449a85ffffffff,75.0,0.0,0.0,0.0
8449a89ffffffff,4.0,0.0,0.0,0.0
8449a8bffffffff,15.0,0.0,0.0,0.0
8449a8dffffffff,12.0,0.0,0.0,0.0
8449a91ffffffff,230.0,24.0,0.0,0.0
8449a93ffffffff,21.0,2.0,0.0,0.0
8449a95ffffffff,6.0,0.0,0.0,0.0
8449a97ffffffff,41.0,3.0,0.0,0.0
8449a9bffffffff,5.0,0.0,0.0,0.0
8449aa1ffffffff,1.0,0.0,0.0,0.0
8449aa3ffffffff,2.0,0.0,0.0,0.0
8449aa9ffffffff,1.0,0.0,0.0,0.0
8449ab1ffffffff,15.0,0.0,0.0,0.0
8449ab3ffffffff,4.0,0.0,0.0,0.0
8449ab9ffffffff,3.0,0.0,0.0,0.0
8449ac7ffffffff,1.0,0.0,0.0,0.0
8449ad5ffffffff,2.0,0.0,0.0,0.0
8449ad7ffffffff,11.0,0.0,0.0,0.0
8449ae3ffffffff,35.0,0.0,0.0,0.0
8449b0bffffffff,3.0,0.0,0.0,0.0
8449b19ffffffff,23.0,0.0,0.0,0.0
8449b1dffffffff,13.0,0.0,0.0,0.0
8449b31ffffffff,16.0,0.0,0.0,0.0
8449b33ffffffff,33.0,0.0,0.0,0.0
8449b3bffffffff,1.0,0.0,0.0,0.0
8449b53ffffffff,10.0,0.0,0.0,0.0
8449b55ffffffff,3.0,0.0,0.0,0.0
8449b57ffffffff,25.0,6.0,0.0,0.0
8449b6dffffffff,6.0,0.0,0.0,0.0
845f035ffffffff,5.0,0.0,0.0,0.0
845f03dffffffff,3.0,0.0,0.0,0.0
845f105ffffffff,2.0,0.0,0.0,0.0
845f2b3ffffffff,5.0,0.0,0.0,0.0
845f2bbffffffff,13.0,0.0,0.0,0.0
845f4b9ffffffff,3.0,0.0,0.0,0.0
845f581ffffffff,1.0,0.0,0.0,0.0
845f583ffffffff,5.0,0.0,0.0,0.0
845f711ffffffff,1.0,0.0,0.0,0.0
846602dffffffff,1.0,0.0,0.0,0.0
8466081ffffffff,13.0,0.0,0.0,0.0
8466087ffffffff,4.0,0.0,0.0,0.0
846608dffffffff,110.0,0.0,0.0,0.0
84660a5ffffffff,3.0,0.0,0.0,0.0
84660a7ffffffff,97.0,0.0,0.0,0.0
84660b5ffffffff,1.0,0.0,0.0,0.0
84660ddffffffff,8.0,0.0,0.0,0.0
84660ebffffffff,3.0,0.0,0.0,0.0
8466103ffffffff,2.0,0.0,0.0,0.0
8466105ffffffff,6.0,0.0,0.0,0.0
8466107ffffffff,309.0,20.0,0.0,0.0
8466113ffffffff,13.0,0.0,0.0,0.0
8466117ffffffff,4.0,0.0,0.0,0.0
8466119ffffffff,2.0,0.0,0.0,0.0
8466129ffffffff,3.0,0.0,0.0,0.0
8466131ffffffff,9.0,2.0,0.0,0.0
8466139ffffffff,80.0,0.0,0.0,0.0
846613dffffffff,4.0,0.0,0.0,0.0
8466163ffffffff,26.0,0.0,0.0,0.0
8466165ffffffff,67.0,7.0,0.0,0.0
8466183ffffffff,6.0,2.0,0.0,0.0
8466185ffffffff,4.0,0.0,0.0,0.0
846618bffffffff,6.0,0.0,0.0,0.0
846618dffffffff,3.0,0.0,0.0,0.0
8466193ffffffff,20.0,0.0,0.0,0.0
8466195ffffffff,10.0,0.0,0.0,0.0
8466197ffffffff,9.0,0.0,0.0,0.0
8466199ffffffff,3.0,0.0,0.0,0.0
846619bffffffff,56.0,0.0,0.0,0.0
846619dffffffff,2.0,0.0,0.0,0.0
84661a5ffffffff,5.0,0.0,0.0,0.0
84661adffffffff,18.0,0.0,0.0,0.0
84661b1ffffffff,34.0,0.0,0.0,0.0
84661b3ffffffff,17.0,0.0,0.0,0.0
84661b7ffffffff,2.0,0.0,0.0,0.0
84661b9ffffffff,31.0,0.0,0.0,0.0
84661bbffffffff,54.0,0.0,0.0,0.0
84661cdffffffff,34.0,0.0,0.0,0.0
84661d1ffffffff,148.0,5.0,0.0,0.0
84661d3ffffffff,4.0,0.0,0.0,0.0
84661d5ffffffff,6.0,0.0,0.0,0.0
84661d7ffffffff,4.0,0.0,0.0,0.0
84661ddffffffff,2.0,0.0,0.0,0.0
84661ebffffffff,8.0,0.0,0.0,0.0
8466205ffffffff,2.0,0.0,0.0,0.0
8466207ffffffff,1.0,0.0,0.0,0.0
8466213ffffffff,4.0,0.0,0.0,0.0
8466217ffffffff,10.0,0.0,0.0,0.0
846622bffffffff,332.0,34.0,0.0,0.0
8466231ffffffff,2.0,0.0,0.0,0.0
8466299ffffffff,2.0,0.0,0.0,0.0
84662d3ffffffff,2.0,0.0,0.0,0.0
84662e1ffffffff,6.0,0.0,0.0,0.0
84662e5ffffffff,6.0,0.0,0.0,0.0
84662e9ffffffff,9.0,0.0,0.0,0.0
846676dffffffff,4.0,0.0,0.0,0.0
8466a01ffffffff,32.0,1.0,0.0,0.0
8466a05ffffffff,2.0,2.0,0.0,0.0
8466a0bffffffff,330.0,10.0,0.0,0.0
8466a0dffffffff,1.0,0.0,0.0,0.0
8466a1dffffffff,3.0,0.0,0.0,0.0
8466a25ffffffff,2.0,0.0,0.0,0.0
8466a2bffffffff,1.0,0.0,0.0,0.0
8466a2dffffffff,18.0,0.0,0.0,0.0
