cell_id,Patagioenas subvinacea,Patagioenas subvinacea subvinacea/berlepschi,Patagioenas subvinacea [purpureotincta Group]
835f48fffffffff,1.0,0.0,0.0
83660bfffffffff,4.0,0.0,0.0
83660cfffffffff,6.0,0.0,0.0
836610fffffffff,4.0,0.0,0.0
836619fffffffff,3.0,0.0,0.0
83661bfffffffff,9.0,9.0,0.0
8366b4fffffffff,16.0,10.0,0.0
8366b5fffffffff,10.0,0.0,0.0
8366c6fffffffff,1.0,0.0,0.0
8366d3fffffffff,3.0,2.0,0.0
8366defffffffff,6.0,0.0,0.0
8366ecfffffffff,1.0,0.0,0.0
836741fffffffff,28.0,0.0,0.0
83674dfffffffff,1.0,0.0,0.0
836751fffffffff,2.0,0.0,0.0
83675afffffffff,8.0,0.0,0.0
83675bfffffffff,3.0,0.0,0.0
83675cfffffffff,1.0,0.0,0.0
83679bfffffffff,3.0,0.0,0.0
836d69fffffffff,38.0,6.0,0.0
838a31fffffffff,1.0,0.0,1.0
838b31fffffffff,1.0,0.0,0.0
838b61fffffffff,14.0,0.0,14.0
838b63fffffffff,7.0,0.0,7.0
838b76fffffffff,1.0,0.0,0.0
838f0dfffffffff,4.0,3.0,0.0
838f40fffffffff,3.0,0.0,3.0
838f73fffffffff,1.0,0.0,1.0
