cell_id,Dessonornis anomalus,Dessonornis anomalus grotei,Dessonornis anomalus mbuluensis,Dessonornis anomalus [anomalus Group]
8396a0fffffffff,6.0,0.0,0.0,0.0
8396a3fffffffff,1.0,0.0,0.0,0.0
8396a5fffffffff,50.0,0.0,0.0,4.0
8396b0fffffffff,43.0,0.0,0.0,0.0
8396b1fffffffff,4.0,0.0,0.0,0.0
8396b2fffffffff,23.0,0.0,0.0,0.0
8396b5fffffffff,5.0,0.0,0.0,0.0
8396b6fffffffff,6.0,0.0,0.0,0.0
839789fffffffff,1.0,0.0,0.0,0.0
83978bfffffffff,4.0,0.0,0.0,0.0
8397a3fffffffff,2.0,0.0,0.0,0.0
8397a8fffffffff,2.0,0.0,0.0,0.0
8397aafffffffff,1.0,0.0,0.0,0.0
8397acfffffffff,20.0,0.0,0.0,0.0
