cell_id,Acrocephalus stentoreus,Acrocephalus stentoreus stentoreus/levantinus,Acrocephalus stentoreus [brunnescens Group]
82201ffffffffff,3.0,0.0,0.0
8220a7fffffffff,3.0,0.0,0.0
8220b7fffffffff,3.0,0.0,0.0
82219ffffffffff,2.0,0.0,0.0
822c57fffffffff,2.0,0.0,0.0
822c97fffffffff,4.0,0.0,0.0
822c9ffffffffff,2.0,0.0,2.0
822d97fffffffff,2.0,0.0,0.0
822db7fffffffff,16.0,5.0,0.0
823c1ffffffffff,14.0,4.0,2.0
823c57fffffffff,1.0,0.0,0.0
823c5ffffffffff,11.0,0.0,0.0
823c8ffffffffff,2.0,0.0,0.0
823c97fffffffff,4.0,0.0,0.0
823c9ffffffffff,18.0,4.0,0.0
823caffffffffff,8.0,0.0,0.0
823cb7fffffffff,3.0,0.0,0.0
823cc7fffffffff,3.0,0.0,0.0
823ce7fffffffff,14.0,0.0,1.0
823cf7fffffffff,76.0,3.0,0.0
823d07fffffffff,4.0,0.0,0.0
823d17fffffffff,4.0,0.0,0.0
823d37fffffffff,23.0,0.0,0.0
823d87fffffffff,3.0,0.0,1.0
823d8ffffffffff,2.0,0.0,0.0
823d9ffffffffff,2.0,0.0,0.0
823da7fffffffff,29.0,0.0,4.0
823daffffffffff,17.0,0.0,0.0
823e67fffffffff,3.0,0.0,0.0
823e6ffffffffff,16.0,0.0,0.0
824047fffffffff,1.0,0.0,1.0
8242c7fffffffff,21.0,0.0,0.0
8242cffffffffff,42.0,0.0,1.0
8242dffffffffff,16.0,0.0,0.0
824317fffffffff,5.0,0.0,0.0
8243a7fffffffff,14.0,0.0,1.0
8243affffffffff,16.0,0.0,2.0
8252d7fffffffff,7.0,0.0,0.0
825327fffffffff,2.0,0.0,0.0
825357fffffffff,3.0,0.0,0.0
826007fffffffff,29.0,0.0,0.0
826017fffffffff,137.0,0.0,2.0
826027fffffffff,40.0,0.0,0.0
826037fffffffff,70.0,0.0,0.0
82608ffffffffff,125.0,0.0,0.0
826097fffffffff,8.0,0.0,0.0
82609ffffffffff,95.0,0.0,0.0
8260affffffffff,162.0,4.0,0.0
8260b7fffffffff,70.0,0.0,0.0
826107fffffffff,6.0,0.0,0.0
82618ffffffffff,9.0,0.0,0.0
82640ffffffffff,3.0,0.0,3.0
82642ffffffffff,3.0,0.0,0.0
826487fffffffff,5.0,0.0,0.0
826497fffffffff,2.0,0.0,0.0
82649ffffffffff,3.0,0.0,3.0
8264e7fffffffff,3.0,0.0,0.0
826847fffffffff,4.0,0.0,0.0
82684ffffffffff,2.0,0.0,0.0
826947fffffffff,3.0,0.0,0.0
82694ffffffffff,1.0,0.0,0.0
829507fffffffff,2.0,0.0,2.0
