cell_id,Phyllomyias griseiceps,Phyllomyias griseiceps griseiceps,Phyllomyias griseiceps cristatus,Phyllomyias griseiceps caucae,Phyllomyias griseiceps pallidiceps
845f011ffffffff,2.0,0.0,0.0,0.0,0.0
845f035ffffffff,5.0,0.0,0.0,0.0,0.0
845f03dffffffff,4.0,0.0,0.0,0.0,0.0
845f295ffffffff,3.0,0.0,0.0,0.0,0.0
845f2b1ffffffff,4.0,0.0,0.0,0.0,0.0
845f2bbffffffff,27.0,0.0,0.0,0.0,0.0
845f407ffffffff,2.0,0.0,0.0,0.0,0.0
845f42bffffffff,7.0,0.0,0.0,0.0,0.0
845f46bffffffff,1.0,0.0,0.0,0.0,0.0
845f483ffffffff,3.0,0.0,0.0,0.0,0.0
845f487ffffffff,5.0,0.0,0.0,0.0,0.0
845f4a3ffffffff,3.0,0.0,0.0,0.0,0.0
845f4a7ffffffff,2.0,0.0,0.0,0.0,0.0
845f4abffffffff,8.0,0.0,0.0,0.0,0.0
845f4b9ffffffff,8.0,0.0,1.0,0.0,0.0
845f4bdffffffff,25.0,0.0,0.0,0.0,0.0
845f50bffffffff,6.0,0.0,0.0,0.0,0.0
845f681ffffffff,1.0,0.0,0.0,0.0,0.0
845f683ffffffff,8.0,0.0,0.0,0.0,0.0
845f689ffffffff,1.0,0.0,0.0,0.0,0.0
845f711ffffffff,3.0,0.0,0.0,0.0,0.0
845f713ffffffff,3.0,0.0,0.0,0.0,0.0
845f759ffffffff,41.0,0.0,0.0,0.0,0.0
845f75dffffffff,9.0,0.0,0.0,0.0,2.0
8466081ffffffff,9.0,0.0,0.0,0.0,0.0
8466083ffffffff,2.0,0.0,0.0,0.0,0.0
8466087ffffffff,8.0,0.0,0.0,0.0,0.0
8466089ffffffff,31.0,0.0,0.0,0.0,0.0
846608dffffffff,390.0,0.0,0.0,0.0,0.0
84660a1ffffffff,2.0,0.0,0.0,0.0,0.0
84660a3ffffffff,2.0,0.0,0.0,0.0,0.0
84660a5ffffffff,12.0,0.0,0.0,0.0,0.0
84660a7ffffffff,47.0,0.0,0.0,0.0,0.0
84660adffffffff,6.0,0.0,0.0,0.0,0.0
84660b3ffffffff,3.0,0.0,0.0,0.0,0.0
84660b5ffffffff,1.0,0.0,0.0,0.0,0.0
84660b9ffffffff,7.0,0.0,0.0,0.0,0.0
84660c3ffffffff,1.0,0.0,0.0,0.0,0.0
84660c7ffffffff,8.0,0.0,0.0,0.0,0.0
84660cbffffffff,23.0,0.0,0.0,0.0,0.0
84660cdffffffff,5.0,0.0,0.0,0.0,0.0
84660d9ffffffff,6.0,0.0,0.0,0.0,0.0
84660ddffffffff,26.0,0.0,0.0,0.0,0.0
84660e3ffffffff,1.0,0.0,0.0,0.0,0.0
8466105ffffffff,4.0,0.0,0.0,0.0,0.0
8466107ffffffff,267.0,0.0,0.0,0.0,0.0
8466113ffffffff,17.0,0.0,0.0,0.0,0.0
8466129ffffffff,3.0,0.0,0.0,0.0,0.0
8466131ffffffff,28.0,0.0,0.0,0.0,0.0
8466139ffffffff,94.0,0.0,0.0,0.0,0.0
846613bffffffff,14.0,0.0,0.0,0.0,0.0
8466163ffffffff,184.0,0.0,0.0,0.0,0.0
8466167ffffffff,2.0,0.0,0.0,0.0,0.0
8466181ffffffff,6.0,0.0,0.0,0.0,0.0
8466183ffffffff,135.0,0.0,0.0,1.0,0.0
8466189ffffffff,11.0,0.0,0.0,0.0,0.0
846618bffffffff,51.0,0.0,0.0,0.0,0.0
8466191ffffffff,126.0,0.0,0.0,0.0,0.0
8466193ffffffff,591.0,0.0,0.0,0.0,0.0
8466195ffffffff,123.0,0.0,0.0,1.0,0.0
8466197ffffffff,28.0,0.0,0.0,0.0,0.0
8466199ffffffff,85.0,0.0,0.0,0.0,0.0
846619bffffffff,289.0,0.0,0.0,0.0,0.0
846619dffffffff,59.0,0.0,0.0,0.0,0.0
84661a5ffffffff,1.0,0.0,0.0,0.0,0.0
84661b1ffffffff,19.0,0.0,0.0,0.0,0.0
84661b3ffffffff,206.0,0.0,0.0,0.0,0.0
84661b7ffffffff,1.0,0.0,0.0,0.0,0.0
84661b9ffffffff,209.0,0.0,0.0,12.0,0.0
84661bbffffffff,101.0,0.0,0.0,4.0,0.0
84661c3ffffffff,13.0,0.0,0.0,1.0,0.0
84661c9ffffffff,6.0,0.0,0.0,0.0,0.0
84661cbffffffff,6.0,0.0,0.0,0.0,0.0
84661cdffffffff,23.0,0.0,0.0,0.0,0.0
84661d1ffffffff,92.0,0.0,0.0,0.0,0.0
84661d3ffffffff,19.0,0.0,0.0,0.0,0.0
84661d7ffffffff,64.0,0.0,0.0,0.0,0.0
84661ddffffffff,23.0,0.0,0.0,0.0,0.0
84661ebffffffff,5.0,0.0,0.0,0.0,0.0
8466201ffffffff,6.0,0.0,0.0,0.0,0.0
8466203ffffffff,5.0,0.0,0.0,0.0,0.0
8466205ffffffff,9.0,0.0,0.0,0.0,0.0
8466211ffffffff,1.0,0.0,0.0,0.0,0.0
8466213ffffffff,9.0,0.0,0.0,0.0,0.0
8466217ffffffff,59.0,0.0,0.0,0.0,0.0
846622bffffffff,228.0,0.0,0.0,0.0,0.0
8466291ffffffff,2.0,0.0,0.0,0.0,0.0
8466293ffffffff,2.0,0.0,0.0,0.0,0.0
846629bffffffff,1.0,0.0,0.0,0.0,0.0
846629dffffffff,22.0,0.0,0.0,0.0,0.0
84662b5ffffffff,1.0,0.0,0.0,0.0,0.0
84662b7ffffffff,34.0,0.0,0.0,0.0,0.0
84662d3ffffffff,118.0,0.0,0.0,0.0,0.0
84662d7ffffffff,2.0,0.0,0.0,0.0,0.0
84662dbffffffff,4.0,0.0,0.0,0.0,0.0
84662e1ffffffff,1.0,0.0,0.0,0.0,0.0
84662e5ffffffff,23.0,0.0,0.0,0.0,0.0
84662e9ffffffff,8.0,0.0,0.0,0.0,0.0
8466769ffffffff,3.0,0.0,0.0,0.0,0.0
846676dffffffff,2.0,0.0,0.0,0.0,0.0
8466c0dffffffff,7.0,0.0,0.0,0.0,0.0
8466c29ffffffff,6.0,0.0,0.0,0.0,0.0
8466c2dffffffff,1.0,0.0,0.0,0.0,0.0
8466c45ffffffff,7.0,0.0,0.0,0.0,0.0
8466c4dffffffff,15.0,0.0,0.0,0.0,0.0
8466c61ffffffff,5.0,0.0,0.0,0.0,0.0
8466c63ffffffff,4.0,0.0,0.0,0.0,0.0
8466c65ffffffff,30.0,0.0,0.0,0.0,0.0
8466c69ffffffff,8.0,0.0,0.0,0.0,0.0
8466c6dffffffff,461.0,0.0,0.0,10.0,0.0
8466d01ffffffff,8.0,0.0,0.0,0.0,0.0
8466d03ffffffff,13.0,0.0,0.0,0.0,0.0
8466d05ffffffff,31.0,0.0,0.0,0.0,0.0
8466d07ffffffff,17.0,0.0,0.0,0.0,0.0
8466d0dffffffff,26.0,0.0,0.0,0.0,0.0
8466d19ffffffff,3.0,0.0,0.0,0.0,0.0
8466d23ffffffff,65.0,0.0,0.0,0.0,0.0
8466d25ffffffff,11.0,0.0,0.0,0.0,0.0
8466d27ffffffff,23.0,0.0,0.0,0.0,0.0
8466d31ffffffff,184.0,6.0,0.0,0.0,0.0
8466d35ffffffff,1055.0,13.0,0.0,0.0,0.0
8466d37ffffffff,40.0,2.0,0.0,0.0,0.0
8466d3dffffffff,7.0,0.0,0.0,0.0,0.0
8466d53ffffffff,4.0,0.0,0.0,0.0,0.0
8466d5bffffffff,1.0,0.0,0.0,0.0,0.0
8466da1ffffffff,1.0,0.0,0.0,0.0,0.0
8466da7ffffffff,15.0,0.0,0.0,0.0,0.0
8466da9ffffffff,5.0,0.0,0.0,0.0,0.0
8466dadffffffff,26.0,0.0,0.0,0.0,3.0
8466de1ffffffff,221.0,0.0,0.0,0.0,14.0
8466de3ffffffff,12.0,0.0,0.0,0.0,0.0
8466de7ffffffff,4.0,0.0,0.0,0.0,0.0
8466debffffffff,4.0,0.0,0.0,0.0,0.0
8466dedffffffff,2.0,0.0,0.0,0.0,0.0
8466e01ffffffff,3.0,0.0,0.0,0.0,0.0
8466e05ffffffff,5.0,0.0,0.0,0.0,0.0
8466e09ffffffff,4.0,0.0,0.0,0.0,0.0
8466e0dffffffff,255.0,0.0,0.0,0.0,0.0
8466e25ffffffff,3.0,0.0,0.0,0.0,0.0
8466e27ffffffff,10.0,0.0,0.0,0.0,0.0
8466e2bffffffff,19.0,0.0,0.0,0.0,0.0
8466e2dffffffff,11.0,0.0,0.0,0.0,0.0
8466e41ffffffff,271.0,0.0,0.0,0.0,0.0
8466e45ffffffff,84.0,0.0,0.0,0.0,0.0
8466e47ffffffff,334.0,0.0,0.0,0.0,0.0
8466e49ffffffff,38.0,0.0,0.0,0.0,0.0
8466e4dffffffff,5.0,0.0,0.0,0.0,0.0
8466e55ffffffff,1.0,0.0,0.0,0.0,0.0
8466e61ffffffff,22.0,0.0,0.0,0.0,0.0
8466e63ffffffff,70.0,0.0,0.0,0.0,0.0
8466e65ffffffff,578.0,0.0,0.0,9.0,0.0
8466e67ffffffff,237.0,0.0,0.0,0.0,0.0
8466e69ffffffff,184.0,0.0,0.0,0.0,0.0
8466e6bffffffff,15.0,0.0,0.0,0.0,0.0
8466e6dffffffff,1456.0,0.0,0.0,7.0,0.0
8466f03ffffffff,4.0,0.0,0.0,0.0,0.0
8466f0bffffffff,8.0,0.0,0.0,0.0,0.0
8466f11ffffffff,1.0,0.0,0.0,0.0,0.0
8466f15ffffffff,14.0,0.0,0.0,3.0,0.0
8466f17ffffffff,6.0,0.0,0.0,0.0,0.0
8466f19ffffffff,109.0,0.0,0.0,0.0,0.0
8466f1bffffffff,4.0,0.0,0.0,0.0,0.0
8466f1dffffffff,278.0,0.0,0.0,2.0,0.0
8466f3bffffffff,1.0,0.0,0.0,0.0,0.0
8466f51ffffffff,15.0,0.0,0.0,0.0,0.0
8466f53ffffffff,19.0,0.0,0.0,3.0,0.0
8466f57ffffffff,183.0,0.0,0.0,5.0,0.0
8466f59ffffffff,71.0,0.0,0.0,0.0,0.0
8466f5bffffffff,199.0,0.0,0.0,5.0,0.0
8466f5dffffffff,5.0,0.0,0.0,0.0,0.0
8467413ffffffff,13.0,0.0,0.0,0.0,0.0
8467425ffffffff,40.0,0.0,0.0,0.0,0.0
8467427ffffffff,2.0,0.0,0.0,0.0,0.0
8467433ffffffff,25.0,0.0,2.0,0.0,0.0
8467435ffffffff,1.0,0.0,0.0,0.0,0.0
8467437ffffffff,100.0,0.0,0.0,0.0,0.0
846743bffffffff,1.0,0.0,0.0,0.0,0.0
84674c5ffffffff,137.0,0.0,0.0,0.0,0.0
84674c7ffffffff,7.0,0.0,0.0,0.0,0.0
84674c9ffffffff,1.0,0.0,0.0,0.0,0.0
84674cdffffffff,3.0,0.0,0.0,0.0,0.0
84674ddffffffff,1.0,0.0,0.0,0.0,0.0
84674e5ffffffff,6.0,0.0,0.0,0.0,0.0
84674e9ffffffff,27.0,0.0,0.0,0.0,0.0
84674ebffffffff,11.0,0.0,0.0,0.0,0.0
8467519ffffffff,14.0,0.0,0.0,0.0,0.0
846758dffffffff,2.0,0.0,0.0,0.0,0.0
84675a1ffffffff,2.0,0.0,0.0,0.0,0.0
84675a5ffffffff,22.0,0.0,0.0,0.0,0.0
84675a9ffffffff,4.0,0.0,0.0,0.0,0.0
84675c7ffffffff,9.0,0.0,0.0,0.0,0.0
84675c9ffffffff,2.0,0.0,0.0,0.0,0.0
