cell_id,Prinia rufifrons,Prinia rufifrons rufifrons/smithi,Prinia rufifrons rufidorsalis
835289fffffffff,6.0,0.0,0.0
83529bfffffffff,1.0,0.0,0.0
8352cafffffffff,2.0,0.0,0.0
8352d3fffffffff,1.0,0.0,0.0
8352d4fffffffff,36.0,0.0,0.0
8352d6fffffffff,4.0,0.0,0.0
8352d8fffffffff,1.0,0.0,0.0
8352dcfffffffff,2.0,0.0,0.0
8352defffffffff,3.0,0.0,0.0
836a4afffffffff,1.0,0.0,0.0
836a58fffffffff,84.0,0.0,0.0
836a5bfffffffff,23.0,0.0,0.0
837a40fffffffff,118.0,0.0,0.0
837a41fffffffff,85.0,0.0,0.0
837a48fffffffff,1.0,0.0,0.0
837a4bfffffffff,7.0,0.0,0.0
837a4cfffffffff,93.0,0.0,0.0
837a4efffffffff,1.0,0.0,0.0
837a50fffffffff,2.0,0.0,0.0
837a58fffffffff,1.0,0.0,0.0
837a59fffffffff,30.0,0.0,0.0
837a5bfffffffff,1.0,0.0,0.0
837a5cfffffffff,1.0,0.0,0.0
837a60fffffffff,22.0,0.0,0.0
837a61fffffffff,37.0,0.0,0.0
837a63fffffffff,1.0,0.0,0.0
837a64fffffffff,48.0,0.0,0.0
837a65fffffffff,100.0,3.0,0.0
837a66fffffffff,1.0,0.0,0.0
837a6cfffffffff,5.0,0.0,0.0
837a6dfffffffff,1.0,0.0,0.0
837a6efffffffff,56.0,0.0,0.0
837a71fffffffff,2.0,0.0,0.0
837a73fffffffff,4.0,0.0,0.0
837ac1fffffffff,2.0,1.0,0.0
837ac8fffffffff,1.0,0.0,0.0
837acafffffffff,4.0,0.0,0.0
837accfffffffff,1.0,0.0,0.0
837acdfffffffff,5.0,0.0,0.0
837ad9fffffffff,100.0,7.0,0.0
837adbfffffffff,3.0,0.0,0.0
837ae8fffffffff,9.0,0.0,0.0
837ae9fffffffff,17.0,0.0,0.0
837aeafffffffff,4.0,0.0,0.0
837aeefffffffff,1.0,0.0,0.0
837b4bfffffffff,13.0,0.0,0.0
837b59fffffffff,1.0,0.0,0.0
839690fffffffff,3.0,0.0,0.0
839692fffffffff,218.0,34.0,0.0
839693fffffffff,2.0,0.0,0.0
839696fffffffff,1.0,0.0,0.0
