cell_id,Gerygone palpebrosa,Gerygone palpebrosa [palpebrosa Group],Gerygone palpebrosa flavida
82728ffffffffff,1.0,0.0,0.0
827297fffffffff,3.0,0.0,0.0
82729ffffffffff,3.0,0.0,0.0
8272a7fffffffff,37.0,0.0,0.0
8272d7fffffffff,20.0,0.0,0.0
8272dffffffffff,15.0,0.0,0.0
8272f7fffffffff,9.0,0.0,0.0
82739ffffffffff,81.0,0.0,0.0
829c07fffffffff,365.0,83.0,12.0
829c0ffffffffff,20.0,11.0,0.0
829c1ffffffffff,617.0,212.0,0.0
829c27fffffffff,1658.0,42.0,24.0
829c2ffffffffff,2.0,0.0,0.0
829c87fffffffff,6.0,0.0,0.0
829c8ffffffffff,3.0,0.0,0.0
829c9ffffffffff,8.0,0.0,0.0
829caffffffffff,103.0,0.0,0.0
829cd7fffffffff,3.0,0.0,0.0
829ce7fffffffff,19.0,7.0,0.0
829cf7fffffffff,59.0,7.0,0.0
829d07fffffffff,40.0,0.0,0.0
829d0ffffffffff,109.0,1.0,6.0
829d27fffffffff,165.0,0.0,10.0
829d2ffffffffff,4.0,0.0,2.0
82be8ffffffffff,269.0,0.0,9.0
