cell_id,Amazilis amazilia,Amazilis amazilia [dumerilii Group],Amazilis amazilia amazilia,Amazilis amazilia caeruleigularis
8466d05ffffffff,2.0,0.0,0.0,0.0
8466d21ffffffff,6.0,0.0,0.0,0.0
8466d23ffffffff,3.0,0.0,0.0,0.0
8466d25ffffffff,26.0,5.0,0.0,0.0
8466d27ffffffff,2.0,2.0,0.0,0.0
8466d29ffffffff,2.0,0.0,0.0,0.0
848e259ffffffff,2.0,0.0,0.0,0.0
848e451ffffffff,17.0,0.0,0.0,0.0
848e459ffffffff,20.0,0.0,0.0,0.0
848e45bffffffff,16.0,0.0,0.0,0.0
848e45dffffffff,83.0,0.0,0.0,0.0
848e621ffffffff,364.0,0.0,0.0,0.0
848e623ffffffff,109.0,0.0,0.0,0.0
848e629ffffffff,269.0,0.0,0.0,0.0
848e62dffffffff,4453.0,0.0,0.0,0.0
848e633ffffffff,11.0,0.0,0.0,0.0
848e635ffffffff,30.0,0.0,0.0,0.0
848e637ffffffff,5.0,0.0,0.0,0.0
848e663ffffffff,11.0,0.0,0.0,0.0
848e665ffffffff,117.0,0.0,0.0,0.0
848e667ffffffff,6.0,0.0,0.0,0.0
848e66dffffffff,3.0,0.0,0.0,0.0
848e6a1ffffffff,39.0,0.0,0.0,0.0
848e6a5ffffffff,2.0,0.0,0.0,0.0
848e6a7ffffffff,2.0,0.0,0.0,0.0
848e6a9ffffffff,2.0,0.0,0.0,0.0
848e6adffffffff,1.0,0.0,0.0,0.0
848e759ffffffff,38.0,0.0,0.0,0.0
848e75bffffffff,87.0,0.0,0.0,0.0
848f081ffffffff,28.0,0.0,0.0,0.0
848f083ffffffff,6.0,0.0,0.0,0.0
848f087ffffffff,35.0,0.0,0.0,0.0
848f089ffffffff,6.0,0.0,0.0,0.0
848f08bffffffff,22.0,0.0,0.0,0.0
848f091ffffffff,3.0,0.0,0.0,0.0
848f093ffffffff,30.0,0.0,0.0,0.0
848f095ffffffff,257.0,0.0,0.0,0.0
848f097ffffffff,3.0,0.0,0.0,0.0
848f099ffffffff,147.0,13.0,0.0,0.0
848f09bffffffff,1.0,0.0,0.0,0.0
848f09dffffffff,11.0,0.0,0.0,0.0
848f0b3ffffffff,17.0,0.0,0.0,0.0
848f0b9ffffffff,27.0,0.0,0.0,0.0
848f0bbffffffff,11.0,0.0,0.0,0.0
848f0d1ffffffff,107.0,12.0,0.0,0.0
848f0d3ffffffff,734.0,120.0,0.0,0.0
848f0d5ffffffff,64.0,3.0,0.0,0.0
848f0d7ffffffff,109.0,20.0,0.0,0.0
848f0d9ffffffff,29.0,5.0,0.0,0.0
848f0dbffffffff,129.0,30.0,0.0,0.0
848f0ddffffffff,72.0,2.0,0.0,0.0
848f213ffffffff,4.0,0.0,0.0,0.0
848f283ffffffff,4.0,0.0,0.0,0.0
848f285ffffffff,2.0,2.0,0.0,0.0
848f287ffffffff,72.0,0.0,0.0,0.0
848f289ffffffff,7.0,3.0,0.0,0.0
848f28bffffffff,1.0,0.0,0.0,0.0
848f28dffffffff,96.0,15.0,0.0,0.0
848f291ffffffff,5.0,0.0,0.0,0.0
848f295ffffffff,68.0,0.0,0.0,0.0
848f297ffffffff,1.0,0.0,0.0,0.0
848f2a1ffffffff,44.0,0.0,0.0,0.0
848f2a3ffffffff,53.0,8.0,0.0,0.0
848f2a7ffffffff,14.0,3.0,0.0,0.0
848f2a9ffffffff,691.0,54.0,0.0,0.0
848f2abffffffff,83.0,3.0,0.0,0.0
848f2b3ffffffff,4.0,0.0,0.0,0.0
848f2b5ffffffff,4.0,0.0,0.0,0.0
848f2b7ffffffff,2.0,2.0,0.0,0.0
848f2b9ffffffff,636.0,57.0,0.0,0.0
848f2bbffffffff,114.0,9.0,0.0,0.0
848f2bdffffffff,453.0,36.0,0.0,0.0
848f2c5ffffffff,5.0,0.0,0.0,0.0
848f2c7ffffffff,2.0,0.0,0.0,0.0
848f2cdffffffff,51.0,2.0,0.0,0.0
848f2d9ffffffff,1.0,0.0,0.0,0.0
848f2e3ffffffff,157.0,29.0,0.0,0.0
848f2e7ffffffff,33.0,3.0,0.0,0.0
848f2e9ffffffff,7.0,0.0,0.0,0.0
848f2ebffffffff,64.0,0.0,0.0,0.0
848f501ffffffff,366.0,0.0,0.0,0.0
848f503ffffffff,25.0,0.0,0.0,0.0
848f505ffffffff,539.0,0.0,0.0,0.0
848f507ffffffff,58.0,0.0,0.0,0.0
848f509ffffffff,80.0,0.0,0.0,0.0
848f50bffffffff,25.0,0.0,0.0,0.0
848f50dffffffff,991.0,0.0,0.0,0.0
848f515ffffffff,22.0,0.0,0.0,0.0
848f517ffffffff,10.0,0.0,0.0,0.0
848f519ffffffff,61.0,0.0,0.0,0.0
848f51bffffffff,4.0,0.0,0.0,0.0
848f51dffffffff,50.0,0.0,0.0,0.0
848f539ffffffff,2.0,0.0,0.0,0.0
848f53bffffffff,65.0,0.0,0.0,0.0
848f545ffffffff,149.0,0.0,0.0,0.0
848f547ffffffff,194.0,0.0,0.0,0.0
848f54bffffffff,9.0,0.0,0.0,0.0
848f54dffffffff,53.0,0.0,0.0,0.0
848f553ffffffff,18.0,0.0,0.0,0.0
848f555ffffffff,4.0,0.0,0.0,0.0
848f563ffffffff,70.0,0.0,0.0,0.0
848f569ffffffff,20.0,0.0,0.0,0.0
848f56bffffffff,82.0,0.0,0.0,0.0
848f581ffffffff,1.0,0.0,0.0,0.0
848f587ffffffff,4.0,0.0,0.0,0.0
848f58dffffffff,1.0,0.0,0.0,0.0
848f5a3ffffffff,2.0,0.0,0.0,0.0
848f5a9ffffffff,7.0,0.0,0.0,0.0
848f5b1ffffffff,56.0,0.0,0.0,0.0
848f5b3ffffffff,37.0,0.0,0.0,0.0
848f5b7ffffffff,13.0,0.0,0.0,0.0
848f5b9ffffffff,38.0,0.0,0.0,0.0
