cell_id,Platycercus elegans,Platycercus elegans [elegans Group],Platycercus elegans flaveolus,Platycercus elegans adelaidae/subadelaidae,Platycercus elegans [elegans Group] x flaveolus
821e07fffffffff,1.0,0.0,0.0,0.0,0.0
823937fffffffff,4.0,0.0,0.0,0.0,0.0
82be0ffffffffff,24.0,9.0,0.0,0.0,0.0
82be1ffffffffff,1.0,0.0,0.0,0.0,0.0
82be47fffffffff,4.0,1.0,1.0,0.0,2.0
82be4ffffffffff,4.0,0.0,0.0,2.0,0.0
82be67fffffffff,12.0,4.0,0.0,0.0,0.0
82be6ffffffffff,1.0,0.0,0.0,0.0,0.0
82be77fffffffff,49.0,11.0,0.0,0.0,8.0
82be8ffffffffff,1.0,0.0,0.0,0.0,0.0
82beaffffffffff,8.0,0.0,0.0,0.0,0.0
82bef7fffffffff,2.0,0.0,0.0,0.0,0.0
