cell_id,Buteo lineatus,Buteo lineatus [lineatus Group],Buteo lineatus extimus,Buteo lineatus elegans
820edffffffffff,1.0,0.0,0.0,0.0
82260ffffffffff,273.0,4.0,0.0,0.0
822627fffffffff,745.0,3.0,0.0,0.0
82262ffffffffff,737.0,9.0,0.0,0.0
822647fffffffff,10744.0,663.0,0.0,0.0
82264ffffffffff,9552.0,46.0,0.0,0.0
822657fffffffff,14418.0,99.0,0.0,0.0
82265ffffffffff,8467.0,61.0,0.0,0.0
822667fffffffff,7654.0,106.0,0.0,0.0
82266ffffffffff,11319.0,390.0,0.0,0.0
822677fffffffff,699.0,18.0,0.0,0.0
8226c7fffffffff,2674.0,70.0,0.0,0.0
8226cffffffffff,13210.0,85.0,0.0,0.0
8226dffffffffff,441.0,0.0,0.0,0.0
8226e7fffffffff,3427.0,89.0,0.0,0.0
8226effffffffff,5318.0,46.0,0.0,0.0
82270ffffffffff,19.0,0.0,0.0,0.0
82271ffffffffff,2.0,0.0,0.0,0.0
822747fffffffff,900.0,1.0,0.0,0.0
82274ffffffffff,3630.0,0.0,0.0,0.0
822757fffffffff,1304.0,18.0,0.0,0.0
82275ffffffffff,1015.0,14.0,0.0,0.0
822767fffffffff,257.0,2.0,0.0,0.0
82276ffffffffff,1125.0,22.0,0.0,0.0
822777fffffffff,11.0,0.0,0.0,0.0
822807fffffffff,8117.0,0.0,0.0,2678.0
822817fffffffff,3878.0,0.0,0.0,432.0
82281ffffffffff,6386.0,0.0,0.0,1256.0
822837fffffffff,91110.0,0.0,0.0,14621.0
822887fffffffff,1.0,0.0,0.0,0.0
8228a7fffffffff,8.0,0.0,0.0,0.0
8228affffffffff,416.0,0.0,0.0,17.0
8228f7fffffffff,5809.0,0.0,0.0,140.0
822917fffffffff,5777.0,0.0,0.0,498.0
82291ffffffffff,6597.0,0.0,0.0,3788.0
822987fffffffff,1097.0,0.0,0.0,53.0
82298ffffffffff,1181.0,0.0,0.0,95.0
822997fffffffff,15.0,0.0,0.0,0.0
82299ffffffffff,18.0,0.0,0.0,0.0
8229a7fffffffff,55570.0,0.0,0.0,4684.0
8229affffffffff,14506.0,0.0,0.0,904.0
8229b7fffffffff,2.0,0.0,0.0,0.0
822a07fffffffff,1.0,0.0,0.0,0.0
822a17fffffffff,28408.0,1050.0,0.0,0.0
822a37fffffffff,13573.0,1310.0,0.0,0.0
822a87fffffffff,5967.0,244.0,0.0,0.0
822a8ffffffffff,34388.0,1114.0,0.0,0.0
822a97fffffffff,12816.0,8.0,0.0,0.0
822a9ffffffffff,2760.0,98.0,0.0,0.0
822aa7fffffffff,6333.0,1585.0,0.0,0.0
822aaffffffffff,88454.0,4660.0,0.0,0.0
822ab7fffffffff,12465.0,58.0,0.0,0.0
822ad7fffffffff,9208.0,86.0,0.0,0.0
822af7fffffffff,8442.0,444.0,0.0,0.0
822b07fffffffff,9.0,0.0,0.0,0.0
822b17fffffffff,178.0,0.0,0.0,0.0
822b1ffffffffff,597.0,0.0,0.0,0.0
822b87fffffffff,5423.0,150.0,0.0,0.0
822b8ffffffffff,5154.0,669.0,0.0,0.0
822b97fffffffff,16.0,0.0,0.0,0.0
822b9ffffffffff,3328.0,310.0,0.0,0.0
822ba7fffffffff,13.0,0.0,0.0,0.0
822baffffffffff,9846.0,13.0,0.0,0.0
824417fffffffff,27163.0,43.0,1005.0,0.0
82441ffffffffff,32823.0,1772.0,12.0,0.0
824447fffffffff,12856.0,1.0,0.0,0.0
82444ffffffffff,3777.0,6.0,0.0,0.0
824457fffffffff,4915.0,35.0,0.0,0.0
82445ffffffffff,2055.0,101.0,0.0,0.0
824467fffffffff,189.0,0.0,0.0,0.0
82446ffffffffff,20183.0,115.0,0.0,0.0
824477fffffffff,721.0,0.0,0.0,0.0
8244a7fffffffff,8830.0,76.0,734.0,0.0
8244affffffffff,57824.0,1642.0,438.0,0.0
8244c7fffffffff,21267.0,1754.0,0.0,0.0
8244cffffffffff,10238.0,336.0,0.0,0.0
8244d7fffffffff,18266.0,291.0,0.0,0.0
8244dffffffffff,19070.0,824.0,0.0,0.0
8244e7fffffffff,10459.0,574.0,0.0,0.0
8244effffffffff,4223.0,180.0,0.0,0.0
8244f7fffffffff,34899.0,705.0,0.0,0.0
824817fffffffff,48.0,0.0,0.0,0.0
82481ffffffffff,3.0,0.0,0.0,0.0
82484ffffffffff,112.0,0.0,0.0,14.0
82485ffffffffff,676.0,0.0,0.0,27.0
824887fffffffff,1724.0,7.0,0.0,0.0
82488ffffffffff,461.0,2.0,0.0,0.0
824897fffffffff,9850.0,82.0,0.0,0.0
82489ffffffffff,30578.0,309.0,0.0,0.0
8248a7fffffffff,266.0,0.0,0.0,0.0
8248b7fffffffff,10044.0,487.0,0.0,0.0
824987fffffffff,115.0,0.0,0.0,0.0
82498ffffffffff,20.0,0.0,0.0,0.0
824997fffffffff,192.0,7.0,0.0,0.0
82499ffffffffff,38.0,0.0,0.0,0.0
8249affffffffff,15.0,0.0,0.0,0.0
