cell_id,Emberiza cineracea,Emberiza cineracea cineracea,Emberiza cineracea semenowi
841ed91ffffffff,1.0,1.0,0.0
842c10bffffffff,3.0,0.0,0.0
842c11dffffffff,3.0,0.0,2.0
842c149ffffffff,1.0,0.0,1.0
842c157ffffffff,5.0,0.0,4.0
842c335ffffffff,7.0,0.0,7.0
842c33bffffffff,1.0,0.0,0.0
842c903ffffffff,5.0,0.0,0.0
842caadffffffff,3.0,0.0,0.0
842cac3ffffffff,3.0,0.0,0.0
842cac7ffffffff,26.0,0.0,0.0
842caddffffffff,2.0,0.0,0.0
842dac5ffffffff,2.0,0.0,0.0
842dad3ffffffff,1.0,0.0,0.0
842db03ffffffff,4.0,0.0,0.0
842db05ffffffff,4.0,0.0,0.0
842db1dffffffff,1.0,0.0,0.0
842db29ffffffff,2.0,0.0,2.0
843e689ffffffff,1.0,0.0,1.0
843e68dffffffff,5.0,4.0,0.0
843e6c3ffffffff,12.0,0.0,2.0
843f4d9ffffffff,1.0,0.0,0.0
843f4ddffffffff,2.0,0.0,2.0
843f64dffffffff,1.0,0.0,0.0
843f667ffffffff,1.0,0.0,0.0
8443a03ffffffff,4.0,0.0,2.0
8443a13ffffffff,6.0,0.0,3.0
8443a69ffffffff,3.0,0.0,3.0
8443ac3ffffffff,1.0,0.0,1.0
8443acdffffffff,2.0,0.0,1.0
8443ae5ffffffff,15.0,0.0,7.0
8453451ffffffff,2.0,0.0,2.0
84534d5ffffffff,2.0,0.0,0.0
84534dbffffffff,4.0,0.0,3.0
