cell_id,Mergus merganser,Mergus merganser merganser/orientalis,Mergus merganser americanus
830120fffffffff,4.0,0.0,0.0
830122fffffffff,5.0,0.0,0.0
830123fffffffff,9.0,1.0,0.0
830124fffffffff,3.0,0.0,0.0
830125fffffffff,3.0,2.0,0.0
830126fffffffff,16.0,0.0,0.0
830130fffffffff,265.0,45.0,0.0
830131fffffffff,166.0,19.0,0.0
830134fffffffff,12.0,2.0,0.0
830135fffffffff,643.0,103.0,0.0
830136fffffffff,1.0,0.0,0.0
8301b3fffffffff,2.0,0.0,0.0
83058cfffffffff,2.0,2.0,0.0
830741fffffffff,80.0,53.0,0.0
830742fffffffff,61.0,25.0,0.0
830743fffffffff,253.0,36.0,0.0
830744fffffffff,2.0,2.0,0.0
830745fffffffff,9.0,4.0,0.0
830746fffffffff,148.0,88.0,0.0
830751fffffffff,21.0,0.0,0.0
830753fffffffff,2.0,0.0,0.0
830755fffffffff,8.0,8.0,0.0
830758fffffffff,22.0,2.0,0.0
83075cfffffffff,61.0,28.0,0.0
83075dfffffffff,147.0,28.0,0.0
83075efffffffff,76.0,15.0,0.0
830762fffffffff,11.0,9.0,0.0
830763fffffffff,10.0,2.0,0.0
830770fffffffff,1.0,1.0,0.0
830773fffffffff,182.0,131.0,0.0
830800fffffffff,1.0,0.0,0.0
830802fffffffff,4.0,0.0,0.0
830806fffffffff,14.0,0.0,0.0
830810fffffffff,8.0,3.0,0.0
830811fffffffff,7.0,5.0,0.0
830812fffffffff,4.0,0.0,0.0
830813fffffffff,22.0,0.0,0.0
830814fffffffff,13.0,0.0,0.0
830815fffffffff,61.0,7.0,0.0
830816fffffffff,9.0,2.0,0.0
830818fffffffff,1.0,0.0,0.0
830819fffffffff,6.0,3.0,0.0
83081efffffffff,13.0,0.0,0.0
830829fffffffff,1.0,0.0,0.0
83082afffffffff,1.0,0.0,0.0
830832fffffffff,2.0,0.0,0.0
830836fffffffff,10.0,2.0,0.0
