cell_id,Aplonis tabuensis,Aplonis tabuensis [tabuensis Group],Aplonis tabuensis manuae
839a02fffffffff,49.0,0.0,0.0
839a0dfffffffff,3.0,0.0,0.0
839a14fffffffff,15.0,0.0,0.0
839a15fffffffff,72.0,0.0,0.0
839a16fffffffff,10.0,0.0,0.0
839a22fffffffff,1.0,0.0,0.0
839a2bfffffffff,4.0,0.0,0.0
839a74fffffffff,3.0,0.0,0.0
839b01fffffffff,1.0,0.0,0.0
839b0afffffffff,2.0,0.0,0.0
839b0cfffffffff,11.0,0.0,0.0
839b0efffffffff,2.0,0.0,0.0
839b19fffffffff,8.0,0.0,0.0
839b41fffffffff,9.0,0.0,0.0
839b43fffffffff,18.0,0.0,0.0
839b45fffffffff,4.0,0.0,0.0
839b4cfffffffff,16.0,0.0,0.0
839b4efffffffff,1.0,0.0,0.0
839b5cfffffffff,18.0,0.0,0.0
839b5dfffffffff,7.0,0.0,0.0
839b6afffffffff,21.0,0.0,0.0
839b6bfffffffff,8.0,0.0,0.0
839b6efffffffff,14.0,0.0,0.0
839b73fffffffff,3.0,0.0,0.0
839bacfffffffff,6.0,0.0,0.0
839badfffffffff,1.0,0.0,0.0
