cell_id,Dryobates pubescens,Dryobates pubescens pubescens/medianus,Dryobates pubescens leucurus/glacialis,Dryobates pubescens gairdnerii/turati
830c5afffffffff,10.0,0.0,0.0,0.0
830c73fffffffff,9.0,0.0,0.0,0.0
830c74fffffffff,3.0,3.0,0.0,0.0
830e49fffffffff,3.0,0.0,0.0,0.0
830eccfffffffff,2.0,0.0,0.0,0.0
831251fffffffff,2.0,2.0,0.0,0.0
831259fffffffff,1.0,0.0,0.0,0.0
831286fffffffff,4.0,0.0,0.0,0.0
831290fffffffff,3.0,0.0,0.0,0.0
8312b0fffffffff,6.0,0.0,0.0,0.0
8312c1fffffffff,2.0,0.0,0.0,0.0
8312cafffffffff,1.0,0.0,0.0,0.0
8312cbfffffffff,1.0,0.0,0.0,0.0
8312ccfffffffff,17.0,2.0,0.0,0.0
8312defffffffff,2.0,0.0,1.0,1.0
8312ecfffffffff,3.0,0.0,0.0,0.0
831386fffffffff,17.0,0.0,0.0,0.0
831393fffffffff,2.0,0.0,0.0,0.0
83139bfffffffff,3.0,0.0,0.0,0.0
83139efffffffff,5.0,0.0,0.0,0.0
831aa0fffffffff,16.0,0.0,0.0,0.0
831aa3fffffffff,7.0,0.0,0.0,0.0
831aa4fffffffff,5.0,0.0,0.0,0.0
831aa6fffffffff,7.0,0.0,0.0,0.0
831b99fffffffff,2.0,0.0,0.0,0.0
831b9afffffffff,4.0,0.0,0.0,0.0
831b9efffffffff,15.0,0.0,0.0,0.0
8322dbfffffffff,3.0,0.0,0.0,0.0
832600fffffffff,2.0,2.0,0.0,0.0
832603fffffffff,3.0,3.0,0.0,0.0
832608fffffffff,15.0,11.0,0.0,0.0
832609fffffffff,1.0,0.0,0.0,0.0
83260afffffffff,61.0,61.0,0.0,0.0
83260bfffffffff,5.0,3.0,0.0,0.0
83260efffffffff,8.0,8.0,0.0,0.0
832613fffffffff,1.0,0.0,0.0,0.0
832618fffffffff,3.0,3.0,0.0,0.0
83261bfffffffff,4.0,4.0,0.0,0.0
832620fffffffff,2.0,0.0,0.0,0.0
832621fffffffff,4.0,0.0,0.0,0.0
832626fffffffff,5.0,0.0,0.0,0.0
83262bfffffffff,7.0,7.0,0.0,0.0
83262cfffffffff,4.0,0.0,0.0,0.0
832631fffffffff,2.0,2.0,0.0,0.0
832640fffffffff,22.0,0.0,0.0,0.0
832641fffffffff,2.0,0.0,0.0,0.0
832642fffffffff,5.0,0.0,0.0,0.0
832643fffffffff,5.0,0.0,0.0,0.0
