cell_id,Gulosus aristotelis,Gulosus aristotelis aristotelis,Gulosus aristotelis desmarestii,Gulosus aristotelis riggenbachi
820127fffffffff,25.0,0.0,0.0,0.0
820137fffffffff,527.0,75.0,0.0,0.0
820747fffffffff,61.0,8.0,0.0,0.0
82074ffffffffff,25.0,14.0,0.0,0.0
820757fffffffff,63.0,10.0,0.0,0.0
82075ffffffffff,1170.0,279.0,0.0,0.0
820807fffffffff,20.0,0.0,0.0,0.0
82082ffffffffff,10.0,2.0,0.0,0.0
820837fffffffff,23.0,1.0,0.0,0.0
8208effffffffff,18.0,0.0,0.0,0.0
820937fffffffff,13.0,0.0,0.0,0.0
82094ffffffffff,21.0,0.0,0.0,0.0
82095ffffffffff,57.0,4.0,0.0,0.0
820987fffffffff,173.0,2.0,0.0,0.0
82098ffffffffff,9.0,3.0,0.0,0.0
820997fffffffff,337.0,0.0,0.0,0.0
82099ffffffffff,46.0,0.0,0.0,0.0
8209a7fffffffff,629.0,59.0,0.0,0.0
8209affffffffff,69.0,0.0,0.0,0.0
821807fffffffff,588.0,122.0,0.0,0.0
82180ffffffffff,93.0,9.0,0.0,0.0
821827fffffffff,219.0,31.0,0.0,0.0
82182ffffffffff,1164.0,105.0,0.0,0.0
821847fffffffff,222.0,10.0,0.0,0.0
82184ffffffffff,2815.0,133.0,0.0,0.0
821857fffffffff,1.0,0.0,0.0,0.0
82185ffffffffff,967.0,0.0,0.0,0.0
821867fffffffff,331.0,46.0,0.0,0.0
82186ffffffffff,4.0,0.0,0.0,0.0
821877fffffffff,1333.0,202.0,0.0,0.0
821907fffffffff,63.0,2.0,0.0,0.0
82190ffffffffff,1377.0,86.0,0.0,0.0
82191ffffffffff,9.0,0.0,0.0,0.0
821927fffffffff,132.0,3.0,0.0,0.0
82192ffffffffff,730.0,155.0,0.0,0.0
821947fffffffff,546.0,73.0,0.0,0.0
82194ffffffffff,340.0,23.0,0.0,0.0
821957fffffffff,1498.0,359.0,0.0,0.0
82195ffffffffff,562.0,50.0,0.0,0.0
82196ffffffffff,88.0,0.0,0.0,0.0
821977fffffffff,1016.0,120.0,0.0,0.0
821e17fffffffff,5.0,0.0,0.0,0.0
821e5ffffffffff,2.0,0.0,0.0,0.0
821e87fffffffff,26.0,0.0,2.0,0.0
821e8ffffffffff,9.0,0.0,2.0,0.0
821e97fffffffff,35.0,0.0,15.0,0.0
821ea7fffffffff,363.0,0.0,12.0,0.0
821eaffffffffff,150.0,0.0,18.0,0.0
821eb7fffffffff,176.0,0.0,69.0,0.0
821ec7fffffffff,55.0,0.0,15.0,0.0
821ecffffffffff,941.0,0.0,24.0,0.0
821ed7fffffffff,62.0,0.0,0.0,0.0
821edffffffffff,418.0,0.0,42.0,0.0
821eeffffffffff,181.0,0.0,58.0,0.0
821ef7fffffffff,14.0,0.0,11.0,0.0
821f07fffffffff,3.0,0.0,0.0,0.0
821f27fffffffff,94.0,0.0,0.0,0.0
821f2ffffffffff,1.0,0.0,0.0,0.0
821f37fffffffff,63.0,0.0,0.0,0.0
821f9ffffffffff,18.0,0.0,2.0,0.0
822c27fffffffff,12.0,0.0,0.0,0.0
822d07fffffffff,10.0,0.0,0.0,0.0
822d1ffffffffff,7.0,0.0,0.0,0.0
822d27fffffffff,42.0,0.0,0.0,0.0
822d2ffffffffff,16.0,0.0,3.0,0.0
822d37fffffffff,108.0,0.0,0.0,0.0
822d77fffffffff,3.0,0.0,0.0,0.0
822da7fffffffff,17.0,0.0,5.0,0.0
823827fffffffff,127.0,0.0,13.0,0.0
82384ffffffffff,2.0,0.0,0.0,0.0
823867fffffffff,2.0,0.0,2.0,0.0
823917fffffffff,2104.0,20.0,0.0,0.0
82391ffffffffff,140.0,0.0,28.0,0.0
823927fffffffff,2470.0,64.0,0.0,0.0
82392ffffffffff,66.0,2.0,0.0,0.0
823937fffffffff,1352.0,2.0,0.0,0.0
823947fffffffff,737.0,0.0,43.0,0.0
82394ffffffffff,21.0,0.0,12.0,0.0
823957fffffffff,479.0,0.0,34.0,0.0
82395ffffffffff,437.0,0.0,0.0,0.0
823967fffffffff,2.0,0.0,2.0,0.0
82396ffffffffff,31.0,0.0,5.0,0.0
823977fffffffff,156.0,0.0,30.0,0.0
823f2ffffffffff,42.0,0.0,5.0,0.0
823f47fffffffff,32.0,0.0,4.0,0.0
823f4ffffffffff,58.0,0.0,20.0,0.0
823f67fffffffff,165.0,0.0,9.0,0.0
823f6ffffffffff,10.0,0.0,0.0,0.0
823f77fffffffff,332.0,0.0,20.0,0.0
