cell_id,Lagopus lagopus,Lagopus lagopus scotica/hibernica,Lagopus lagopus [lagopus Group]
830122fffffffff,2.0,0.0,0.0
830124fffffffff,1.0,0.0,1.0
830126fffffffff,11.0,0.0,3.0
830130fffffffff,46.0,0.0,6.0
830131fffffffff,9.0,0.0,3.0
830134fffffffff,8.0,0.0,2.0
830135fffffffff,200.0,0.0,38.0
830136fffffffff,1.0,0.0,0.0
8302cafffffffff,5.0,0.0,0.0
83041afffffffff,199.0,0.0,0.0
830810fffffffff,31.0,0.0,1.0
830811fffffffff,6.0,0.0,0.0
830812fffffffff,8.0,0.0,3.0
830813fffffffff,2.0,0.0,2.0
830814fffffffff,38.0,0.0,4.0
830816fffffffff,1.0,0.0,0.0
830819fffffffff,7.0,0.0,6.0
83081dfffffffff,6.0,0.0,0.0
83081efffffffff,1.0,0.0,1.0
830833fffffffff,1.0,0.0,0.0
8308a5fffffffff,12.0,0.0,2.0
8308c1fffffffff,4.0,0.0,0.0
8308c2fffffffff,6.0,0.0,0.0
8308c8fffffffff,46.0,0.0,10.0
8308c9fffffffff,33.0,0.0,13.0
8308ccfffffffff,9.0,0.0,2.0
8308cdfffffffff,26.0,0.0,2.0
8308cefffffffff,2.0,0.0,2.0
8308d8fffffffff,70.0,0.0,9.0
8308ddfffffffff,3.0,0.0,0.0
8308e1fffffffff,3.0,0.0,0.0
8308e3fffffffff,1.0,0.0,0.0
8308e9fffffffff,2.0,0.0,0.0
8308ebfffffffff,2.0,0.0,0.0
8308ecfffffffff,18.0,0.0,0.0
8308edfffffffff,31.0,0.0,1.0
8308eefffffffff,2.0,0.0,0.0
83094afffffffff,8.0,0.0,0.0
83094bfffffffff,13.0,0.0,1.0
830958fffffffff,12.0,0.0,0.0
83095afffffffff,24.0,0.0,0.0
83095bfffffffff,2.0,0.0,0.0
830988fffffffff,6.0,0.0,2.0
830989fffffffff,9.0,0.0,1.0
83098afffffffff,2.0,0.0,0.0
83098efffffffff,5.0,0.0,1.0
8309a4fffffffff,18.0,12.0,0.0
830c06fffffffff,2.0,0.0,0.0
830c0bfffffffff,2.0,0.0,2.0
830c14fffffffff,2990.0,0.0,372.0
830c15fffffffff,70.0,0.0,6.0
830c1afffffffff,1.0,0.0,0.0
830c1bfffffffff,8.0,0.0,0.0
830c1efffffffff,302.0,0.0,0.0
830c25fffffffff,2.0,0.0,0.0
830c29fffffffff,2.0,0.0,0.0
830c30fffffffff,4.0,0.0,0.0
830c32fffffffff,3.0,0.0,0.0
830c33fffffffff,309.0,0.0,3.0
830c34fffffffff,7.0,0.0,0.0
830c42fffffffff,10.0,0.0,2.0
830c44fffffffff,3.0,0.0,0.0
830c46fffffffff,11.0,0.0,2.0
830c51fffffffff,3.0,0.0,0.0
830c52fffffffff,7.0,0.0,0.0
830c55fffffffff,13.0,0.0,1.0
830c5afffffffff,6.0,0.0,2.0
830c60fffffffff,5.0,0.0,0.0
830c61fffffffff,6.0,0.0,0.0
830c62fffffffff,3.0,0.0,0.0
830c64fffffffff,4.0,0.0,0.0
830c65fffffffff,26.0,0.0,0.0
830c66fffffffff,154.0,0.0,23.0
830c70fffffffff,15.0,0.0,0.0
830c71fffffffff,34.0,0.0,0.0
830c73fffffffff,245.0,0.0,34.0
830c74fffffffff,800.0,0.0,31.0
830c75fffffffff,46.0,0.0,7.0
830c76fffffffff,85.0,0.0,2.0
830ca9fffffffff,2.0,0.0,0.0
830cadfffffffff,8.0,0.0,0.0
830cc3fffffffff,1.0,0.0,0.0
830cd8fffffffff,20.0,0.0,0.0
830cdefffffffff,212.0,0.0,0.0
830ce1fffffffff,22.0,0.0,0.0
830cecfffffffff,4.0,0.0,2.0
830ceefffffffff,33.0,0.0,0.0
830cf5fffffffff,2.0,0.0,0.0
830d03fffffffff,39.0,0.0,0.0
830d09fffffffff,31.0,0.0,5.0
830d0cfffffffff,174.0,0.0,0.0
830d0dfffffffff,74.0,0.0,5.0
830d0efffffffff,23.0,0.0,0.0
830d18fffffffff,2.0,0.0,0.0
830d1bfffffffff,1.0,0.0,0.0
830d42fffffffff,1.0,0.0,0.0
830d48fffffffff,54.0,0.0,0.0
830d4afffffffff,4.0,0.0,0.0
830d4cfffffffff,14.0,0.0,0.0
830d4dfffffffff,87.0,0.0,0.0
830d52fffffffff,5.0,0.0,0.0
830d53fffffffff,2.0,0.0,0.0
830d56fffffffff,4.0,0.0,0.0
830d5afffffffff,5.0,0.0,0.0
830d5bfffffffff,2.0,0.0,0.0
830d5cfffffffff,7.0,0.0,0.0
830d5efffffffff,10.0,0.0,0.0
830d60fffffffff,115.0,0.0,0.0
830d61fffffffff,15.0,0.0,0.0
830d62fffffffff,229.0,0.0,0.0
830d65fffffffff,61.0,0.0,0.0
830d6afffffffff,5.0,0.0,0.0
830d6cfffffffff,4.0,0.0,0.0
830d6efffffffff,19.0,0.0,0.0
830d70fffffffff,13.0,0.0,0.0
830d72fffffffff,8.0,0.0,0.0
830d73fffffffff,2.0,0.0,0.0
830d74fffffffff,15.0,0.0,0.0
830d75fffffffff,40.0,0.0,0.0
830d76fffffffff,36.0,0.0,0.0
830d8afffffffff,1.0,0.0,0.0
830e0bfffffffff,3.0,0.0,0.0
830e0efffffffff,9.0,0.0,0.0
830e29fffffffff,3.0,0.0,0.0
830e32fffffffff,1.0,0.0,0.0
830e44fffffffff,4.0,0.0,0.0
830e45fffffffff,11.0,0.0,0.0
830e4dfffffffff,1.0,0.0,0.0
830e53fffffffff,2.0,0.0,0.0
830e5afffffffff,53.0,0.0,0.0
830e5bfffffffff,137.0,0.0,0.0
830e62fffffffff,10.0,0.0,0.0
830e63fffffffff,1.0,0.0,0.0
