cell_id,Melanopareia maximiliani,Melanopareia maximiliani maximiliani/argentina,Melanopareia maximiliani pallida
848b203ffffffff,2.0,0.0,0.0
848b20dffffffff,1.0,0.0,0.0
848b2cdffffffff,1.0,0.0,0.0
848b2d9ffffffff,2.0,0.0,0.0
84a96d9ffffffff,11.0,0.0,0.0
84b2405ffffffff,1.0,0.0,0.0
84b2413ffffffff,26.0,0.0,0.0
84b2435ffffffff,2.0,0.0,0.0
84b243dffffffff,3.0,0.0,0.0
84b2457ffffffff,3.0,0.0,0.0
84b24c5ffffffff,3.0,0.0,0.0
84b24cdffffffff,7.0,0.0,0.0
84b25c1ffffffff,8.0,0.0,0.0
84b25ddffffffff,1.0,0.0,0.0
84b2613ffffffff,26.0,0.0,0.0
84b268bffffffff,1.0,0.0,0.0
84b268dffffffff,11.0,0.0,0.0
84b26c5ffffffff,2.0,0.0,0.0
84b26ddffffffff,1.0,0.0,0.0
84b340dffffffff,3.0,0.0,0.0
84b35abffffffff,2.0,0.0,0.0
