cell_id,Thinornis tricollaris,Thinornis tricollaris tricollaris,Thinornis tricollaris bifrontatus
835280fffffffff,2.0,0.0,0.0
835285fffffffff,2.0,0.0,0.0
835286fffffffff,4.0,0.0,0.0
835289fffffffff,2.0,0.0,0.0
835298fffffffff,27.0,0.0,0.0
835299fffffffff,2.0,0.0,0.0
83529bfffffffff,110.0,0.0,0.0
8352d4fffffffff,1.0,0.0,0.0
8358cdfffffffff,5.0,0.0,0.0
836a49fffffffff,1.0,0.0,0.0
836a69fffffffff,6.0,0.0,0.0
836ac0fffffffff,22.0,2.0,0.0
836ac2fffffffff,3.0,0.0,0.0
836ac3fffffffff,148.0,4.0,0.0
836ac8fffffffff,5.0,0.0,0.0
836acefffffffff,56.0,0.0,0.0
836ad8fffffffff,45.0,0.0,0.0
836adafffffffff,1.0,0.0,0.0
836adcfffffffff,91.0,0.0,0.0
836addfffffffff,21.0,0.0,0.0
836adefffffffff,6.0,0.0,0.0
836ae8fffffffff,1.0,0.0,0.0
836aeefffffffff,1.0,0.0,0.0
836bb6fffffffff,1.0,0.0,0.0
837a40fffffffff,183.0,0.0,0.0
837a41fffffffff,225.0,0.0,0.0
837a45fffffffff,96.0,0.0,0.0
837a48fffffffff,7.0,0.0,0.0
837a4cfffffffff,15.0,0.0,0.0
837a60fffffffff,69.0,0.0,0.0
837a61fffffffff,179.0,1.0,0.0
837a63fffffffff,5.0,0.0,0.0
837a64fffffffff,41.0,0.0,0.0
837a65fffffffff,114.0,0.0,0.0
837a66fffffffff,5.0,0.0,0.0
837a68fffffffff,490.0,0.0,0.0
837a6afffffffff,357.0,0.0,0.0
837a6bfffffffff,6.0,0.0,0.0
837a6cfffffffff,7.0,0.0,0.0
837a6dfffffffff,505.0,31.0,0.0
837a6efffffffff,472.0,0.0,0.0
837ac8fffffffff,105.0,0.0,0.0
837ac9fffffffff,4.0,0.0,0.0
837acafffffffff,10.0,0.0,0.0
837acbfffffffff,11.0,0.0,0.0
837accfffffffff,34.0,0.0,0.0
837acdfffffffff,22.0,0.0,0.0
837ad9fffffffff,34.0,0.0,0.0
837ae8fffffffff,3.0,0.0,0.0
837ae9fffffffff,4.0,0.0,0.0
837aeafffffffff,5.0,0.0,0.0
837b48fffffffff,1.0,0.0,0.0
837b4afffffffff,1.0,0.0,0.0
837b4bfffffffff,10.0,0.0,0.0
837b59fffffffff,105.0,0.0,0.0
837b5bfffffffff,8.0,0.0,0.0
837b6afffffffff,1.0,0.0,0.0
837b6bfffffffff,17.0,0.0,0.0
83821bfffffffff,3.0,0.0,0.0
838302fffffffff,2.0,0.0,0.0
838304fffffffff,1.0,1.0,0.0
838306fffffffff,7.0,0.0,0.0
83831efffffffff,8.0,1.0,0.0
838320fffffffff,2.0,0.0,0.0
838322fffffffff,2.0,2.0,0.0
838326fffffffff,3.0,3.0,0.0
839600fffffffff,8.0,0.0,0.0
839601fffffffff,1.0,0.0,0.0
839602fffffffff,5.0,0.0,0.0
839604fffffffff,2.0,0.0,0.0
839605fffffffff,5.0,2.0,0.0
839610fffffffff,2.0,0.0,0.0
839614fffffffff,9.0,0.0,0.0
839620fffffffff,60.0,5.0,0.0
839621fffffffff,17.0,0.0,0.0
839622fffffffff,4.0,0.0,0.0
839623fffffffff,34.0,8.0,0.0
839625fffffffff,2.0,0.0,0.0
839626fffffffff,5.0,0.0,0.0
839629fffffffff,4.0,0.0,0.0
83962bfffffffff,9.0,0.0,0.0
83962cfffffffff,21.0,9.0,0.0
83962dfffffffff,7.0,7.0,0.0
83962efffffffff,14.0,2.0,0.0
839631fffffffff,2.0,0.0,0.0
839633fffffffff,77.0,11.0,0.0
839675fffffffff,6.0,0.0,0.0
839686fffffffff,3.0,0.0,0.0
839690fffffffff,164.0,7.0,0.0
839691fffffffff,2.0,0.0,0.0
839692fffffffff,311.0,32.0,0.0
839693fffffffff,391.0,28.0,0.0
83969afffffffff,26.0,0.0,0.0
8396a0fffffffff,1.0,1.0,0.0
8396a1fffffffff,25.0,0.0,0.0
8396a2fffffffff,5.0,0.0,0.0
8396a3fffffffff,2.0,0.0,0.0
8396a8fffffffff,2.0,2.0,0.0
8396b0fffffffff,2.0,0.0,0.0
8396b1fffffffff,79.0,0.0,0.0
8396b3fffffffff,1.0,1.0,0.0
8396b5fffffffff,2.0,0.0,0.0
8396b6fffffffff,32.0,0.0,0.0
839701fffffffff,2.0,0.0,0.0
839702fffffffff,2.0,0.0,0.0
839703fffffffff,3.0,0.0,0.0
839705fffffffff,13.0,0.0,0.0
839708fffffffff,5.0,0.0,0.0
83970afffffffff,7.0,0.0,0.0
83970dfffffffff,3.0,0.0,0.0
839711fffffffff,60.0,0.0,0.0
839713fffffffff,8.0,0.0,0.0
839715fffffffff,17.0,0.0,0.0
839719fffffffff,12.0,0.0,0.0
83971bfffffffff,3.0,0.0,0.0
83971cfffffffff,5.0,0.0,0.0
83971dfffffffff,3.0,0.0,0.0
839725fffffffff,5.0,0.0,0.0
839728fffffffff,106.0,22.0,0.0
839729fffffffff,56.0,14.0,0.0
83972cfffffffff,346.0,112.0,0.0
83972dfffffffff,14.0,0.0,0.0
83972efffffffff,271.0,48.0,0.0
839731fffffffff,1.0,0.0,0.0
839735fffffffff,14.0,0.0,0.0
839740fffffffff,10.0,1.0,0.0
839741fffffffff,25.0,2.0,0.0
839742fffffffff,1.0,0.0,0.0
839743fffffffff,88.0,5.0,0.0
839744fffffffff,5.0,0.0,0.0
839746fffffffff,4.0,0.0,0.0
83974afffffffff,173.0,29.0,0.0
83974bfffffffff,31.0,0.0,0.0
83974efffffffff,80.0,23.0,0.0
839750fffffffff,33.0,6.0,0.0
839751fffffffff,241.0,19.0,0.0
839753fffffffff,5.0,5.0,0.0
839754fffffffff,14.0,0.0,0.0
839755fffffffff,21.0,4.0,0.0
83975bfffffffff,2.0,0.0,0.0
83975cfffffffff,80.0,1.0,0.0
83975dfffffffff,13.0,2.0,0.0
83975efffffffff,6.0,2.0,0.0
839764fffffffff,2.0,0.0,0.0
839768fffffffff,5.0,0.0,0.0
839770fffffffff,2.0,0.0,0.0
839772fffffffff,25.0,0.0,0.0
839773fffffffff,1.0,0.0,0.0
839774fffffffff,2.0,0.0,0.0
839782fffffffff,2.0,0.0,0.0
839788fffffffff,1.0,0.0,0.0
83978bfffffffff,2.0,0.0,0.0
83978dfffffffff,2.0,0.0,0.0
839791fffffffff,3.0,0.0,0.0
8397a8fffffffff,5.0,0.0,0.0
8397aafffffffff,3.0,0.0,0.0
8397abfffffffff,2.0,0.0,0.0
8397acfffffffff,1.0,0.0,0.0
83a204fffffffff,2.0,0.0,2.0
83a214fffffffff,16.0,0.0,2.0
83a222fffffffff,7.0,0.0,3.0
83a231fffffffff,17.0,0.0,4.0
83a233fffffffff,8.0,0.0,6.0
83a235fffffffff,9.0,0.0,2.0
83a2aefffffffff,2.0,0.0,0.0
83a308fffffffff,1.0,0.0,0.0
83a318fffffffff,12.0,0.0,0.0
83a319fffffffff,43.0,0.0,13.0
