cell_id,Phrygilus gayi,Phrygilus gayi minor,Phrygilus gayi gayi/caniceps
82b207fffffffff,115.0,0.0,0.0
82b20ffffffffff,287.0,0.0,0.0
82b21ffffffffff,641.0,3.0,0.0
82b227fffffffff,4.0,0.0,0.0
82b22ffffffffff,45.0,0.0,0.0
82b257fffffffff,16.0,0.0,0.0
82b25ffffffffff,1.0,0.0,0.0
82b277fffffffff,6.0,0.0,0.0
82b2c7fffffffff,1419.0,272.0,234.0
82b2cffffffffff,564.0,0.0,0.0
82b2dffffffffff,50.0,10.0,0.0
82b2e7fffffffff,973.0,43.0,0.0
82b2effffffffff,484.0,0.0,0.0
82b357fffffffff,150.0,0.0,0.0
82b35ffffffffff,537.0,0.0,0.0
82b377fffffffff,3.0,0.0,0.0
82c307fffffffff,4.0,0.0,0.0
82c327fffffffff,232.0,0.0,0.0
82c32ffffffffff,46.0,0.0,0.0
82c367fffffffff,26.0,0.0,0.0
82c36ffffffffff,6.0,0.0,0.0
82c377fffffffff,12.0,0.0,0.0
82ce87fffffffff,465.0,0.0,2.0
82ce97fffffffff,120.0,0.0,0.0
82ce9ffffffffff,397.0,0.0,0.0
82cea7fffffffff,108.0,0.0,0.0
82ceb7fffffffff,7.0,0.0,0.0
82cf17fffffffff,630.0,0.0,21.0
82cf87fffffffff,86.0,0.0,2.0
82cf8ffffffffff,742.0,0.0,7.0
82cf97fffffffff,85.0,0.0,0.0
82cf9ffffffffff,82.0,0.0,0.0
82cfa7fffffffff,1517.0,0.0,64.0
82cfaffffffffff,693.0,0.0,14.0
82cfb7fffffffff,5.0,0.0,0.0
82df47fffffffff,5.0,0.0,0.0
82df4ffffffffff,61.0,0.0,4.0
82df6ffffffffff,1303.0,0.0,223.0
