cell_id,Leptotila verreauxi,Leptotila verreauxi [verreauxi Group],Leptotila verreauxi decolor,Leptotila verreauxi [brasiliensis Group]
834424fffffffff,28.0,0.0,0.0,0.0
834501fffffffff,341.0,6.0,0.0,0.0
834505fffffffff,225.0,0.0,0.0,0.0
834508fffffffff,1167.0,79.0,0.0,0.0
834509fffffffff,1821.0,222.0,0.0,0.0
83450afffffffff,995.0,35.0,0.0,0.0
83450bfffffffff,707.0,45.0,0.0,0.0
83450cfffffffff,229.0,15.0,0.0,0.0
83450dfffffffff,738.0,258.0,0.0,0.0
83450efffffffff,607.0,29.0,0.0,0.0
834519fffffffff,3.0,0.0,0.0,0.0
83451dfffffffff,3.0,0.0,0.0,0.0
834520fffffffff,515.0,0.0,0.0,0.0
834521fffffffff,1055.0,5.0,0.0,0.0
834522fffffffff,269.0,0.0,0.0,0.0
834523fffffffff,652.0,11.0,0.0,0.0
834524fffffffff,2170.0,0.0,0.0,0.0
834525fffffffff,838.0,49.0,0.0,0.0
834526fffffffff,1690.0,7.0,0.0,0.0
834528fffffffff,1171.0,31.0,0.0,0.0
834529fffffffff,87.0,2.0,0.0,0.0
83452afffffffff,3286.0,133.0,0.0,0.0
83452bfffffffff,305.0,27.0,0.0,0.0
83452cfffffffff,1968.0,14.0,0.0,0.0
83452dfffffffff,332.0,4.0,0.0,0.0
83452efffffffff,10250.0,125.0,0.0,0.0
834530fffffffff,40.0,0.0,0.0,0.0
834531fffffffff,14.0,0.0,0.0,0.0
834532fffffffff,34.0,0.0,0.0,0.0
834534fffffffff,204.0,0.0,0.0,0.0
834535fffffffff,282.0,0.0,0.0,0.0
834536fffffffff,19.0,0.0,0.0,0.0
834564fffffffff,18.0,0.0,0.0,0.0
834569fffffffff,1.0,0.0,0.0,0.0
83456dfffffffff,2.0,0.0,0.0,0.0
834572fffffffff,340.0,86.0,0.0,0.0
834574fffffffff,16.0,0.0,0.0,0.0
834576fffffffff,121.0,8.0,0.0,0.0
834802fffffffff,19.0,0.0,0.0,0.0
834803fffffffff,3.0,0.0,0.0,0.0
834806fffffffff,70.0,0.0,0.0,0.0
834809fffffffff,53.0,0.0,0.0,0.0
83480afffffffff,994.0,0.0,0.0,0.0
83480bfffffffff,13.0,0.0,0.0,0.0
83480efffffffff,53.0,0.0,0.0,0.0
834814fffffffff,4.0,0.0,0.0,0.0
834815fffffffff,123.0,0.0,0.0,0.0
83481dfffffffff,68.0,0.0,0.0,0.0
834830fffffffff,54.0,10.0,0.0,0.0
834831fffffffff,1.0,0.0,0.0,0.0
834832fffffffff,37.0,2.0,0.0,0.0
834833fffffffff,556.0,0.0,0.0,0.0
834834fffffffff,2.0,0.0,0.0,0.0
834836fffffffff,4126.0,95.0,0.0,0.0
834856fffffffff,4.0,0.0,0.0,0.0
834880fffffffff,332.0,0.0,0.0,0.0
834882fffffffff,565.0,0.0,0.0,0.0
834883fffffffff,9.0,0.0,0.0,0.0
834884fffffffff,49.0,0.0,0.0,0.0
834886fffffffff,395.0,0.0,0.0,0.0
834890fffffffff,63.0,0.0,0.0,0.0
834891fffffffff,93.0,0.0,0.0,0.0
834895fffffffff,1790.0,0.0,0.0,0.0
83489cfffffffff,9.0,0.0,0.0,0.0
83489dfffffffff,219.0,0.0,0.0,0.0
8348a2fffffffff,903.0,0.0,0.0,0.0
8348a6fffffffff,18.0,0.0,0.0,0.0
8348b1fffffffff,3639.0,1.0,0.0,0.0
8348b2fffffffff,2543.0,0.0,0.0,0.0
8348b3fffffffff,27199.0,0.0,0.0,0.0
8348b4fffffffff,23.0,0.0,0.0,0.0
8348b5fffffffff,137.0,0.0,0.0,0.0
8348e0fffffffff,8.0,0.0,0.0,0.0
8348e1fffffffff,74.0,0.0,0.0,0.0
8348e3fffffffff,1.0,0.0,0.0,0.0
8348e4fffffffff,85.0,0.0,0.0,0.0
8348e5fffffffff,99.0,0.0,0.0,0.0
834980fffffffff,228.0,2.0,0.0,0.0
