cell_id,Zimmerius chrysops,Zimmerius chrysops minimus/cumanensis,Zimmerius chrysops chrysops
8466089ffffffff,1.0,0.0,0.0
84660bdffffffff,6.0,0.0,0.0
8466193ffffffff,1.0,0.0,1.0
846619dffffffff,10.0,0.0,0.0
84661bbffffffff,2.0,0.0,0.0
846622bffffffff,2.0,0.0,0.0
8466d03ffffffff,25.0,0.0,0.0
8466d1dffffffff,2.0,0.0,0.0
8466de1ffffffff,4.0,0.0,2.0
8466e69ffffffff,1.0,0.0,1.0
8466e6dffffffff,36.0,0.0,0.0
8466f03ffffffff,2.0,0.0,0.0
8466f1dffffffff,4.0,0.0,0.0
846758dffffffff,2.0,0.0,0.0
84675a9ffffffff,2.0,0.0,0.0
84675e3ffffffff,5.0,0.0,0.0
84675e7ffffffff,4.0,0.0,0.0
848f739ffffffff,1.0,0.0,0.0
