cell_id,Ianthocincla ocellata,Ianthocincla ocellata [ocellata Group],Ianthocincla ocellata artemisiae
843c00dffffffff,4.0,0.0,0.0
843c029ffffffff,34.0,0.0,0.0
843c02bffffffff,4.0,0.0,0.0
843c02dffffffff,1.0,0.0,0.0
843c031ffffffff,2.0,0.0,0.0
843c037ffffffff,1.0,0.0,0.0
843c063ffffffff,30.0,0.0,0.0
843c0a1ffffffff,14.0,0.0,0.0
843c0a3ffffffff,163.0,0.0,0.0
843c0a5ffffffff,95.0,0.0,0.0
843c0a7ffffffff,1.0,0.0,0.0
843c0a9ffffffff,34.0,0.0,0.0
843c0adffffffff,9.0,0.0,0.0
843c0b5ffffffff,61.0,0.0,0.0
843c0b7ffffffff,39.0,0.0,0.0
843c0bdffffffff,3.0,0.0,0.0
843c0e5ffffffff,1.0,0.0,0.0
843c199ffffffff,13.0,0.0,0.0
843c1d1ffffffff,157.0,0.0,0.0
843c1d3ffffffff,288.0,0.0,0.0
843c1dbffffffff,16.0,0.0,0.0
843c307ffffffff,3.0,0.0,0.0
843c315ffffffff,10.0,0.0,0.0
843c317ffffffff,17.0,0.0,0.0
843c341ffffffff,4.0,0.0,0.0
843c34bffffffff,2.0,0.0,0.0
843c421ffffffff,2.0,0.0,0.0
843c423ffffffff,3.0,0.0,0.0
843c431ffffffff,12.0,0.0,0.0
843c521ffffffff,259.0,0.0,0.0
843c525ffffffff,2.0,0.0,0.0
843c527ffffffff,138.0,0.0,0.0
843c529ffffffff,5.0,0.0,0.0
843c52dffffffff,31.0,0.0,0.0
843c567ffffffff,10.0,0.0,0.0
843c581ffffffff,52.0,0.0,0.0
843ce53ffffffff,4.0,0.0,0.0
843ce59ffffffff,35.0,0.0,0.0
843ce5bffffffff,4.0,0.0,0.0
844004dffffffff,10.0,0.0,0.0
8440133ffffffff,4.0,0.0,0.0
8440439ffffffff,3.0,0.0,0.0
84404c5ffffffff,4.0,0.0,0.0
84404e1ffffffff,2.0,0.0,0.0
8440529ffffffff,3.0,0.0,0.0
84405ddffffffff,3.0,0.0,0.0
84405e3ffffffff,1.0,0.0,0.0
8440a8dffffffff,4.0,0.0,0.0
8440ac5ffffffff,12.0,0.0,1.0
8440c27ffffffff,1.0,0.0,0.0
8440c2dffffffff,1.0,0.0,0.0
8440c41ffffffff,2.0,0.0,0.0
8440c4bffffffff,2.0,0.0,0.0
8440c59ffffffff,6.0,0.0,0.0
8440c6bffffffff,2.0,0.0,0.0
8440c6dffffffff,7.0,0.0,0.0
8440e11ffffffff,6.0,0.0,0.0
8440e13ffffffff,40.0,0.0,1.0
8440e37ffffffff,1.0,0.0,0.0
8440e5bffffffff,15.0,0.0,0.0
8440ec5ffffffff,7.0,0.0,0.0
8440ee5ffffffff,2.0,0.0,0.0
