cell_id,Aerodramus fuciphagus,Aerodramus fuciphagus germani/amechanus,Aerodramus fuciphagus [fuciphagus Group]
82414ffffffffff,6.0,6.0,0.0
82416ffffffffff,3.0,3.0,0.0
82640ffffffffff,5.0,0.0,5.0
8264a7fffffffff,2.0,2.0,0.0
8264b7fffffffff,97.0,97.0,0.0
826507fffffffff,181.0,179.0,0.0
82650ffffffffff,13.0,8.0,5.0
82651ffffffffff,756.0,756.0,0.0
826527fffffffff,15.0,15.0,0.0
826587fffffffff,5.0,5.0,0.0
82658ffffffffff,1.0,1.0,0.0
826597fffffffff,3.0,3.0,0.0
826807fffffffff,1.0,1.0,0.0
82681ffffffffff,3.0,2.0,1.0
82682ffffffffff,6.0,5.0,0.0
826857fffffffff,12.0,10.0,0.0
82685ffffffffff,5.0,5.0,0.0
826877fffffffff,2.0,2.0,0.0
8268d7fffffffff,1.0,0.0,1.0
829417fffffffff,12.0,0.0,10.0
82942ffffffffff,2.0,0.0,0.0
829457fffffffff,3.0,0.0,0.0
8295a7fffffffff,1.0,0.0,0.0
