cell_id,Arremonops rufivirgatus,Arremonops rufivirgatus [rufivirgatus Group],Arremonops rufivirgatus [superciliosus Group]
8444249ffffffff,43.0,0.0,0.0
8445019ffffffff,18.0,0.0,0.0
844501bffffffff,21.0,0.0,0.0
844505bffffffff,99.0,0.0,0.0
8445081ffffffff,3.0,0.0,0.0
8445083ffffffff,124.0,11.0,0.0
8445085ffffffff,24.0,0.0,0.0
8445087ffffffff,412.0,38.0,0.0
8445089ffffffff,5.0,0.0,0.0
844508bffffffff,2.0,2.0,0.0
844508dffffffff,75.0,0.0,0.0
8445091ffffffff,96.0,22.0,0.0
8445093ffffffff,24.0,19.0,0.0
8445095ffffffff,11.0,7.0,0.0
8445097ffffffff,20.0,8.0,0.0
8445099ffffffff,325.0,1.0,0.0
844509bffffffff,1083.0,317.0,0.0
844509dffffffff,31.0,3.0,0.0
84450a1ffffffff,252.0,0.0,0.0
84450a3ffffffff,121.0,11.0,0.0
84450a5ffffffff,29.0,0.0,0.0
84450a7ffffffff,40.0,0.0,0.0
84450a9ffffffff,32.0,0.0,0.0
84450abffffffff,67.0,4.0,0.0
84450adffffffff,1.0,0.0,0.0
84450b1ffffffff,66.0,12.0,0.0
84450b5ffffffff,68.0,0.0,0.0
84450b9ffffffff,41.0,7.0,0.0
84450bbffffffff,1.0,0.0,0.0
84450bdffffffff,86.0,17.0,0.0
84450c1ffffffff,17.0,0.0,0.0
84450c3ffffffff,3.0,0.0,0.0
84450c5ffffffff,51.0,1.0,0.0
84450c7ffffffff,2.0,0.0,0.0
84450cdffffffff,17.0,0.0,0.0
84450d1ffffffff,21.0,15.0,0.0
84450d3ffffffff,321.0,109.0,0.0
84450d5ffffffff,154.0,59.0,0.0
84450d7ffffffff,43.0,2.0,0.0
84450d9ffffffff,1.0,0.0,0.0
84450dbffffffff,3.0,3.0,0.0
84450ddffffffff,17.0,5.0,0.0
84450e1ffffffff,2.0,0.0,0.0
84450e3ffffffff,53.0,0.0,0.0
84450ebffffffff,107.0,0.0,0.0
844519bffffffff,2.0,1.0,0.0
8445213ffffffff,9.0,0.0,0.0
8445281ffffffff,5.0,0.0,0.0
8445283ffffffff,4.0,0.0,0.0
8445285ffffffff,8.0,0.0,0.0
8445287ffffffff,8.0,0.0,0.0
8445289ffffffff,10.0,2.0,0.0
84452a1ffffffff,29.0,0.0,0.0
84452a3ffffffff,26.0,0.0,0.0
84452a5ffffffff,315.0,0.0,0.0
84452a7ffffffff,13.0,0.0,0.0
84452a9ffffffff,33.0,0.0,0.0
84452abffffffff,7.0,0.0,0.0
84452adffffffff,472.0,0.0,0.0
84452b3ffffffff,1.0,0.0,0.0
84452b5ffffffff,3.0,0.0,0.0
84452b9ffffffff,17.0,0.0,0.0
84452bdffffffff,23.0,0.0,0.0
84452c1ffffffff,13.0,0.0,0.0
84452c3ffffffff,4.0,0.0,0.0
84452c5ffffffff,259.0,58.0,0.0
84452c7ffffffff,26.0,0.0,0.0
84452cdffffffff,4.0,0.0,0.0
84452d9ffffffff,5.0,0.0,0.0
84452e3ffffffff,11.0,0.0,0.0
84452e5ffffffff,167.0,0.0,0.0
84452e7ffffffff,33.0,0.0,0.0
84452ebffffffff,13.0,0.0,0.0
8445649ffffffff,2.0,0.0,0.0
8445721ffffffff,25.0,1.0,0.0
8445725ffffffff,468.0,9.0,0.0
8445727ffffffff,14.0,4.0,0.0
844572dffffffff,8.0,0.0,0.0
8445761ffffffff,7.0,0.0,0.0
8445765ffffffff,4.0,0.0,0.0
8445767ffffffff,2.0,0.0,0.0
8448065ffffffff,3.0,0.0,0.0
844806dffffffff,2.0,0.0,0.0
