cell_id,Agelasticus cyanopus,Agelasticus cyanopus atroolivaceus/unicolor,Agelasticus cyanopus cyanopus
83806afffffffff,14.0,0.0,0.0
838102fffffffff,6.0,0.0,0.0
838113fffffffff,2.0,0.0,0.0
838129fffffffff,2.0,0.0,0.0
838162fffffffff,9.0,0.0,0.0
838b00fffffffff,7.0,0.0,0.0
838b01fffffffff,2.0,0.0,0.0
838b04fffffffff,1.0,0.0,0.0
838b08fffffffff,6.0,0.0,0.0
838b09fffffffff,1.0,0.0,0.0
838b0cfffffffff,61.0,0.0,0.0
838b0dfffffffff,117.0,0.0,0.0
838b0efffffffff,10.0,0.0,0.0
838b10fffffffff,11.0,0.0,0.0
838b11fffffffff,2.0,0.0,0.0
838b1cfffffffff,2.0,0.0,0.0
838b22fffffffff,22.0,0.0,0.0
838b23fffffffff,2.0,0.0,0.0
838b26fffffffff,2.0,0.0,0.0
838b2afffffffff,104.0,0.0,0.0
838b2bfffffffff,1.0,0.0,0.0
838b31fffffffff,31.0,0.0,0.0
838b72fffffffff,8.0,0.0,0.0
838b74fffffffff,1.0,0.0,0.0
838b76fffffffff,8.0,0.0,0.0
838b9dfffffffff,2.0,0.0,0.0
838ba6fffffffff,12.0,0.0,0.0
838bb5fffffffff,4.0,0.0,0.0
83a801fffffffff,3.0,0.0,0.0
83a802fffffffff,2.0,0.0,0.0
83a806fffffffff,8.0,0.0,0.0
83a80dfffffffff,2.0,0.0,0.0
83a810fffffffff,267.0,0.0,0.0
83a811fffffffff,46.0,0.0,0.0
83a812fffffffff,14.0,0.0,0.0
83a813fffffffff,17.0,0.0,0.0
83a814fffffffff,6.0,0.0,0.0
83a815fffffffff,7.0,0.0,0.0
83a818fffffffff,8.0,0.0,0.0
83a81afffffffff,19.0,0.0,0.0
83a81bfffffffff,6.0,0.0,0.0
83a81cfffffffff,18.0,0.0,0.0
83a81efffffffff,31.0,0.0,0.0
83a829fffffffff,1.0,0.0,0.0
83a831fffffffff,21.0,0.0,0.0
83a833fffffffff,7.0,0.0,0.0
83a840fffffffff,265.0,0.0,20.0
83a841fffffffff,8.0,0.0,0.0
83a842fffffffff,23.0,0.0,0.0
83a843fffffffff,3.0,0.0,1.0
83a844fffffffff,1.0,0.0,1.0
83a845fffffffff,23.0,0.0,0.0
83a846fffffffff,50.0,0.0,0.0
83a848fffffffff,1.0,0.0,0.0
83a84afffffffff,41.0,0.0,11.0
83a84bfffffffff,2.0,0.0,0.0
83a84efffffffff,15.0,0.0,2.0
83a859fffffffff,1049.0,0.0,31.0
83a85dfffffffff,1278.0,0.0,51.0
83a860fffffffff,4.0,0.0,0.0
83a863fffffffff,7.0,0.0,0.0
83a864fffffffff,9.0,0.0,0.0
83a865fffffffff,4.0,0.0,0.0
83a86afffffffff,4.0,0.0,0.0
83a876fffffffff,28.0,0.0,2.0
83a883fffffffff,2.0,0.0,0.0
83a886fffffffff,2.0,0.0,0.0
83a895fffffffff,8.0,0.0,0.0
83a89efffffffff,5.0,0.0,0.0
83a8a0fffffffff,15.0,0.0,0.0
83a8a1fffffffff,61.0,0.0,0.0
83a8a2fffffffff,44.0,0.0,0.0
83a8a3fffffffff,1.0,0.0,0.0
83a8a5fffffffff,31.0,0.0,0.0
83a8a8fffffffff,1.0,0.0,0.0
83a8abfffffffff,9.0,0.0,0.0
83a8adfffffffff,2.0,0.0,0.0
83a8b1fffffffff,3.0,0.0,0.0
83a8d1fffffffff,3.0,0.0,0.0
83a940fffffffff,47.0,0.0,0.0
83a941fffffffff,493.0,0.0,0.0
83a942fffffffff,114.0,0.0,0.0
83a943fffffffff,34.0,0.0,0.0
83a944fffffffff,552.0,0.0,0.0
83a945fffffffff,276.0,0.0,0.0
83a946fffffffff,325.0,0.0,0.0
83a948fffffffff,4.0,0.0,0.0
83a949fffffffff,4.0,0.0,0.0
83a94afffffffff,47.0,0.0,0.0
83a94bfffffffff,10.0,0.0,0.0
83a94cfffffffff,51.0,0.0,0.0
83a94dfffffffff,18.0,0.0,0.0
83a94efffffffff,1366.0,0.0,0.0
83a950fffffffff,4.0,0.0,0.0
83a953fffffffff,6.0,0.0,0.0
83a955fffffffff,23.0,0.0,0.0
83a959fffffffff,8.0,0.0,0.0
83a95bfffffffff,1.0,0.0,0.0
83a95cfffffffff,4.0,0.0,0.0
83a95dfffffffff,291.0,0.0,0.0
83a960fffffffff,8.0,0.0,0.0
83a961fffffffff,79.0,0.0,0.0
83a962fffffffff,605.0,0.0,0.0
83a963fffffffff,107.0,0.0,0.0
83a965fffffffff,7.0,0.0,0.0
83a966fffffffff,2.0,0.0,0.0
83a968fffffffff,49.0,0.0,0.0
83a96afffffffff,517.0,0.0,0.0
83a96bfffffffff,9.0,0.0,0.0
83a96cfffffffff,6.0,0.0,0.0
83a96efffffffff,230.0,0.0,0.0
83a971fffffffff,94.0,0.0,0.0
83a973fffffffff,3.0,0.0,0.0
83a975fffffffff,14.0,0.0,0.0
83b249fffffffff,1.0,0.0,0.0
83b24dfffffffff,23.0,0.0,0.0
83b262fffffffff,12.0,0.0,0.0
83b268fffffffff,33.0,0.0,0.0
83b269fffffffff,71.0,0.0,0.0
83b26cfffffffff,2.0,0.0,0.0
83b26dfffffffff,54.0,0.0,0.0
83b274fffffffff,1.0,0.0,0.0
83b275fffffffff,10.0,0.0,0.0
83b320fffffffff,1.0,0.0,0.0
83b342fffffffff,53.0,0.0,0.0
83b343fffffffff,6.0,0.0,0.0
83b344fffffffff,34.0,0.0,0.0
83b346fffffffff,25.0,0.0,0.0
83b348fffffffff,2.0,0.0,0.0
83b349fffffffff,1.0,0.0,0.0
83b34cfffffffff,12.0,0.0,0.0
83b34dfffffffff,130.0,0.0,0.0
83b351fffffffff,20.0,0.0,0.0
83b35cfffffffff,37.0,0.0,0.0
83b35efffffffff,3.0,0.0,0.0
83b362fffffffff,2.0,0.0,0.0
83b366fffffffff,9.0,0.0,0.0
83b369fffffffff,2.0,0.0,0.0
83b36afffffffff,4.0,0.0,0.0
83b36bfffffffff,6.0,0.0,0.0
83b36dfffffffff,11.0,0.0,0.0
83c203fffffffff,2.0,0.0,0.0
83c21bfffffffff,13.0,0.0,0.0
83c2c1fffffffff,14.0,0.0,0.0
83c2c5fffffffff,280.0,0.0,0.0
83c2c8fffffffff,2.0,0.0,0.0
83c2c9fffffffff,109.0,0.0,0.0
83c2cafffffffff,29.0,0.0,0.0
83c2cbfffffffff,28.0,0.0,0.0
