cell_id,Ceyx cyanopectus,Ceyx cyanopectus cyanopectus,Ceyx cyanopectus nigrirostris
826867fffffffff,30.0,5.0,3.0
826877fffffffff,3.0,0.0,3.0
826947fffffffff,48.0,11.0,0.0
82694ffffffffff,226.0,30.0,0.0
82696ffffffffff,74.0,27.0,0.0
