cell_id,Phylloscopus affinis,Phylloscopus affinis affinis/perflavus,Phylloscopus affinis occisinensis
82209ffffffffff,6.0,3.0,0.0
822487fffffffff,9.0,0.0,9.0
82248ffffffffff,103.0,0.0,102.0
82249ffffffffff,24.0,0.0,24.0
8224d7fffffffff,5.0,0.0,5.0
823c07fffffffff,249.0,209.0,0.0
823c0ffffffffff,580.0,500.0,0.0
823c17fffffffff,24.0,19.0,0.0
823c1ffffffffff,372.0,331.0,0.0
823c37fffffffff,101.0,79.0,0.0
823c47fffffffff,30.0,30.0,0.0
823c4ffffffffff,1.0,1.0,0.0
823c57fffffffff,41.0,16.0,0.0
823c5ffffffffff,252.0,152.0,0.0
823c6ffffffffff,101.0,0.0,97.0
823c77fffffffff,36.0,36.0,0.0
823c87fffffffff,8.0,8.0,0.0
823c8ffffffffff,6.0,2.0,0.0
823c97fffffffff,20.0,17.0,0.0
823c9ffffffffff,2.0,0.0,0.0
823ca7fffffffff,5.0,0.0,0.0
823caffffffffff,9.0,4.0,0.0
823cb7fffffffff,28.0,23.0,0.0
823cc7fffffffff,21.0,17.0,0.0
823cd7fffffffff,2.0,2.0,0.0
823cdffffffffff,65.0,65.0,0.0
823ce7fffffffff,199.0,120.0,0.0
823ceffffffffff,79.0,17.0,0.0
823cf7fffffffff,10.0,9.0,0.0
823d07fffffffff,221.0,187.0,0.0
823d17fffffffff,226.0,210.0,0.0
823d1ffffffffff,50.0,36.0,0.0
823d27fffffffff,11.0,10.0,0.0
823d37fffffffff,105.0,92.0,0.0
823d8ffffffffff,9.0,9.0,0.0
823d9ffffffffff,2.0,0.0,0.0
823daffffffffff,181.0,172.0,0.0
824047fffffffff,4.0,0.0,4.0
82404ffffffffff,17.0,2.0,15.0
824057fffffffff,2.0,0.0,2.0
82405ffffffffff,5.0,0.0,5.0
82406ffffffffff,3.0,0.0,1.0
824077fffffffff,2.0,0.0,2.0
8240c7fffffffff,182.0,0.0,177.0
8240cffffffffff,1.0,0.0,0.0
8240d7fffffffff,6.0,0.0,6.0
8240dffffffffff,17.0,0.0,16.0
8240e7fffffffff,23.0,0.0,17.0
8240effffffffff,129.0,0.0,128.0
826007fffffffff,53.0,50.0,0.0
826017fffffffff,971.0,843.0,0.0
826027fffffffff,7.0,5.0,0.0
826037fffffffff,735.0,585.0,0.0
826087fffffffff,2.0,2.0,0.0
82608ffffffffff,15.0,9.0,0.0
826097fffffffff,2.0,0.0,0.0
82609ffffffffff,2.0,0.0,0.0
8260a7fffffffff,3.0,3.0,0.0
8260affffffffff,21.0,20.0,0.0
8260b7fffffffff,4.0,4.0,0.0
82648ffffffffff,2.0,2.0,0.0
82649ffffffffff,12.0,11.0,0.0
