cell_id,Edolisoma erythropygium,Edolisoma erythropygium ultimum,Edolisoma erythropygium erythropygium/saturatius,Edolisoma erythropygium nisorium
8476805ffffffff,1.0,0.0,0.0,0.0
8476807ffffffff,5.0,0.0,0.0,0.0
8476809ffffffff,2.0,0.0,0.0,0.0
847680dffffffff,3.0,0.0,0.0,0.0
8476821ffffffff,1.0,0.0,0.0,0.0
8476837ffffffff,1.0,0.0,0.0,0.0
8476845ffffffff,4.0,0.0,0.0,0.0
8476847ffffffff,1.0,0.0,0.0,0.0
847684dffffffff,1.0,0.0,0.0,0.0
84768e5ffffffff,1.0,0.0,0.0,0.0
84768edffffffff,4.0,0.0,0.0,0.0
8476991ffffffff,1.0,0.0,0.0,0.0
847699bffffffff,1.0,0.0,0.0,0.0
847699dffffffff,23.0,0.0,0.0,0.0
84769d1ffffffff,41.0,0.0,0.0,0.0
84769d9ffffffff,2.0,0.0,0.0,0.0
84769ddffffffff,1.0,0.0,0.0,0.0
849ed33ffffffff,5.0,0.0,0.0,0.0
849ed8dffffffff,4.0,0.0,0.0,0.0
849eda1ffffffff,1.0,0.0,0.0,0.0
849eda7ffffffff,15.0,0.0,0.0,0.0
849edc7ffffffff,3.0,0.0,0.0,0.0
849ede5ffffffff,2.0,0.0,0.0,0.0
849edebffffffff,14.0,0.0,0.0,0.0
849ededffffffff,1.0,0.0,0.0,0.0
