cell_id,Chloephaga picta,Chloephaga picta (White-breasted),Chloephaga picta (Bar-breasted)
82b2c7fffffffff,174.0,0.0,0.0
82b2cffffffffff,416.0,0.0,0.0
82b2dffffffffff,36.0,0.0,0.0
82b2effffffffff,6.0,0.0,0.0
82c227fffffffff,36.0,0.0,0.0
82c22ffffffffff,107.0,0.0,0.0
82c307fffffffff,14.0,0.0,0.0
82c30ffffffffff,32.0,0.0,0.0
82c327fffffffff,160.0,0.0,0.0
82c32ffffffffff,92.0,2.0,0.0
82c347fffffffff,4.0,0.0,0.0
82c357fffffffff,39.0,0.0,0.0
82c367fffffffff,9.0,0.0,0.0
82c377fffffffff,43.0,0.0,0.0
82ce87fffffffff,1183.0,6.0,0.0
82ce97fffffffff,119.0,0.0,0.0
82ce9ffffffffff,1088.0,0.0,0.0
82cea7fffffffff,325.0,0.0,0.0
82ceaffffffffff,9.0,0.0,0.0
82ceb7fffffffff,25.0,0.0,0.0
82cf17fffffffff,2381.0,185.0,21.0
82cf37fffffffff,2.0,0.0,0.0
82cf87fffffffff,258.0,18.0,0.0
82cf8ffffffffff,1736.0,78.0,1.0
82cf97fffffffff,143.0,0.0,0.0
82cf9ffffffffff,188.0,0.0,0.0
82cfa7fffffffff,6526.0,11.0,8.0
82cfaffffffffff,1872.0,41.0,0.0
82cfb7fffffffff,41.0,0.0,0.0
82de67fffffffff,367.0,0.0,0.0
82de77fffffffff,897.0,0.0,0.0
82df47fffffffff,2595.0,31.0,257.0
82df4ffffffffff,71.0,0.0,0.0
82df5ffffffffff,2.0,0.0,0.0
82df6ffffffffff,7702.0,216.0,397.0
