cell_id,Empidonax flavescens,Empidonax flavescens imperturbatus/salvini,Empidonax flavescens flavescens
8445201ffffffff,23.0,0.0,0.0
8445205ffffffff,2.0,0.0,0.0
8445207ffffffff,13.0,0.0,0.0
8445209ffffffff,2.0,0.0,0.0
844520dffffffff,247.0,0.0,0.0
8445225ffffffff,13.0,0.0,0.0
8445241ffffffff,6.0,0.0,0.0
8445243ffffffff,155.0,0.0,0.0
8445245ffffffff,25.0,0.0,0.0
8445247ffffffff,128.0,0.0,0.0
844524bffffffff,46.0,0.0,0.0
8445253ffffffff,6.0,0.0,0.0
844525bffffffff,74.0,0.0,0.0
844525dffffffff,10.0,0.0,0.0
8445261ffffffff,10.0,0.0,0.0
8445263ffffffff,58.0,0.0,0.0
8445269ffffffff,37.0,0.0,0.0
844526bffffffff,23.0,0.0,0.0
844526dffffffff,44.0,0.0,0.0
8445309ffffffff,12.0,0.0,0.0
844530dffffffff,2.0,0.0,0.0
8445343ffffffff,19.0,0.0,0.0
8445351ffffffff,194.0,0.0,0.0
8445353ffffffff,3.0,0.0,0.0
844535bffffffff,2.0,0.0,0.0
8445363ffffffff,3.0,0.0,0.0
8445649ffffffff,1.0,0.0,0.0
8466a29ffffffff,5.0,0.0,0.0
8466a2dffffffff,29.0,0.0,0.0
8466b41ffffffff,696.0,0.0,0.0
8466b43ffffffff,24.0,0.0,0.0
8466b45ffffffff,2710.0,0.0,0.0
8466b49ffffffff,93.0,0.0,0.0
8466b4dffffffff,1655.0,0.0,0.0
8466b51ffffffff,1216.0,0.0,0.0
8466b53ffffffff,6.0,0.0,0.0
8466b55ffffffff,43.0,0.0,0.0
8466b5bffffffff,62.0,0.0,0.0
8466b5dffffffff,30.0,0.0,0.0
846792dffffffff,3.0,0.0,0.0
84679a7ffffffff,51.0,0.0,0.0
846d059ffffffff,56.0,0.0,0.0
846d05bffffffff,773.0,0.0,0.0
846d207ffffffff,96.0,0.0,0.0
846d215ffffffff,5.0,0.0,0.0
846d239ffffffff,12.0,0.0,0.0
846d23bffffffff,422.0,0.0,0.0
846d283ffffffff,256.0,0.0,0.0
846d287ffffffff,76.0,0.0,0.0
846d289ffffffff,15.0,0.0,0.0
846d28dffffffff,12.0,0.0,0.0
846d291ffffffff,294.0,0.0,0.0
846d293ffffffff,2.0,0.0,0.0
846d295ffffffff,211.0,0.0,0.0
846d297ffffffff,7.0,0.0,0.0
846d29bffffffff,11.0,0.0,0.0
846d2a9ffffffff,198.0,0.0,0.0
846d2abffffffff,80.0,0.0,0.0
846d2b9ffffffff,729.0,0.0,0.0
846d2bdffffffff,2.0,0.0,0.0
846d2c7ffffffff,15.0,0.0,0.0
846d2d1ffffffff,226.0,0.0,0.0
846d2d3ffffffff,582.0,0.0,0.0
846d2d7ffffffff,562.0,0.0,0.0
846d2e3ffffffff,1.0,0.0,0.0
846d2e5ffffffff,6.0,0.0,0.0
846d2ebffffffff,30.0,0.0,0.0
846d34bffffffff,7.0,0.0,0.0
846d35dffffffff,128.0,0.0,0.0
846d609ffffffff,33.0,0.0,0.0
846d61bffffffff,3.0,0.0,0.0
846d641ffffffff,8.0,0.0,0.0
846d643ffffffff,4.0,0.0,0.0
846d645ffffffff,261.0,0.0,0.0
846d647ffffffff,3.0,0.0,0.0
846d64dffffffff,298.0,0.0,0.0
846d651ffffffff,235.0,0.0,0.0
846d653ffffffff,49.0,0.0,0.0
846d655ffffffff,83.0,0.0,0.0
846d657ffffffff,11.0,0.0,0.0
846d65bffffffff,7.0,0.0,0.0
846d65dffffffff,37.0,0.0,0.0
846d669ffffffff,3.0,0.0,0.0
846d66dffffffff,207.0,0.0,0.0
846d681ffffffff,32.0,0.0,0.0
846d683ffffffff,2.0,0.0,0.0
846d689ffffffff,3.0,0.0,0.0
846d68bffffffff,45.0,0.0,0.0
846d691ffffffff,1011.0,0.0,0.0
846d693ffffffff,73.0,0.0,0.0
846d695ffffffff,4.0,0.0,0.0
846d699ffffffff,4.0,0.0,0.0
846d69bffffffff,1336.0,0.0,0.0
846d69dffffffff,3490.0,0.0,0.0
846d741ffffffff,59.0,0.0,0.0
846d745ffffffff,2.0,0.0,0.0
846d749ffffffff,78.0,0.0,0.0
846d74bffffffff,20.0,0.0,0.0
846d75dffffffff,1.0,0.0,0.0
