cell_id,Schiffornis turdina,Schiffornis turdina amazonum,Schiffornis turdina [turdina Group]
846641dffffffff,5.0,5.0,0.0
8466ecbffffffff,2.0,0.0,0.0
8481635ffffffff,17.0,17.0,0.0
8481801ffffffff,2.0,0.0,2.0
8481803ffffffff,3.0,0.0,0.0
848180bffffffff,2.0,0.0,0.0
8481851ffffffff,8.0,0.0,0.0
848a157ffffffff,1.0,1.0,0.0
848b23bffffffff,2.0,2.0,0.0
848b469ffffffff,2.0,2.0,0.0
848b693ffffffff,14.0,0.0,0.0
848b695ffffffff,2.0,0.0,0.0
848b6edffffffff,9.0,0.0,9.0
848b839ffffffff,2.0,0.0,2.0
848f0d1ffffffff,4.0,0.0,0.0
84a8917ffffffff,1.0,0.0,1.0
