cell_id,Psittacula longicauda,Psittacula longicauda tytleri,Psittacula longicauda nicobarica,Psittacula longicauda longicauda/defontainei,Psittacula longicauda modesta
83640afffffffff,850.0,0.0,0.0,0.0,0.0
83640bfffffffff,65.0,0.0,0.0,0.0,0.0
836419fffffffff,6.0,0.0,0.0,0.0,0.0
836428fffffffff,241.0,0.0,0.0,0.0,0.0
836429fffffffff,56.0,0.0,0.0,0.0,0.0
83642bfffffffff,22.0,0.0,0.0,0.0,0.0
83642dfffffffff,18.0,0.0,0.0,0.0,0.0
8364e4fffffffff,1619.0,0.0,0.0,0.0,0.0
8364e6fffffffff,155.0,0.0,0.0,0.0,0.0
836500fffffffff,18.0,0.0,0.0,0.0,0.0
836501fffffffff,8.0,0.0,0.0,0.0,0.0
836503fffffffff,90.0,0.0,0.0,0.0,0.0
836504fffffffff,1.0,0.0,0.0,0.0,0.0
836505fffffffff,190.0,0.0,0.0,0.0,0.0
836520fffffffff,766.0,0.0,0.0,0.0,0.0
836521fffffffff,4.0,0.0,0.0,0.0,0.0
836522fffffffff,8.0,0.0,0.0,0.0,0.0
836523fffffffff,5.0,0.0,0.0,0.0,0.0
836525fffffffff,21.0,0.0,0.0,0.0,0.0
836526fffffffff,862.0,0.0,0.0,0.0,0.0
83652cfffffffff,6.0,0.0,0.0,0.0,0.0
836810fffffffff,30.0,0.0,0.0,0.0,0.0
836811fffffffff,6.0,0.0,0.0,0.0,0.0
836815fffffffff,124.0,0.0,0.0,0.0,0.0
836816fffffffff,1.0,0.0,0.0,0.0,0.0
836818fffffffff,510.0,0.0,0.0,0.0,0.0
836819fffffffff,1.0,0.0,0.0,0.0,0.0
83681afffffffff,4.0,0.0,0.0,0.0,0.0
83681cfffffffff,305.0,0.0,0.0,0.0,0.0
83681dfffffffff,29.0,0.0,0.0,0.0,0.0
83681efffffffff,1.0,0.0,0.0,0.0,0.0
83688afffffffff,2.0,0.0,0.0,0.0,0.0
836892fffffffff,1.0,0.0,0.0,0.0,0.0
836896fffffffff,16.0,0.0,0.0,0.0,0.0
8368a5fffffffff,10.0,0.0,0.0,0.0,0.0
8368a6fffffffff,6.0,0.0,0.0,0.0,0.0
8368acfffffffff,2.0,0.0,0.0,0.0,0.0
8368b5fffffffff,1.0,0.0,0.0,0.0,0.0
838c89fffffffff,2.0,0.0,0.0,0.0,0.0
838c92fffffffff,4.0,0.0,0.0,0.0,0.0
838c96fffffffff,14.0,0.0,0.0,0.0,0.0
838cd2fffffffff,11.0,0.0,0.0,0.0,0.0
838cd5fffffffff,2.0,0.0,0.0,0.0,0.0
838cf5fffffffff,5.0,0.0,0.0,0.0,0.0
838d9afffffffff,9.0,0.0,0.0,0.0,0.0
