cell_id,Psophia crepitans,Psophia crepitans napensis,Psophia crepitans ochroptera,Psophia crepitans crepitans
825f07fffffffff,140.0,0.0,0.0,0.0
825f0ffffffffff,10.0,0.0,0.0,0.0
825f17fffffffff,19.0,0.0,0.0,0.0
825f1ffffffffff,3.0,0.0,0.0,0.0
825f2ffffffffff,520.0,0.0,0.0,0.0
825f37fffffffff,1.0,0.0,0.0,0.0
825f47fffffffff,13.0,0.0,0.0,0.0
825f6ffffffffff,5.0,0.0,0.0,0.0
825f77fffffffff,7.0,0.0,0.0,0.0
82665ffffffffff,11.0,0.0,0.0,0.0
82666ffffffffff,15.0,0.0,0.0,1.0
8266c7fffffffff,18.0,0.0,0.0,0.0
8266cffffffffff,2.0,0.0,0.0,0.0
8266dffffffffff,284.0,10.0,0.0,0.0
8266effffffffff,6.0,0.0,0.0,0.0
82806ffffffffff,1.0,0.0,0.0,0.0
828a47fffffffff,21.0,0.0,0.0,0.0
828a4ffffffffff,3.0,0.0,0.0,0.0
828a6ffffffffff,10.0,0.0,0.0,0.0
828a8ffffffffff,3.0,0.0,0.0,0.0
828adffffffffff,37.0,0.0,0.0,0.0
828af7fffffffff,189.0,0.0,2.0,16.0
828f67fffffffff,2.0,0.0,0.0,0.0
828f77fffffffff,1.0,0.0,0.0,0.0
