cell_id,Thlypopsis sordida,Thlypopsis sordida chrysopis/orinocensis,Thlypopsis sordida sordida
836641fffffffff,26.0,0.0,0.0
836645fffffffff,7.0,0.0,0.0
836663fffffffff,1.0,0.0,0.0
836671fffffffff,3.0,0.0,0.0
8366c2fffffffff,3.0,0.0,0.0
8366cefffffffff,23.0,0.0,0.0
8366dafffffffff,2.0,0.0,0.0
8366dbfffffffff,2.0,0.0,0.0
8366dcfffffffff,216.0,0.0,0.0
8366ddfffffffff,10.0,0.0,0.0
8366defffffffff,31.0,0.0,0.0
838002fffffffff,9.0,0.0,0.0
838006fffffffff,3.0,0.0,0.0
838010fffffffff,59.0,0.0,0.0
838011fffffffff,27.0,0.0,0.0
838014fffffffff,2.0,0.0,0.0
838015fffffffff,2.0,0.0,0.0
838016fffffffff,2.0,0.0,0.0
838030fffffffff,130.0,0.0,0.0
838036fffffffff,3.0,0.0,0.0
838100fffffffff,2.0,0.0,0.0
838102fffffffff,37.0,0.0,0.0
838104fffffffff,11.0,0.0,0.0
838106fffffffff,6.0,0.0,1.0
838110fffffffff,4.0,0.0,0.0
838114fffffffff,2.0,0.0,0.0
838116fffffffff,2.0,0.0,0.0
83811efffffffff,6.0,0.0,0.0
838121fffffffff,13.0,0.0,0.0
838124fffffffff,20.0,0.0,0.0
838125fffffffff,2.0,0.0,0.0
838130fffffffff,16.0,0.0,0.0
838131fffffffff,3.0,0.0,1.0
838133fffffffff,23.0,0.0,0.0
838136fffffffff,4.0,0.0,0.0
838145fffffffff,3.0,0.0,0.0
83814afffffffff,3.0,0.0,0.0
83815dfffffffff,2.0,0.0,0.0
838162fffffffff,20.0,0.0,0.0
838163fffffffff,8.0,0.0,0.0
838171fffffffff,23.0,0.0,0.0
838180fffffffff,19.0,0.0,0.0
838181fffffffff,30.0,0.0,0.0
838183fffffffff,29.0,0.0,0.0
838185fffffffff,27.0,0.0,0.0
838188fffffffff,2.0,0.0,0.0
83818cfffffffff,8.0,0.0,0.0
83818dfffffffff,4.0,0.0,0.0
83818efffffffff,30.0,0.0,0.0
838199fffffffff,1.0,0.0,0.0
8381aafffffffff,2.0,0.0,0.0
8381adfffffffff,9.0,0.0,0.0
838a2efffffffff,7.0,0.0,0.0
838a45fffffffff,336.0,0.0,0.0
838a68fffffffff,7.0,0.0,0.0
838a69fffffffff,99.0,0.0,0.0
838a6dfffffffff,345.0,0.0,0.0
838a70fffffffff,2.0,0.0,0.0
838aabfffffffff,9.0,0.0,0.0
838af6fffffffff,15.0,0.0,0.0
838b06fffffffff,2.0,0.0,0.0
838b0cfffffffff,8.0,0.0,0.0
838b10fffffffff,6.0,0.0,0.0
838b11fffffffff,2.0,0.0,0.0
838b1cfffffffff,6.0,0.0,0.0
838b1efffffffff,1.0,0.0,0.0
838b20fffffffff,13.0,0.0,0.0
838b21fffffffff,5.0,0.0,0.0
838b22fffffffff,150.0,0.0,0.0
838b23fffffffff,7.0,0.0,0.0
838b26fffffffff,7.0,0.0,0.0
838b2afffffffff,8.0,0.0,0.0
838b2cfffffffff,1.0,0.0,0.0
838b2efffffffff,4.0,0.0,0.0
838b40fffffffff,5.0,0.0,0.0
838b44fffffffff,3.0,0.0,0.0
838b56fffffffff,4.0,0.0,0.0
838b61fffffffff,45.0,0.0,0.0
838b63fffffffff,16.0,0.0,0.0
838b69fffffffff,11.0,0.0,0.0
838b6cfffffffff,1.0,0.0,0.0
838b6dfffffffff,1.0,0.0,0.0
838b6efffffffff,22.0,0.0,0.0
838b71fffffffff,18.0,0.0,0.0
838b74fffffffff,3.0,0.0,0.0
838e65fffffffff,6.0,0.0,0.0
838f41fffffffff,2.0,0.0,0.0
838f44fffffffff,14.0,0.0,0.0
838f48fffffffff,6.0,0.0,0.0
838f4afffffffff,4.0,0.0,0.0
838f4cfffffffff,10.0,0.0,0.0
838f55fffffffff,4.0,0.0,0.0
838f59fffffffff,5.0,0.0,0.0
838f61fffffffff,55.0,0.0,0.0
838f63fffffffff,1.0,0.0,0.0
838f6efffffffff,10.0,0.0,0.0
838f75fffffffff,1.0,0.0,0.0
838f76fffffffff,1.0,0.0,0.0
83a596fffffffff,3.0,0.0,0.0
83a801fffffffff,12.0,0.0,0.0
83a802fffffffff,19.0,0.0,0.0
83a803fffffffff,5.0,0.0,0.0
83a805fffffffff,2.0,0.0,0.0
83a806fffffffff,5.0,0.0,0.0
83a80bfffffffff,7.0,0.0,0.0
83a80efffffffff,1.0,0.0,0.0
83a810fffffffff,1414.0,0.0,0.0
83a811fffffffff,212.0,0.0,0.0
83a812fffffffff,203.0,0.0,0.0
83a813fffffffff,173.0,0.0,0.0
83a814fffffffff,13.0,0.0,0.0
83a815fffffffff,18.0,0.0,0.0
83a816fffffffff,11.0,0.0,0.0
83a818fffffffff,79.0,0.0,0.0
83a819fffffffff,28.0,0.0,0.0
83a81afffffffff,42.0,0.0,0.0
83a81bfffffffff,16.0,0.0,0.0
83a81cfffffffff,168.0,0.0,0.0
83a81dfffffffff,12.0,0.0,0.0
83a81efffffffff,1095.0,0.0,0.0
83a822fffffffff,5.0,0.0,0.0
83a826fffffffff,1.0,0.0,0.0
83a82efffffffff,2.0,0.0,0.0
83a831fffffffff,18.0,0.0,0.0
83a835fffffffff,19.0,0.0,0.0
83a840fffffffff,6.0,0.0,0.0
83a841fffffffff,17.0,0.0,0.0
83a844fffffffff,2.0,0.0,0.0
83a845fffffffff,2.0,0.0,0.0
83a846fffffffff,3.0,0.0,0.0
83a84afffffffff,2.0,0.0,0.0
83a859fffffffff,51.0,0.0,0.0
83a85dfffffffff,83.0,0.0,0.0
83a866fffffffff,8.0,0.0,0.0
83a876fffffffff,1.0,0.0,0.0
83a880fffffffff,30.0,0.0,0.0
83a881fffffffff,23.0,0.0,0.0
83a882fffffffff,6.0,0.0,0.0
83a884fffffffff,9.0,0.0,0.0
83a885fffffffff,2.0,0.0,0.0
83a886fffffffff,7.0,0.0,0.0
83a889fffffffff,4.0,0.0,0.0
83a88bfffffffff,16.0,0.0,0.0
83a88cfffffffff,6.0,0.0,0.0
83a88dfffffffff,4.0,0.0,0.0
83a88efffffffff,10.0,0.0,0.0
83a891fffffffff,3.0,0.0,0.0
83a8a0fffffffff,128.0,0.0,0.0
83a8a1fffffffff,154.0,0.0,0.0
83a8a2fffffffff,23.0,0.0,0.0
83a8a3fffffffff,21.0,0.0,0.0
83a8a5fffffffff,25.0,0.0,0.0
83a8a8fffffffff,7.0,0.0,0.0
83a8a9fffffffff,45.0,0.0,0.0
83a8aafffffffff,4.0,0.0,0.0
83a8abfffffffff,1.0,0.0,0.0
83a8acfffffffff,49.0,0.0,0.0
83a8adfffffffff,34.0,0.0,0.0
83a8aefffffffff,20.0,0.0,0.0
83a8c0fffffffff,14.0,0.0,0.0
83a8c2fffffffff,11.0,0.0,0.0
83a8ccfffffffff,1.0,0.0,0.0
83a8d0fffffffff,5.0,0.0,0.0
83a8d1fffffffff,62.0,0.0,0.0
83a8d3fffffffff,3.0,0.0,0.0
