cell_id,Ploceus baglafecht,Ploceus baglafecht [baglafecht Group],Ploceus baglafecht emini,Ploceus baglafecht reichenowi,Ploceus baglafecht [stuhlmanni Group]
8458d33ffffffff,3.0,0.0,0.0,0.0,0.0
846ac15ffffffff,1.0,0.0,0.0,0.0,1.0
846ada9ffffffff,1.0,0.0,0.0,0.0,0.0
846adc7ffffffff,2.0,0.0,0.0,0.0,2.0
846ade9ffffffff,2.0,0.0,0.0,0.0,2.0
846adebffffffff,2.0,2.0,0.0,0.0,0.0
847a41bffffffff,2.0,0.0,0.0,2.0,0.0
847a451ffffffff,1.0,0.0,0.0,0.0,0.0
847a453ffffffff,2.0,0.0,0.0,2.0,0.0
847a457ffffffff,5.0,0.0,0.0,5.0,0.0
847a489ffffffff,2.0,0.0,0.0,2.0,0.0
847a4c1ffffffff,4.0,0.0,0.0,4.0,0.0
847a4cdffffffff,3.0,0.0,0.0,0.0,0.0
847a4dbffffffff,2.0,0.0,2.0,0.0,0.0
847a5c1ffffffff,1.0,0.0,0.0,0.0,0.0
847a5c5ffffffff,1.0,0.0,0.0,0.0,0.0
847a5d5ffffffff,3.0,0.0,0.0,0.0,0.0
847a643ffffffff,1.0,0.0,0.0,0.0,0.0
847a6a1ffffffff,3.0,0.0,0.0,2.0,0.0
847a6adffffffff,14.0,0.0,0.0,14.0,0.0
847a6e1ffffffff,8.0,0.0,0.0,0.0,0.0
847a6e5ffffffff,12.0,0.0,0.0,12.0,0.0
847a6e7ffffffff,4.0,0.0,0.0,4.0,0.0
847ac81ffffffff,2.0,0.0,2.0,0.0,0.0
847acc5ffffffff,1.0,0.0,1.0,0.0,0.0
847acd5ffffffff,2.0,0.0,0.0,0.0,0.0
847acd7ffffffff,2.0,0.0,0.0,0.0,0.0
