cell_id,Colaptes campestris,Colaptes campestris campestris,Colaptes campestris campestroides,Colaptes campestris campestris x campestroides
835f22fffffffff,20.0,0.0,0.0,0.0
838000fffffffff,1.0,0.0,0.0,0.0
838002fffffffff,2.0,0.0,0.0,0.0
838010fffffffff,8.0,0.0,0.0,0.0
838011fffffffff,13.0,0.0,0.0,0.0
838014fffffffff,6.0,5.0,0.0,0.0
838016fffffffff,22.0,0.0,0.0,0.0
83802cfffffffff,2.0,0.0,0.0,0.0
838030fffffffff,16.0,0.0,0.0,0.0
838035fffffffff,4.0,0.0,0.0,0.0
838036fffffffff,2.0,0.0,0.0,0.0
838100fffffffff,55.0,3.0,0.0,0.0
838102fffffffff,24.0,2.0,0.0,0.0
838106fffffffff,42.0,11.0,0.0,0.0
838109fffffffff,17.0,3.0,0.0,0.0
83810efffffffff,3.0,3.0,0.0,0.0
838110fffffffff,2.0,0.0,0.0,0.0
838112fffffffff,7.0,2.0,0.0,0.0
838114fffffffff,1.0,0.0,0.0,0.0
83811afffffffff,6.0,0.0,0.0,0.0
83811cfffffffff,4.0,0.0,0.0,0.0
838121fffffffff,6.0,3.0,0.0,0.0
838124fffffffff,92.0,14.0,0.0,0.0
838128fffffffff,1.0,0.0,0.0,0.0
83812cfffffffff,7.0,1.0,0.0,0.0
83812dfffffffff,21.0,9.0,0.0,0.0
838130fffffffff,30.0,4.0,0.0,0.0
838131fffffffff,3.0,0.0,0.0,0.0
838132fffffffff,8.0,0.0,0.0,0.0
838133fffffffff,120.0,15.0,0.0,0.0
838134fffffffff,8.0,0.0,0.0,0.0
838136fffffffff,2.0,0.0,0.0,0.0
838144fffffffff,3.0,0.0,0.0,0.0
838145fffffffff,11.0,6.0,0.0,0.0
838146fffffffff,3.0,0.0,0.0,0.0
83814efffffffff,3.0,0.0,0.0,0.0
838151fffffffff,3.0,1.0,0.0,0.0
838162fffffffff,9.0,0.0,0.0,0.0
838163fffffffff,10.0,0.0,0.0,0.0
838170fffffffff,3.0,0.0,0.0,0.0
838171fffffffff,54.0,14.0,0.0,0.0
838172fffffffff,2.0,0.0,0.0,0.0
838173fffffffff,5.0,0.0,0.0,0.0
838175fffffffff,2.0,0.0,0.0,0.0
838176fffffffff,2.0,0.0,0.0,0.0
83818bfffffffff,5.0,0.0,0.0,0.0
8381a1fffffffff,3.0,0.0,0.0,0.0
838b01fffffffff,9.0,0.0,0.0,0.0
